,drama_title,date,blog_title,writer,contents
0,나의 나라 드라마,2019.11.24.,"나의 나라, 용두사미로 끝난 드라마",사극 기록장,결국 이성계와 이방원만 남긴 드라마가 되고 말았습니다. 왕자의 난 이후는 <나의 나라>가 아니라 <나의 똥>이라고 부르고 싶습니다. 그나마 중반부까지 볼만한...
1,나의 나라 드라마,2019.11.27.,(드라마) 나의 나라,리듬감있게,"정도의 드라마는 별로 없다. 그리고 난 사극을 좋아한다. 그리고 난 넷플릭스를... 꿈꾸는 나라가 합쳐져서 드라마를 끌고 가는 것도 좋고, 인물들간의 합도 잘 맞는다...."
2,나의 나라 드라마,2019.11.24.,"아는 형님 펭수 VS 광희, AOA 퀸덤 너나 해, AOA 재계약 신곡 날 보러와요, AOA탈퇴멤버 초아,드라마 나의나라 설현 양세종 키스신",미디어덕후 오포유의...,타이틀곡 날 보러 와요로 새로운 노래를 가지고 왔습니다! 그녀들을 응원합니다... ㅋㅋㅋㅋ 그리고 설현이 요즘 찍는 드라마 나의나라 에 대해서 잠깐이야기가...
3,나의 나라 드라마,2019.12.01.,[후기] 드라마 '나의 나라' 후기,글쟁잉,Jtbc 그리고 Netflix 드라마 '나의 나라' 일단 좋아하는 배우 장혁이 연기를 했기에... 시작한 드라마. 생각보다 드라마를 연기하는 모든 배우들의 연기가 꽤 나 좋았고...
4,나의 나라 드라마,2019.11.25.,"[드라마]""나의 나라""는 항상 한발 뒤에 있었는데, 굿바이 브로맨스",사쿠라의 책 나들이,"왕자의 난 끝날 듯 끝나지 않았고 ""방원""은 내가 ""휘""를 가진적이 있는가? 생각한다.... 훈훈한 재미와 감동을 준 ""나의 나라""는 꽤 오래 기억되는 드라마가 될듯하다."
5,나의 나라 드라마,2019.12.04.,나의 나라 화월(홍지윤) 배우를 이제서야 알게되다 [JTBC드라마],리치의 성장과정 스...,"JTBC드라마 나의 나라! 나의 나라 연출 김진원 출연 양세종, 우도환, 설현, 장혁... 나의 나라 드라마에서는 박문복(인교진)님하고 캐미가 있는데, 얼마나 귀엽게..."
6,나의 나라 드라마,2019.12.03.,드라마 나의나라 조선시대 초기를 바탕으로 나온 드라마,밴열이의 맛집여행,안녕하세요 최근에 마무리를 지은 드라마 나의나라를 보고 포스팅을... 뭉친 드라마이다보니 더욱 기대가 되었던 드라마였답니다. 물론 가수 나의나라 드라마...
7,나의 나라 드라마,2019.11.25.,한복나래솔 의상협찬 - JTBC 금토드라마 나의 나라,나래솔 (동명실크),"JTBC 금토드라마 나의 나라가 11 월 23일 16부작을 끝으로 대단원의 막을 내렸습니다. "" 우리 모두에겐 저마다 지켜야 할 나라가 있다. 비록 깨지고 꺾이고 부서져도..."
8,나의 나라 드라마,2019.11.24.,[금토드라마] JTBC 나의 나라 16회(마지막회) 줄거리 및 리뷰 : 우리 모두에겐 저마다 지켜야 할 나라가 있다.,차카니의 잡다한 일...,"금토드라마 JTBC 나의 나라 16회(마지막회) 줄거리 및 리뷰 - 스포주의 지난 15회, 아버지 서검(유오성)을 죽음으로 몰고간, 자결하게 만든 자가 방원(장혁) 이라는 사실을..."
9,나의 나라 드라마,2019.12.03.,(613) 드라마 '나의 나라'... 이성계 있는데 왜 정도전은 없을까,다산을 찾아서,JTBC 금토 드라마 <나의 나라>가 그런 이성계를 보여주고 있다. 정말 정도전 없는 이성계가 이 드라마에 나오고 있다. <나의 나라>에는 이성계의 핵심 참모인 남전(안내상...
10,나의 나라 드라마,2019.11.24.,"드라마 나의 나라, 16회(마지막 회). 휘와 선호의 마지막",rose Peach,"그만 엮이자며＂ ＂너와 나, 처음부터 엮였고, 못 끊어.＂ 힘없는 선호를 끝까지... 모두를 살리고자, 자신의 나라를 지키기 위해서 많이 애썼소. #jtbc #드라마 #양세종..."
11,나의 나라 드라마,2019.11.27.,"「리뷰, 드라마」  나의나라 마지막회",Dream x Daily life,금토드라마나의나라 #드라마추천나의나라 #jtbc드라마 #jtbc금토드라마... 선호와 휘에게 '나라'는 무엇이었을까요??? 난 너무 멀고 높은 곳만 바라봤다 뒤늦게 뒤를...
12,나의 나라 드라마,2019.11.28.,조선의 건국을 배경으로 삼은 드라마 ‘나의 나라’ 를 보고,"카롤링거, 도미누스...",tvN이 넷플릭스와 드라마 계약을 맺었다는 소식을 접했는데 그런 계약을 맺게 한 데 큰 역할을 한 것이 바로 이 드라마 ‘나의 나라’라는 생각이 든다. 사설이지만...
13,나의 나라 드라마,2019.11.24.,드라마 나의 나라 16회 줄거리 및 리뷰 최종회,상가천국,"""그만 엮이자며.."" ""너와 나 처음부터 엮였고, 못 끊어. 끊을 수 없는 걸... #드라마나의나라 #나의나라16회 #나의나라줄거리 #나의나라리뷰 #나의나라종영 #나의나라최종회"
14,나의 나라 드라마,2019.11.29.,금토드라마 초콜릿 등장인물관계도 몇부작 줄거리 재방송 촬영지 JTBC 나의나라 후속,에바그린님의 블로그,금토드라마 초콜릿 등장인물관계도 몇부작 줄거리 재방송 촬영지 JTBC 나의나라 후속 안녕하세요~오늘은 JTBC 금토드라마 나의나라 후속 방송으로 오늘 오후 10:50분부터...
15,나의 나라 드라마,2019.11.25.,넷플릭스_[드라마]나의나라,요즘으나,"나의 나라 연출 김진원 출연 양세종, 우도환, 설현, 장혁, 김영철, 인교진 방송 2019... 죽어서 속 시원한 드라마 뭔가 많이 빠진듯한 전개였지만 그래도.. 나쁘진 않았어...."
16,나의 나라 드라마,2019.12.06.,JTBC 드라마_ 나의 나라 [최종회],라쏠라의 소근소근♪,요즘 줄거리 포스팅을 못 하는 동안 애정했던 나의 나라가 끝났더라죠.. 마지막까지 마음이 너무 찡했던 나의 나라. 특히 엔딩에서 많은 생각을 하게 되었는데요...
17,나의 나라 드라마,2019.11.29.,[JTBC 드라마] 사극<나의 나라> 정주행_양세종x우도환x설현,☆MY LIIFE☆,적극 추천 ★★★★★ #나의나라 #넷플릭스드라마 #사극추천 #드라마나의나라 #양세종 #우도환 #설현 #나의나라설현 #장혁 #나의나라장혁
18,나의 나라 드라마,2019.12.03.,롯데리아 라이스 버거 콤보 및 사이드 메뉴 리뷰 드라마 나의 나라 마지막회 보면서 먹었어요,수능 만점상자,아무튼 예전 저의 자만심과 과오를 덮기 위해서 저는 시간 날 때 틈틈이 가벼운... 그리고 제가 먹으면서 봤던 드라마 나의나라 마지막회... 유일하게 챙겨본...
19,나의 나라 드라마,2019.11.27.,한복나래솔 의상협찬 - JTBC 금토드라마 나의 나라 종방연,나래솔 (동명실크),11월 23일 오후 여의도 음식점에서 드라마 나의나라 종방연이 있었습니다. 종방연 참석에 앞서 포토타임 촬영에 임하고 있는 주인공 분들. 저희 나래솔 원장님도...
20,나의 나라 드라마,2019.11.25.,[JTBC금토드라마]나의 나라 마지막회 : 우리의 나라,"miserable,console","나,너무 멀고 높은 곳만 바라봤다 뒤늦게 뒤돌아 보니 너와 연이가 보이더라,내 나라는 한 걸음 뒤에 있었는데.. 진작 알았으면 좋았을걸.. 고단하다 하루도 편히 잠든..."
21,나의 나라 드라마,2019.11.28.,JTBC 금토드라마 나의 나라 후속으로 달달한 드라마 초콜릿 1회 예고 초콜릿 인물관계도,호정마미의 특별한 ...,JTBC 금토드라마 나의 나라 후속으로 달달한 드라마 초콜릿 1회 예고 초콜릿... 혹시 나 기억해요? 1992년 봄. 어린 강(오자훈)은 바다식당을 찾은 어린 차영(김보민)에게...
22,나의 나라 드라마,2019.11.24.,"나의나라 최종회, 역사를 끄집어내 역사를 살해하는 막장 역사드라마",fordebby님의 블로그,나의나라를 누구는 명품사극이라 하는데 절대 동의할 수 없다. 나는 사극이 시대를... 그래도 설현 정도는 이 드라마에 어울리는 연기력을 보여줘 그나마 다행이다 싶은...
23,나의 나라 드라마,2019.11.25.,경산 가볼만한곳. 드라마 촬영명소 반곡지(드라마 나의 나라 촬영지. 가을 단풍보기 좋은 곳),미.소.지.음(美. 素...,"드라마 나의나라도 찍어서 더 유명해 졌다고 그런데 그런데... 사진은 요게 다. 올해는 너무 늦게 왔다. 가을 단풍 들 때 오면 정말 예쁠 것 같다. 설현, 우도환, 공승연..."
24,나의 나라 드라마,2019.11.25.,쌀화환 - 장혁[ jtbc금토드라마 ‘나의 나라’ 제작발표회],스타기부화환 스타사...,jtbc금토드라마 ‘나의 나라’ 제작발표회 현장에 설치한 장혁 님의 스타사랑 기부화환. -----링크를 클릭하시면 더 많은 사진과...
25,나의 나라 드라마,2019.12.01.,드라마 스페셜 나의 흑역사 오답노트,내 블로그가 언제 만...,그러나 진상이 아버지가 돌아가신 날..밖에서 술을 진탕 먹고 들아와서는 도혜와... 우리나라 드라마 단막극이 웬만한 영화보다 재밌다. ㅎㅎㅎ 드라마 스페셜 - 나의...
26,나의 나라 드라마,2019.11.24.,"[The Drama] JTBC 드라마, 나의 나라 가 남긴 OST.",The 幕天席地,"JTBC 드라마, ""나의 나라"" 가 남긴 OST. 그건 너이니까 - 정승환 나의 나라 OST Part 1 아티스트 정승환 발매일 2019.10.19. https://youtu.be/z6nsdA0-V0w http..."
27,나의 나라 드라마,2019.11.30.,"[JTBC 드라마_나의 나라] 마지막회 명장면 & 명대사: 그리웠다, 아주 많이",이런 하루,"놔두시오"" ""해도 너는 죽어야 한다."" ""기꺼이 죽어드리겠소"" ""니가 모두를 살렸다."" ""나 너무 멀고 높은 곳만 바라봤다. 내 나라는 한 걸음 뒤에 있었는데, 진작 알았으면..."
28,나의 나라 드라마,2019.11.27.,우도환 : 나의 나라 남선호,별하's 감성드라마&...,처음에 #드라마나의나라 캐스팅 소식에 놀랍고 반갑고 그랬네요. 솔직히 우도환 님의 사극은 왜인지 생각도 해본적 없어서 신기했어요. 그리고 나의 나라에서 생각보다...
29,나의 나라 드라마,2019.11.29.,diy home? - 혼자서 집 짓기 3달이면 할 수 있을까? - 드라마 나의나라 문살 디자인,나무그늘아래,한옥의 전통문살을 엄청 좋아한다. 영화나 사극을 보다가 좋은 문살디자인을 발견하면 CAD로 파일화 시켜둔다. 요즘은 제작에 도움이 되는 공구나 기계들의 여건들이...
