,drama_title,date,blog_title,writer,contents
0,눈이 부시게 드라마,2019.03.20.,[드라마] 최고의 반전과 감동이 있었던 드라마 '눈이부시게',You have 12 new ch...,https://m.blog.naver.com/forme92/221480677413 [드라마] 볼때마다 다른 관점의 감동이 있는 '눈이부시게' #눈이부시게 #드라마눈이부시게 #JTBC눈이부시게 #김혜자 #한지민 #남주혁...
1,눈이 부시게 드라마,2019.03.22.,[추천드라마] 눈이 부시게. 새로운 관점으로 삶을 보다.,구름모모,눈이 부시게. 드라마 새로운 관점으로 삶을 보다. 드라마 홍보영상이 가장 먼저 떠오른다. 25살이라고 소개하는 할머니 한 분 그리고 시원시원한 멘트들이 눈길을 끌기에...
2,눈이 부시게 드라마,2019.03.20.,드라마 / 눈이부시게,시골일기,"사랑받았고, 사랑받고 있는 혜자 준하의 아들 12부작 잘 만든 드라마가 주는 여운과... 눈이 부시게. 당신은 그럴 자격이 있습니다. 누군가의 엄마였고 누아였고 딸이었고..."
3,눈이 부시게 드라마,2019.03.23.,눈이 부시게 - 강추 웰메이드 드라마+봄날은간다,지니의 모퉁이를 돌...,"하루 눈 부시지 않은 날이 없었습니다. 지금 삶이 힘든 당신, 이 세상에 태어난... 눈이부시게 마지막회, 김혜자의 나레이션 드라마 후반부에, 혜자의 친구로 나온 가수..."
4,눈이 부시게 드라마,2019.03.20.,눈이 부신 드라마 ‘눈이 부시게’ 총평,리뷰하는 남자(연꽃...,"‘눈이 부시게’ 12회 종방을 보고 - 가슴이 먹먹해지게 만드는군요. 총 12회 중 약... 하도 많은 ‘타임슬립’ 영화나 소설, 드라마가 난무하는 요즘이라 또 하나의..."
5,눈이 부시게 드라마,2019.03.20.,눈이부시게 jtbc 명품드라마..김혜자님의 명대사 (최종회),♤,"(수) jtbc <눈이 부시게> 한지민,남주혁의 알콩달콩 로맨스인줄 알고 보았던 드라마... 눈이부시게 드라마를 위해 애써 주신 배우님들,스탭,감독님 감사합니다. 그리고..."
6,눈이 부시게 드라마,2019.03.27.,[JTBC 월화드라마 눈이 부시게] 중국 반응은 어떨까?,은또니의 공간,"사실 <눈이 부시게> 드라마 리뷰를 업로드한 건 JTBC 스토리퀸에 지원하기 위해서였다. 아쉽게도 좋은 결과는 얻지 못했지만 울고 웃으면서 늙는다는 것, 우리가 누리는..."
7,눈이 부시게 드라마,2019.03.31.,"드라마 - JTBC 눈이 부시게 (1 ~9회, 준하 혜자 샤넬할머니)",보통날 기록,드라마 - 눈이 부시게 1회부터 9회. 애틋했던 장면과 대사들. # 01 (혜자) 너무 애틋해 너 진짜 안됐어... 내가 특별히 큰 마음을 먹고 너에게 기회를 줄게 시간을 돌릴 수...
8,눈이 부시게 드라마,2019.03.22.,Jtbc드라마 눈이 부시게 - 오늘의 인생에 대하여,나만의 에세이,"#눈이부시게드라마리뷰 #눈이부시게 #김혜자 #드라마리뷰 ""내 삶은 때론 불행했고, 때론 행복했습니다. 삶이 한낱 꿈에 불과하다지만 그럼에도 살아서 좋았습니다...."
9,눈이 부시게 드라마,2019.03.25.,"JTBC 월화드라마, 눈이 부시게 12화 - 행복했던 기억",t O d A y 1 리,"""오늘은 살아가세요, 눈이 부시게 당신은 그럴 자격이 있습니다."" 누군가의... (종영한 지 일 주일이나 지나 리뷰를 올림...) 벌써 제 띵작드라마가 끝이 났네요 흑흑 11화..."
10,눈이 부시게 드라마,2019.03.20.,눈이 부시게 빛나는 인생 드라마,너와 나 그리고 홀리...,"From, 블로그씨 나의 드라마 인생을 통틀어 가장 재밌게 본 드라마는? 최근에 본 것... 오늘을 살아가세요, 눈이 부시게. 당신은 그럴 자격이 있습니다. 누군가의 엄마였고..."
11,눈이 부시게 드라마,2019.03.21.,드라마) 눈이 부시게 - 김혜자님 마지막 대사,일상속의 소확행을 ...,#JTBC드라마 #드라마눈이부시게 #눈이부시게한지민 #눈이부시게김혜자 #김혜자 #노인성치매 #안내상 #안내상_엄마였어 얼마전에 끝난 드라마 눈이부시게입니다. 저는...
12,눈이 부시게 드라마,2019.03.20.,눈이 부시도록 아름다운 결말 ; 드라마 <눈이 부시게>,꼴리는대로 살기,당연한 것들을 되돌아보게끔 하는 드라마 <눈이 부시게> 드라마를 자주 보는 편은 아니지만첫 회를 보고 느낌이 좋으면 쭉 달리는 편이다.'느낌이 ... m.blog.naver.com 이전...
13,눈이 부시게 드라마,2019.03.20.,[드라마]눈이부시게 마지막회,남천동 사는 은복이,JTBC 드라마 눈이부시게.. 아버지를 살리기 위해 시간을 돌려 그 대가로 빨리 늙어버린 딸의 그냥 그런 타임슬립 드라마인 줄 알았는데 마지막 회 두편에서 전혀 다른...
14,눈이 부시게 드라마,2019.03.20.,"아쵸의 인생드라마 등극 , 드라마리뷰 [눈이부시게] / 눈이부시게 줄거리 & 결말",아쵸 데일리 (~˘?...,"받았던 드라마 눈이 부시게였습니다 ㅠ 많은 분들이 보셨으면 좋겠구요 ㅠㅠ 연출, 연기, 내용 뭐하나 빠지지 않았습니다 ㅠㅠ 여러분,, 어느 하루 눈 부시지 않은 날은..."
15,눈이 부시게 드라마,2019.03.20.,드라마 눈이부시게 마지막회,"기억, 추억, 생각","눈이 부시게 당신은 그럴 자격이 있습니다 누군가의 엄마였고, 누이였고, 딸이었고... 처음엔 다들 이런 드라마인지 모르고 봤을텐데 정말 잘 만들어진 드라마이며, 박수..."
16,눈이 부시게 드라마,2019.03.22.,JTBC 월화 드라마 '눈이 부시게' 드라마 후기,JAMONG ORANGE,"JTBC '눈이 부시게' 드라마는 김혜자, 한지민, 남주혁, 손호준, 안내상, 이정은... 나이가 들어서야 아들 안내상은 엄마가 다리가 불편한 자신을 위해 항상 눈 오는 날엔..."
17,눈이 부시게 드라마,2019.03.20.,"[감상하다] 눈이부시게 드라마 11화,12화 명대사/ 눈물로 보석이 되는 드라마",넌 내게 바나나,* 내가 기억하고픈 눈이부시게 드라마 명대사 이번 드라마만큼은 시청이 아닌 감상으로 기록합니다. #눈이부시게명대사 #눈이부시게마지막회 [감상하다] 눈이부시게...
18,눈이 부시게 드라마,2019.03.20.,[드라마 명대사] 눈이 부시게,Unlimited 글쟁이 바...,"삶에 대해, 다시 한 번 깊이있게 생각할 수 있어 더없이 좋았던 드라마. '눈이 부시게' 오늘을 다시 오지 않을 지금을 열심히 그리고 아름답게 살아갈 것입니다...."
19,눈이 부시게 드라마,2019.03.20.,눈이 부시게:드라마,"안녕, 나의 보통날","드라마 로맨스는 별책부록에 이어 어제 종영한 JTBC 월화 드라마 '눈이 부시게'에 대해 이야기하고자 해요. 갓혜자 김혜자 배우님과 한지민 배우의 연기 호흡, 남주혁..."
20,눈이 부시게 드라마,2019.03.20.,인생 드라마 - 우리는 오늘도 눈부시게 잘 살아가고 있습니다 - JTBC 눈이 부시게,평범하게 혹은 특별...,얼마전에 종영한 JTBC 드라마 '눈이 부시게'입니다. 이미 김혜자 배우님이 출연한다고 해서 큰 화제가 됐죠? 지난 2.11에 첫방송을 시작해서 12부작인 드라마예요....
