,drama_title,date,blog_title,writer,contents
0,리갈하이 드라마,2019.04.10.,"종편드라마/리갈하이/법그리고 코믹/진구,이순재 조금아쉬운 드라마",하데스의 인생공부,이번시간에 소개해드릴 드라마는 바로 '리갈하이' 드라마 입니다. 그러고 보니 제가 JTBC의 드라마를 많이 보는 것 같아요 절대 홍보나 그런거 아니에요! 단지...
1,리갈하이 드라마,2019.03.31.,"리갈하이 #""끝끝내 찾지 못한 방향감각..""",나도 모른다고!!!!!...,"(사진출처 : JTBC 공식 홈페이지, 드라마 ""리갈하이"" 9화, 15화 中) 리갈하이 연출 김정현, 김상호 출연 진구, 서은수, 윤박, 채정안, 정상훈, 문예원, 장유상, 이순재 방송 2019..."
2,리갈하이 드라마,2019.03.31.,[드라마 9] 리갈 하이,Journey,"찾아보니 일본드라마 리메이크라고. 14회인가에 서변호사 아빠가 등장하고. 난... 리갈하이 연출 김정현, 김상호 출연 진구, 서은수, 윤박, 채정안, 정상훈, 문예원..."
3,리갈하이 드라마,2019.04.03.,리갈하이 서은수 패션 옷은? 지고트 정장 자켓 스커트 예쁘길래!,이상한 나라의 망고,"바로 2월달에 방영을 시작한, 일본작품을 리메이크한 법정드라마 리갈하이또한 마찬가지인데요. 너무 재미있기도 하지만 서은수 패션이 정말 곱디 곱게 나오기때문에..."
4,리갈하이 드라마,2019.04.10.,드라마 <리갈하이> 후기,심마니의 블로그:심...,드라마 <리갈하이>는 법정 드라마다. 아직 사회에 '정의'가 있다고 믿고 싶은 초보 변호사 서재인(서은수)와 돈만 쥐어주면 유죄도 무죄로 만드는 무패 신화 괴물 변호사...
5,리갈하이 드라마,2019.04.04.,"아름다운 세상 인물관계도, 등장인물, 박희순, 추자현, 조여정, 남다름, 김환희, 금토드라마 JTBC 리갈하이 후속",정연아 이미지테크,금토드라마 JTBC 리갈하이 후속 드라마 아름다운 세상 포스터 그동안 기다려왔던 주제를 다루는 드라마가 찾아왔어요~ 금토드라마 JTBC 리갈하이가 막을 내리고 그...
6,리갈하이 드라마,2019.04.09.,캐스팅디렉터 드라마오디션 보는 법! 2월 8일 드라마 '리갈하이' 스틸컷 사실주의 배우학교 박주리,사실주의연기아카데...,사실주의 배우학교 수강생 박주리의 JTBC드라마 '리갈하이' 출연 스틸컷입니다~! 2월 8일 JTBC드라마 '리갈하이'촬영 후기 수강생 박주리 JTBC드라마 '리갈하이' 에...
7,리갈하이 드라마,2019.04.12.,새로운 인물들이 추가된 리갈하이 시즌2 채널J에서 방송하고있네요,나혜의 여행노트,얼마전 막을 내린 JTBC드라마 리갈하이 덕분에 원작인 일드 리갈하이가 다시 주목받고있는데요 일드 리갈하이의 팬으로서 다시 봐도 너무너무 웃기고 재밌더라구요ㅋㅋ...
8,리갈하이 드라마,2019.04.09.,"드라마 <리갈 하이> 주제곡 ""Mr. Wonder""",추억의 음악 일상으...,"이번에는 2019년 2월부터 2019년 4월 사이에 방영한 JTBC (중앙동양방송) 드라마 ""리갈 하이""의 주제곡인 ""Mr. Wonder""라는 곡을 소개하겠습니다...."
9,리갈하이 드라마,2019.04.03.,"리갈하이, 병맛스러움의 극치",바부팅이 블로그.. ...,"사실 진구가 주연한 리갈하이 드라마가 일본드라마가 원작이라 해서, 함 볼까 했던것도 사실. 그래서 보게 된거다. 그리고 에피 3정도 즈음에 진구의 리갈하이 1화를..."
