,drama_title,date,blog_title,writer,contents
0,보좌관 - 세상을 움직이는 사람들 드라마,2019.07.14.,보좌관- 세상을 움직이는 사람들,외롭고 웃긴 여행,"정치에 깊은 관심을 갖게 해준 고마운 드라마에 감사하며.. 시즌 2기다립니다! 보좌관 - 세상을 움직이는 사람들 연출 곽정환 출연 이정재, 신민아, 김동준, 이엘리야..."
1,보좌관 - 세상을 움직이는 사람들 드라마,2019.07.15.,[드라마] 보좌관 시즌 1 - 세상을 움직이는 사람들 : 시즌 2를 기다리며..,평:온,"오늘 제가 포스팅할 드라마는 바로 '보좌관 - 세상을 움직이는 사람들' 입니다. 이 글은 시즌 1의 스포일러를 담고 있습니다. 출연 : 이정재(장태준 역), 신민아(강선영 역)..."
2,보좌관 - 세상을 움직이는 사람들 드라마,2019.07.15.,"보좌관, 세상을 움직이는 사람들 (JTBC 드라마 OST Part 1) Rainfall -  첸(CHEN)",포토인의 사진갤러리,"https://youtu.be/v-gyMyrWn0E 보좌관, 세상을 움직이는 사람들 [MV] Rainfall - 첸(CHEN) Chief of Staff OST Part 1(JTBC 드라마 OST) 등장인물 : 장태준 역..."
3,보좌관 - 세상을 움직이는 사람들 드라마,2019.07.15.,"보좌관-세상을 움직이는 사람들 ""한국판 House of Cards?""",LitReader's Review,"""보좌관""이 무엇을 하는 사람들인지 가장 확실하게, 한 번에 보여준 장면이라고 본다. 출처: JTBC '보좌관-세상을 움직이는 사람들' 그리고 드라마 내내 영"
4,보좌관 - 세상을 움직이는 사람들 드라마,2019.07.22.,보좌관 - 세상을 움직이는 사람들,삶에 대처하는 나의...,드라마 [보좌관]은 명확한 목적의식과 욕망을 가진 사람들의 이야기이다. 나는 드라마를 보는 내내 니체의 저 말을 계속 생각했다. 이런 권력을 다루는 드라마에서...
5,보좌관 - 세상을 움직이는 사람들 드라마,2019.07.21.,보좌관-세상을 움직이는 사람들<10>...동준,별을 그리다...,"JTBC ""보좌관-세상을 움직이는 사람들"" 10회 (190713) 한도경 / 김동준 송의원을 잡을 증거 보좌관님께 드렸어여^^ 그 증거 장보 손에서 또 사라질텐데...... 세상 순진한..."
6,보좌관 - 세상을 움직이는 사람들 드라마,2019.07.14.,"보좌관 - 세상을 움직이는 사람들 10회 최종회, 마지막회 줄거리 - 독사 새끼가 이무기가 되어버렸네",지혜로운 연서맘 ♡...,보좌관세상을움직이는사람들드라마 #드라마보좌관세상을움직이는사람들 #보좌관세상을움직이는사람들줄거리 #보좌관세상을움직이는사람들10회줄거리...
7,보좌관 - 세상을 움직이는 사람들 드라마,2019.07.27.,[드라마] 보좌관 (세상을 움직이는 사람들) 제8화,윤트(YUNT),[드라마] 보좌관 (세상을 움직이는 사람들) 제8화 http://tv.jtbc.joins.com/clip/pr10011052/pm10053546/vo10307067/view
8,보좌관 - 세상을 움직이는 사람들 드라마,2019.07.19.,보좌관:세상을 움직이는 사람들 (2019),모닝별의 365일★,권력의 정점을 향한 슈퍼 보좌관 장태준의 치열한 생존기 예고편 OST #드라마추천 #보좌관 #세상을움직이는사람들 #이정재 #신민아 #이엘리야 #김동준 #정진영 #김갑수
9,보좌관 - 세상을 움직이는 사람들 드라마,2019.07.25.,[JTBC스토리퀸]세상을 움직이는 사람들 <보좌관> 5~9회 읽어보기,EUNJOYFUL.COM,"온 세상은 태준의 이야기로 도배가 되었고, 선영또한 이러한 태준이... 오원식보좌관과 검찰, 태준은 완벽하게 자신을 쫒는사람들을 따돌리는데 성공한다. 송희섭의원은..."
