,drama_title,date,blog_title,writer,contents
0,으라차차 와이키키 2 드라마,2019.05.21.,[드라마협찬] JTBC <으라차차 와이키키> 속 찰스퍼니처 _ 거실인테리어 주방인테리어,"Be natural, be authentic....","JTBC 월화드라마 <으라차차 와이키키 2> with 찰스퍼니처 안녕하세요! 찰스퍼니처입니다. 오늘은 얼마 전 종영한 화제의 드라마, <으라차차 와이키키 2>와 함께 한..."
1,으라차차 와이키키 2 드라마,2019.05.15.,[JTBC드라마] 으라차차 와이키키2 마지막회 움짤 파티~!!!!,이런 하루,"오늘은 어제 마지막회로 종영한 으라차차와이키키 포스팅으로 돌아왔는데요!... 먼저, 드라마에서 우식이의 오랜 첫사랑이 수연이었고, 서로 통할 듯 안통할 듯..."
2,으라차차 와이키키 2 드라마,2019.05.19.,JTBC 드라마 으라차차 와이키키2 명대사 BEST 5,; A BOOK,"월화드라마 #바람이분다 기대중이라서 괜찮아요) 어쨌든 저도 이제 곧 졸업을... 굿바이 와이키키 으라차차 와이키키 2 연출 이창민 출연 이이경, 김선호, 신현수..."
3,으라차차 와이키키 2 드라마,2019.05.15.,"[으라차차 와이키키2] 15~16회(최종회) - 굿바이, 울고 웃었던 와이키키의 청춘 (리뷰/줄거리/캡쳐/대사 有)",봄밤,많았던 드라마였지만 그들이 잘 지내길 바라본다. <으라차차와이키키2> 마지막... +) 1.정은이 취미하나는 제대로 건진거 아닙니까 곰방대 2.뭔가 우식-기봉-준기의 우정?...
4,으라차차 와이키키 2 드라마,2019.05.17.,"으라차차 와이키키2 문가영 패션 옷 알아봄, 지고트 원피스 & 쿠론 가방",이상한 나라의 망고,"얼마전 재미있게 봤었던 으라차차 와이키키2가 끝이 났어요. 제가 좋아하는 안소희... 드라마를 보는 동안 정말 행복했었는데, 이렇게 막을 내린다니 아쉬워요...."
5,으라차차 와이키키 2 드라마,2019.05.16.,으라차차 와이키키2 최종회 굿바이 와이키키!,쎄려니,"엔딩 음악이 신나게 울려퍼지며 으라차차 와이키키2는 막을 내렸다. 그동안 준기 이이경 배우의 표정을 보면서 즐거워 하느라 챙겨보던 드라마였는데, 마무리도..."
6,으라차차 와이키키 2 드라마,2019.05.19.,으라차차 와이키키2 김예원 가방 이네스 무디 새들백,마마말랑의 뷰티 패...,은근 잼나게 보던 jtbc 드라마 으라차차 와이키키2가 드디어 종영을 했네요. 드라마도 잼나지만 으라차차 와이키키2에 나오는 여배우들의 패션을 보는 재미도 쏠쏠...
7,으라차차 와이키키 2 드라마,2019.05.21.,으라차차와이키키2 최애캐릭터 차유리를 파헤쳐보자!,오늘도 나는 무언가...,청춘들의 생활을 현실적으로 보여주는 면도 좋았고 무엇보다 사랑이라는 것이 정말 예쁘구나 하고 느끼게 하는 드라마였답니다. 으라차차와이키키3도 꼭 볼 수 있다면...
8,으라차차 와이키키 2 드라마,2019.05.21.,[월화 드라마] 으라차차 와이키키 2,Drama Love,나타난 세 남자의 첫사랑. 김정은 / 안소희 준기의 오랜 여자 사람 친구. 차유리 / 김예원 우식의 누나. 사진 출처 : JTBC <으라차차 와이키키 2>
9,으라차차 와이키키 2 드라마,2019.05.17.,으라차차 와이키키2 마지막회 안소희 세일러카라 티셔츠(코벳블랑) 컨버스신발  패션!,양띠모모 - 뷰티 패...,파란만장 여섯 청춘과 망할 위기에 처한 게스트하우스 와이키키에서 펼치는 청춘 드라마 으라차차 와이키키2의 시즌 2가 막을 내렸는데요. 그 중에서 알바왕이자...
10,으라차차 와이키키 2 드라마,2019.05.16.,jtbc월화드라마 으라차차와이키키 15화 줄거리 사랑해도 될까요?,뭉+꼼=밍형제와겅쥬,com/player/embed/VO10295913 으라차차 와이키키2 [최종회 예고] 이대로 수연이 보낼 거야? 우식을 찾아 응급실까지 쫓아간 수연. 우식에게 고백하고자 용기를 내봐도 계속해서...
11,으라차차 와이키키 2 드라마,2019.05.27.,{으라차차 와이키키 시즌2} 웹드라마/ 나에게 하나뿐인 그 소녀,드라마 영화 만화 좋...,웹드라마 으라차차 와이키키 시즌2 나에게 하나뿐인 그 소녀 짧은 드라마로 많은 이야기와 감정을 잘 보여준 웹드라마네요^^ 으라차차 와이키키 시즌2 옆에있을때...
12,으라차차 와이키키 2 드라마,2019.05.15.,"으라차차 와이키키2 문가영 패션, 신발은 질바이질스튜어트 운동화!",톡톡튀는 스타일,"으라차차 와이키키2 16회 문가영 패션, 신발, 운동화, 질바이질스튜어트 슈즈 안녕하세요 이웃여러분들! 제가 요즘 챙겨보는 으라차차 와이키키2 드라마 시즌1만큼이나..."
13,으라차차 와이키키 2 드라마,2019.05.18.,"[jtbc 월화드라마] 으라차차 와이키키 시즌 2 :: 안녕, 와이키키",김콩씨네,jtbc 월화드라마 으라차차 와이키키 시즌 2 마지막회 줄거리 쓰러진 우식이 걱정돼서 달려온 수연. 민아가 우식에게 고백하는 걸 듣게 된다. 굿바이 와이키키 기봉이 빵집...
