,drama_title,date,blog_title,writer,contents
0,17세의 조건 드라마,2019.08.14.,[드라마 추천] 17세의 조건 리뷰,Haru의 소소한 일상...,"[드라마 추천] 17세의 조건 리뷰 2부작으로 방영종료한 단편드라마 17세의 조건입니다. 윤찬영, 박시은 주연입니다. 서른이지만 열일곱입니다의 아역이었던 윤찬영..."
1,17세의 조건 드라마,2019.08.20.,17세의 조건 SBS 2019.08.05. ~ 2019.08.06.방영종료 2부작,행복의 향기 배움터,17세의 조건 SBS 2019.08.05. ~ 2019.08.06.방영종료 2부작 드라마 |15세이상 관람가 최고시청률3.0% (닐슨코리아 제공) 제작진 연출 조영민| 극본 류보리 출연진 고민재 역...
2,17세의 조건 드라마,2019.08.12.,신유나 - 애쓰지 않아도(17세의 조건 OST)노래듣기/노래가사,음악이라 말하고 노...,SBS 단편드라마 <17세의 조건> OST Part.1 ‘애쓰지 않아도'가 출시되었다. 드라마의 전체 테마 메시지를 담은 ‘애쓰지 않아도'는 절제된 피아노에 맑고 청순한 보이스의...
3,17세의 조건 드라마,2019.08.12.,17세의 조건 1화 2화 시청 후기,몽글몽글한 하루,보심 되구요 ㅋㅋㅋ 쓴글 있어요 ㅋㅋㅋ) 지금은 17세의 조건 시청 평을해볼께요 솔직히 이드라마 ? 할줄은 몰랐는데 알게되서 ㅋㅋㅋㅋ 보게됬는데 남주 여주가...
4,17세의 조건 드라마,2019.08.08.,[스타패션] 단막극 17세의 조건 속 윤찬영 패션 정보 !,Re : r ∥ are you ...,최근 끝난 2부작 드라마 '17세의 조건' 속 남자주인공 윤찬영씨의 패션 정보를 가져왔어요 ~! EVISU 유니_힐스 프린트 기본데님 셔츠_ER5USH701 극 중 윤찬영씨는 17세...
5,17세의 조건 드라마,2019.08.07.,‘17세의 조건’ 조영민 감독이 윤찬영과 박시은에게 고마움의 뜻을 전했다.,마루한,"지난 5일, 6일 방송된 SBS 단편드라마 ‘17세의 조건’은 극 중 약진고 2학년생인 고민재(윤찬영 분)와 안서연(박시은)이 겪은 여느 고등학생과는 조금 다른 결의 성장통을..."
6,17세의 조건 드라마,2019.08.12.,박해진 × 조보아 드라마 '시크릿'(가제) 마지막회 촬영을 한다고요?,배우 박해진의 길,SBS는 지난 6월 '초면에 사랑합니다' 종방 이후 가장 먼저 월화드라마를 중단했었지만 단막극인 '17세의 조건'과 예능 '리틀 포레스트'를 방송하고 오는 10월부터...
7,17세의 조건 드라마,2019.08.11.,그동안 본 드라마 정리하기 SBS 1,kongkong,그동안 본 드라마 정리하기 그동안 본 드라마 정리하기 SBS 1 1 크리스마스에 눈이... 최고bbbbbb 27 17세의 조건(2019) ★★★반 간만에 본 단막극 주연들을 어디서 봤나...
8,17세의 조건 드라마,2019.08.11.,아동학대가 얼마나 큰 트라우마를 남기는지 알게해준 드라마 '킬미힐미',YM ent 섭외 전문 엔터테인...,쉽게 말해 이 둘의 과거 상처를 치유하는 과정을 그려낸 드라마예요 - 일곱개의 인격을 가진 재벌 3세이자 ID엔터테인먼트 부사장 차도현. 타고난 신체적 조건과 훌륭한...
9,17세의 조건 드라마,2019.08.16.,,레번클로의 궁상,조우정이 이거 드라마 찍는대서 급하게 구매해서 읽는 중. 재밌다~~~ 당나라시절... 돕는 조건으로 기왕의 내시 양숭고라는 신분을 얻는다. 또한 서백은 자신의 사건을 다...
