,drama_title,date,blog_title,writer,contents
0,녹두꽃 드라마,2019.07.18.,SBS 드라마 '녹두꽃'/ 주간기독교,정연이네 집,"6월의 꿈 SBS 금토 드라마 <녹두꽃> ‘유월’은 태어나서 처음으로 대들어 보았다.... “녹두 장군님이 널 살려준 것이여. 그러니께 이강아, 이제 착하게 살어~” 여전히..."
1,녹두꽃 드라마,2019.07.14.,[드라마] '녹두꽃' 47화-48화(최종화) 감상문,쓸만한 잡동사니 작...,"죽음은 드라마의 인상 깊은 장면이었고, 특히 녹두장군이 마지막으로 남긴 그들이 바란 '녹두꽃이 만개한 세상'은 '갑오년 세상에서 이미 보았다'라는 대사가 오늘..."
2,녹두꽃 드라마,2019.07.16.,드라마 '녹두꽃' [리뷰],아이돌 플레이어,명심아씨 역의 박규영배우 녹두꽃의 시청률은 흥행이라고 보기는 힘들다. 필자는 애초에 이 드라마가 흥행할거라 생각하지 않았다. 세련되기보다 투박하고...
3,녹두꽃 드라마,2019.07.14.,"드라마 녹두꽃, 보좌관",人文故事춘추사관 H...,간밤에 동학혁명을 배경으로 한 사극드라마 ‘녹두꽃’과 정치드라마 ‘보좌관’... 그리고 녹두장군 전봉준도 처형됐으니 이렇게만 놓고 보면 해피엔딩이 아니라...
4,녹두꽃 드라마,2019.07.15.,드라마 녹두꽃을 보고,고양이는 내게 행복...,어제로서 드라마 녹두꽃은 종영되었다. 처음시작부터 진지하게 보았던 드라마인데... 마지막까지 감동으로 마무리된 녹두꽃 드라마에 박수를 보낸다. (백범김구의...
5,녹두꽃 드라마,2019.07.14.,드라마 <녹두꽃> 최종후기,"마음은 곱고, 뜻은 ...",OST가 거의 다 좋았던 드라마는 MBC<백성을 훔친 도적 : 역적> 이후로 처음인듯 하다. 녹두꽃 OST Part 1 아티스트 포레스텔라 발매일 2019.04.26. 포레스텔라의 <새야새야...
6,녹두꽃 드라마,2019.07.16.,드라마 '녹두꽃' 마지막회를 보고...,별별의 다락방 stor...,"드라마 '녹두꽃' 48부작 대장정을 무사히, 아니 훌륭하게 마치고 드디어 끝이 났다.... 또한 녹두꽃 드라마를 보는 중에 이 노래가 나와서 페북에 올렸다가 또 한번..."
7,녹두꽃 드라마,2019.07.14.,드라마 녹두꽃 윤시윤 종방연 배너,별하's 감성드라마&...,드라마 녹두꽃 종방연에 쓸 배너를 만드는데 글씨만 좀 넣어달라고 하심. 평소 윤시윤 님을 좋아하고 있었기에 시윤님을 위해 뭔가 해드리고 싶어서 흔쾌히...
8,녹두꽃 드라마,2019.07.23.,녹두꽃 결말 드라마와 역사의 관계,weezy의 블로그,알면 드라마에 대한 여운이 더 남겠죠? 녹두꽃이라는 이름부터가 동학농민운동의 주인공 전봉준의 별명인 녹두장군에서 따 온 것이랍니다. 동학농민운동은 어지러웠던...
9,녹두꽃 드라마,2019.07.20.,"악질경찰, 롱리브더킹:목포영웅, 알리타:배틀엔젤, 존웍3:파라벨룸 드라마 녹두꽃 감상평",뽀얀남자 요세프의 ...,"녹두꽃 연출 신경수, 김승호 출연 조정석, 한예리, 윤시윤, 박혁권, 민성욱, 박규영, 병헌, 최무성, 황영희 방송 2019, SBS 5점 만점 / 5점 처음 볼때부터 마음에 들었는데..."
10,녹두꽃 드라마,2019.07.18.,"조정석, 윤시윤, 한예리 출연, SBS 드라마 녹두꽃 대본집 출간",행복한 샐리 :),"담은 드라마 녹두꽃 대본집이 출간됩니다 2019년 4월 26일부터 7월 13일까지 48부작으로 SBS에서 방영된 드라마 녹두꽃은 조정석(백이강 역), 윤시윤(백이현 역)..."
