,drama_title,date,blog_title,writer,contents
0,닥터 프리즈너 드라마,2019.05.16.,[드라마]  '닥터 프리즈너' 최종화 / '구해줘 2' 3화 감상문,쓸만한 잡동사니 작...,드라마 <닥터 프리즈너>가 끝나면 바로 <구해줘 2> 본방 시간이기 때문에 쉴 시간 없이 채널을 돌려야 했습니다. 그래서 감상문도 한꺼번에 쓰기로 했음. <닥터 프리즈너...
1,닥터 프리즈너 드라마,2019.05.17.,드라마 닥터 프리즈너 촬영장소 화전동 벽화마을 벽화향기 달맞이길,뽀얀남자 요세프의 B급 감성...,"재개발, 재건축이라는 명목으로 말입니다. 하여튼 닥터 프리즈너도 해피엔딩으로 결말이 났고, 이제부터는 또 다른 드라마 촬영지를 검색해봐야겠습니다...^.^"
2,닥터 프리즈너 드라마,2019.05.16.,19.5.16 드라마 ' 닥터프리즈너' 인물들간의 두뇌전이 최고!,내가 사는 이유,오늘은 드라마 닥터 프리즈너 리뷰입니다. 처음에 재밌다고 했을때만 해도 얼마나 재밌겠어 했는데 한편을 보기 시작하고 ... 어느새 남궁민한테 홀려있는 저를 발견.......
3,닥터 프리즈너 드라마,2019.05.17.,2019KBS수목드라마 '닥터프리즈너' 에 대하여(Feat. 최원영),SIMPLE LIFE,진심 애청자!!!) 타 방송국 경쟁프로그램이 끝나자 '닥터 프리즈너'는 가열차게 복수에 복수로 달려나갔고 우리도 함께 동참했다. 분명 드라마 시작할 때는 최원영씨도...
4,닥터 프리즈너 드라마,2019.05.27.,드라마 '닥터 프리즈너'와 의사의 품격,행복해지는 법,바로 KBS2에서 방영되었던 수목드라마 닥터프리즈너의 나이제(남궁민)가 그 주인공입니다. 박진감 넘치는 빠른 전개로 많은 사람들의 사랑을 받았던 드라마였지만...
5,닥터 프리즈너 드라마,2019.05.18.,드라마 닥터프리즈너 명대사 (마지막회),꿈꾸는 소년,닥터프리즈너 첫방 보고 연출 너무 고급지고 연기 필력 감탄하면서 박수 치고싶은... 첫회 몰입감으로 두달동안 이 드라마때문에 매주 기다렸던... 첫방 재밌으면...
6,닥터 프리즈너 드라마,2019.05.17.,종영 드라마 추천 - 닥터프리즈너(스포 유의),지아맘의 일상생활 ...,그래서 재밌냐고 물어보니 엄청재밌다고 그때 부터 보기 시작한 닥터프리즈너!! 처음에는 아니 드라마도 생전 안보던 사람이 웬일이야 라고 생각을 하다가 재밌다길래...
7,닥터 프리즈너 드라마,2019.05.16.,"닥터 프리즈너 31회 32회=마지막회, 결말=GOOD, 최원영, 시즌2 나와도...",Blog 2 Remember,"프리즈너""의 ""시즌 2""가 나왔으면 좋겠는데... 나올지는 의문이다. 암튼 KBS 드라마국은 ""닥터 프리즈너 시즌 2""를 진지하게 고민해주시길. 글은 여기서 마무리."
8,닥터 프리즈너 드라마,2019.05.16.,[한드] 닥터 프리즈너의 결말을 보고,いつか...,어제부로 닥터 프리즈너는 종영을 했다. 지지난주의 결방이 드라마의 흥미도를 떨어뜨리는데 큰 일조를 했다고 본다. 결방의 이유가 “제작의 완성도를 위한 결정”...
9,닥터 프리즈너 드라마,2019.05.16.,KBS2 수목드라마 닥터 프리즈너 후속 단 하나의 사랑 원작 몇부작? 줄거리 인물관계도 없음 신혜선 김명수 이동건,황금돼지의 드라마통...,드라마통 황금돼지랍니다 어제 닥터 프리즈너가 종영되었는데요 정말 아쉽더라구요~ 하지만 또 하나의 드라마가 우리에게 다가오니 기대를 해본답니다. 단 하나의...
10,닥터 프리즈너 드라마,2019.05.25.,[악보/연주] 이수 - 태양에 녹여 (드라마 '닥터 프리즈너' OST) / 피아노악보,akbomania,드라마 '닥터프리즈너' OST 중 이수의 '태양에 녹여' 피아노 연주 악보입니다. A Key로 시작해서 중간에 잠깐 C Key 로 전조되었다가 다시 A Key로 돌아갑니다. 1. 음역...
11,닥터 프리즈너 드라마,2019.05.16.,닥터 프리즈너 마지막회 몇부작 후속 단 하나의 사랑 KBS2 수목드라마,에바그린님의 블로그,수목드라마 닥터 프리즈너 등장인물 남궁민 최원영 권나라 김병철 이다인 출처:KBS2 닥터 프리즈너 공식홈페이지 굿바이 닥터 프리즈너 KBS2 5월16일 22:00 22:35 KBS DRAMA...
12,닥터 프리즈너 드라마,2019.05.19.,"닥터프리즈너, 배우 남궁민의 열연으로 명드라마 완성",여름눈의 ♥북키♣북...,수목드라마 ‘닥터 프리즈너’. 극 중 억울한 사건에 휘말려 인생이 송두리째 바뀐 천재 외과의 나이제 역을 맡은 남궁민은 명품 연기를 바탕으로 인생작 갱신은 물론...
13,닥터 프리즈너 드라마,2019.05.16.,닥터 프리즈너 마지막회/결말 : 현실불가능한 승리의 경험을 상상해본 짜릿한 시간!,인간의 품격_루키,대로 '닥터 프리즈너' 전 회차를 사수할 수 있었다~ 현실에선 절대 이길 수 없는 불가능한 싸움이지만 드라마에서라도 사활을 걸고 싸워 이겨나가는 나이제를 통해...
14,닥터 프리즈너 드라마,2019.05.16.,"굿바이 닥터 프리즈너(재방송) 메이킹영상,새 수목드라마 단 하나의사랑",라니의 달콤한세상이...,닥터프리즈너 종방후 새로운 수목드라마 '단하나의 사랑'입니다. KBS2 새 수목드라마 단 하나의사랑 “인간을 관찰하는 일은 참으로 흥미롭습니다. 영겁의 시간이...
15,닥터 프리즈너 드라마,2019.05.29.,베스티안 병원(오송)과 함께한 닥터 프리즈너 : '총정리' 편 /베스티안병원/오송종합병원,화상전문베스티안병원블로그,"지난 5월 15일(수), KBS2TV 수목드라마 <닥터 프리즈너>가 32부작으로 종영되었습니다. 극 중 태강병원은 실제 베스티안 병원(오송)! '총정리' 편 나이제와 한소금의..."
16,닥터 프리즈너 드라마,2019.05.19.,닥터 프리즈너 종합후기 - 올해 KBS 드라마는 이거다! 지금까지도 앞으로도 없을 메디컬 서스펜스 드라마,하양훈의 일상 블로...,제 블로그에선 처음 추천하는 드라마 작품. 바로 닥터 프리즈너 입니다. 글을 쓴 날짜 기준으로 최근 종영한 KBS수목 드라마 인데요. 어느 하나 흠잡을데 없이 깔끔하게...
17,닥터 프리즈너 드라마,2019.05.21.,[수목 드라마] 닥터 프리즈너,Drama Love,오정희 / 김정난 재벌 사모님. 정의식 / 장현성 중앙지검 형사부장. 가족들 태강그룹 선민식 일가 교도소 사람들 의료과 교정 공무원 사진 출처 : KBS2 <닥터 프리즈너>
18,닥터 프리즈너 드라마,2019.05.19.,[자다 일어난 남궁민 움짤+영상]닥터 프리즈너 끝남...,Starting line,말도 차분하게 잘함 (배우로서 직업의식 충만한데 연기까지 잘하면서 잘생기기까지하니 안좋아할 수 없음.) 닥터프리즈너는 그냥 드라마 자체가 시간순삭되게 함ㅋ...
19,닥터 프리즈너 드라마,2019.05.16.,닥터 프리즈너 - 나쁜 놈도 정의가 될 수 있을까,세리의 소박한 세상...,드라마에서 정의는 주인공입니다. 주인공이 하는 건 전부 다 옳죠. 닥터 프리즈너 역시 나이제가 원하는 방향으로 끝났습니다. 이재준이 한마디 더 했죠. 누가 이기든...
20,닥터 프리즈너 드라마,2019.05.20.,[KBS] 닥터 프리즈너 - 전 32화,카사르의 영화. 그리...,닥터 프리즈너 / KBS 홈페이지 며칠 전 즐겨보던 드라마 <닥터 프리즈너>가 그 막을 내렸다. 연기의 신 세 사람이 모여 이루어낸 이 작품은 주인공인 남궁민과 선민식...
21,닥터 프리즈너 드라마,2019.05.18.,"[멜버른 생존일기 D+55] 어학원 레벨테스트, 스타벅스, 닥터프리즈너 드라마, 크림 파스타",소니로그,집 가서 저번 주에 못 본 닥터 프리즈너 봤당 ㅎㅎㅎㅎㅎㅎㅎㅎ 존잼이야 벌써 이번 주가 마지막화해서 끝인데ㅠㅠ 다 보고 보이스 3랑 구해줘 2 봐야딩 ! 그리고...
22,닥터 프리즈너 드라마,2019.05.16.,"닥터 프리즈너 결말, 뻔하지만 뻔하지 않은 엔딩",문화솔루션,리뷰 & 등장인물관계도 닥터 프리즈너는 KBS2TV에서 방영하는 수목 드라마로 (밤 10시 방영) 대형병원에서 축출된 외과 에이... blog.naver.com
23,닥터 프리즈너 드라마,2019.05.29.,쌀화환  - 배우 남궁민[KBS2TV 수목드라마‘닥터프리즈너’제작발표회],스타기부화환 스타사...,KBS2TV 수목드라마‘닥터프리즈너’제작발표회 현장에 배우 남궁민 님의 팬분들께서 보내주신 기부 화환을 설치하였습니다. -----링크를...
24,닥터 프리즈너 드라마,2019.05.16.,닥터 프리즈너 리뷰 : 공중파의 역습!,"WATCH, SHOES, DRAM...","""스포일러 없어요~"" 남궁민과 김병철~ 오랜만에 보는 남자 투 탑의 드라마!! <닥터 프리즈너>는 확실히 기존 KBS드라마와는 다른 결을 보여준다. 물론 그동안 공중파..."
25,닥터 프리즈너 드라마,2019.05.16.,닥터 프리즈너 마지막회 줄거리 끝나지 않은 결말 최원영 교도소,생각되로 Ting♡,정기 이사회 때 확인해~^^ ] 수목드라마 닥터 프리즈너 마지막 회 줄거리 결말 박은석 뇌사 가 아니였다!? 약도 일반약 처방에 심리를 자극해서 헌팅턴병 을 더 악화하게...
26,닥터 프리즈너 드라마,2019.05.21.,'닥터프리즈너' 히어로 남궁민과 이다인의 종영 소감문,여름눈의 ♥북키♣북...,"수목드라마 ‘닥터 프리즈너’. 무엇보다 이 드라마에서 돋보였던 건 단연코 천재 외과의이자 다크 히어로 ‘나이제’로 분해 사이다부터 감동, 쫄깃한 긴장감까지..."
27,닥터 프리즈너 드라마,2019.05.19.,"〔장르물〕닥터프리즈너 각인씬,덕통사고 주의요망!",플로안세의 피부이야...,"뭐야뭐야~ 벌써 끝난 드라마,닥터프리즈너! 사실 볼까말까 망설이다가 개인적으로 교도소가 소재로 잡히는 걸 별로 좋아하지않아서 넘길려다가 닥터프리즈너3회 첫..."
28,닥터 프리즈너 드라마,2019.05.29.,베스티안 병원(오송)과 함께한 닥터 프리즈너! : '나이제(남궁민)' 편 /베스티안병원/오송종합병원,화상전문베스티안병원블로그,"2TV 수목드라마 <촬영지 : 베스티안병원(오송)> 안녕하세요! 화제의 수목드라마, ‘닥터 프리즈너’ 속 ‘촬영지’ 베스티안병원(오송) 입니다.그럼 바로 &... blog.bestian.kr"
29,닥터 프리즈너 드라마,2019.05.19.,드라마 '닥터프리즈너',명랑이의 이것저것,나이제를 존잘로 보이게해주는 닥터프리즈너... 이거진짜예요 이드라마 안본사람없길...ㅠㅠ 나이제안녕.. 즐거웠어..ㅠ (나이제=닥터프리즈너주인공이름)...
30,닥터 프리즈너 드라마,2019.05.20.,드라마<닥터프리즈너> 선민식(김병철) 역,김태인 배우양성소,"닥터프리즈너 선민식(김병철) 역 선민식 인류가 열대우림에서 쫒겨난 후에 선택한 생존방식이 뭔지 아나? 이족보행과 달리기였어. 커다란 덩치도, 날카로운 이빨도..."
