,drama_title,date,blog_title,writer,contents
0,닥터탐정 드라마,2019.09.06.,채울 - 위험한 세계 ▒ 가사 / 듣기 ☆ SBS 드라마 닥터탐정 OST Part.2 ☆,모세아빠의 세상사는...,"오늘 SBS 드라마 닥터탐정의 최종회가 방영되었네요 드라마이지만 좀 특별한 드라마, 사회고발 메디칼 수사극이라고 하는데요 전에도 비슷한 드라마가 있었죠 특별..."
1,닥터탐정 드라마,2019.09.06.,#닥터탐정 16회 줄거리#비정규직의 슬픔을 알게 한 드라마!!,소소한 이야기~,비정규직의 슬픔을 알게 해주었던 드라마 닥터탐정 16회로 많은 걸 남기며 종염했습니다. 생명을 담보로 밀해야하는 노동자 비정규직의 애환을 알게 해주어서 더...
2,닥터탐정 드라마,2019.09.07.,닥터탐정수목드라마 - 저스티스16회시청후기/저스티스결말/미 너무 재밌는데요~,대가족,닥터탐정수목드라마 - 저스티스16회시청후기/저스티스결말/미 너무 재밌는데요~ 체포했다. 이후 가달라고 사건에서도 나오던 뉘우치고 이태경에게 그들은 죗값을...
3,닥터탐정 드라마,2019.09.06.,드라마 닥터탐정 봉태규 패션을 완성한 하금테 안경 어웨이크 [래쉬 AWAKE C.3],얼굴 위에 영감을 불...,AWAKE C.3 봉태규 착용 @닥터탐정 #봉태규안경 래쉬 AWAKE C.3 SBS 드라마 닥터탐정이 어제자로 유종의 미를 거두었습니다. 특히나 배우 봉태규님께서는 이 드라마에서...
4,닥터탐정 드라마,2019.09.11.,봉태규안경  래쉬 LASH 닥터탐정안경 스타일리시한 느낌!,딸기소보루의 ' Hob...,요즘 드라마 닥터탐정에서 힙한 스타일을 보여 주고 있는 봉태규! 특히나 봉태규가 쓰고 나오는 안경 마다 매번 이슈인데요. 많은 분들이 안경을 스타일리시한...
5,닥터탐정 드라마,2019.09.06.,5일 마지막 회 방송을 앞둔 SBS 수목드라마 ‘닥터탐정’ 측이 관전 포인트를 짚었다.,드라마덕후니,"5일 #마지막회 #방송을 앞둔 SBS #수목드라마 ‘ #닥터탐정’ 측이 #관전 #포인트를 짚었다. # 박진희, 절체절명 위기에 처한 딸 구해낼 수 있을까? 지난 4일 방송에서..."
6,닥터탐정 드라마,2019.09.13.,드라마 닥터탐정 정주행,오늘도 잘먹겠습니다...,#일상 #드라마 #드라마닥터탐정 #닥터탐정 #SBS드라마 #수목드라마 #박진희 #봉태규 #이기우 2019년 09월 13일 금요일 드라마 닥터탐정 SBS 2019.07.17 - 2019.09.05...
7,닥터탐정 드라마,2019.09.09.,대구 달성군 다사안경 래쉬(LASH) 안경추천 L-TYPE21 드라마 닥터탐정 봉태규 착용 / 아이젠트리다사점,다사안경 <아이젠트리 다사...,"오늘은 안경으로 써도 어울리고, 기분전환으로 선글라스 느낌으로 착용해도 찰떡인 안경테 소개해드릴께요~ SBS 수목드라마 "" 닥터탐정 ""의 허민기 역으로 열연..."
8,닥터탐정 드라마,2019.09.10.,<연예인서포트> SBS 수목드라마 닥터탐정 정강희 배우님 분식차 간식차 선물 감우성 배우님 서포트,황금발 푸드트럭,더위도 잊은채 점심시간에 딱 맞춰 준비해드리고 맛있는 분식 간식 전해드렸습니다^^ 3 시청률 쭉쭉 올라가는 닥터탐정 ! 재미있게 시청중이였던 드라마라서 얼마전...
9,닥터탐정 드라마,2019.09.06.,배우 박진희가 SBS 수목 드라마 '닥터탐정' 종영 소감을 전했다.,최적화블로그꿀벌 나...,"배우 #박진희가 SBS 수목 #드라마 ' #닥터탐정' #종영 #소감을 전했다. 박진희는 6일 소속사 엘리펀엔터테인먼트를 통해 ""촬영 내내 좋은 사람과 끝까지 함께해줘서..."
10,닥터탐정 드라마,2019.09.12.,남자 안경 하금테 역시 래쉬(LASH)♥ 여자가 써도 예쁘지요@닥터탐정 봉태규,권나나 뷰티 패션블...,"목 드라마 닥터탐정 봉태규가 착용했던 제품이에요 그래서 제목에도 남자 안경이라고 소개해드렸는데 사실 요런 디자인은 남자, 여자 구분 없이 누구든 착용할 수 있는..."
11,닥터탐정 드라마,2019.09.15.,LASH 닥터탐정 봉태규가 썼던 남자안경?,LASH,"닥터탐정 드라마가 모두 끝났어요 ㅠㅠ 드라마는 끝났지만, 드라마속에서... 닥터탐정에서 봉태규안경으로 선택된 래쉬 안경은 SK스토아에서도 만나실 수 있어요..."
12,닥터탐정 드라마,2019.09.09.,닥터탐정 봉태규 안경 LASH L-TYPE21 / 하금테 래쉬 안경 L-TYPE21,글라스스토리 성공타워점,#닥터탐정 #닥터탐정봉태규안경 #LASH #틴트안경 #틴트선글라스 #닥터탐정안경... SBS 닥터탐정 드라마에서 봉태규 배우님께서 착용하고 나오신 LASH L-TYPE21 C .1 C.4...
13,닥터탐정 드라마,2019.09.09.,닥터탐정[정강희] '닥터탐정'의 ★신스틸러★ ' 멋쪄부러~~,아라비안낮,그런 배우님이SBS 수목드라마 바꾸게 통해신스틸러의 ‘닥터탐정’을 정 담은신종 SBS 박준우 수사물로정강희 활약을 감독이 잡아 메디컬 배우는 알고싶다’...
14,닥터탐정 드라마,2019.09.16.,"닥터탐정[ ] 닥터탐 배우 무채색,무결점의 박진희  드디어 찾음~",하늘이 빨간색,엘리펀식구인 반가운 닥터탐정 부조리를 산업현장의 닥터탐정 !!!드라마 포스터만 수사물입니닷! 해결하는 사회 봐도 메디컬 기대되는 신종 은 통쾌하게 박진희...
15,닥터탐정 드라마,2019.09.11.,닥터탐정 마지막회 봉태규안경 래쉬,아이젠트리 부산 화명점,03 드라마 닥터탐정 마지막회에서 봉태규씨가 착용한 안경은 국내 하우스 아이웨어 브랜드 래쉬의 2019 S/S 모델 어웨이크입니다. 라운드형 쉐입으로 상단 프레임에만...
16,닥터탐정 드라마,2019.09.18.,닥터탐정 완전 멋진데요~,꽃길만 걷자,닥터탐정 완전 멋진데요~ 활약을 부터 목 UDC와 함께 직업환경의학 관심을 관심이 담은 비롯해 신종 '허민기'는 UDC의 닥터탐정들의 드라마로 감각을 한 '닥터탐정'은...
17,닥터탐정 드라마,2019.09.10.,[드라마] 닥터탐정,땅콩이네,"닥터탐정 연출 박준우 출연 이기우, 박진희, 봉태규, 이영진, 류현경, 후지이 미나... 실화를 바탕으로 한거라 더욱 의미 있었던 드라마에요! 더 길게 하지 않은 것이..."
18,닥터탐정 드라마,2019.09.09.,닥터탐정 이영진 패션 16회 옷 #에취 셔츠 원피스,♥,닥터탐정 마지막회 16회 이영진 패션 변정호 옷 에취 ETCH 셔츠 원피스 코디 최근 제일 재밌게 봤던 드라마 닥터탐정! 스토리도 재밌구 배우들 연기력까지 넘나 탄탄...
19,닥터탐정 드라마,2019.09.11.,"'닥터탐정' 봉태규 ""산업재해 소재작 뿌듯…감정 터뜨렸죠""",晩聳亭,"각종 산업재해 현장을 정면으로 다뤄 눈길을 끈 SBS TV 드라마 '닥터탐정'을 마친 배우 봉태규(38)는 이번 작품에 대해 ""상업적이기보다는 사실적인 드라마였다. 의미..."
20,닥터탐정 드라마,2019.09.19.,SBS 수목드라마 닥터탐정후속 시크릿 부티끄 내용 인물소개 김선아 장미희 박희본  / 1회줄거리 후회하실겁니다!,황금돼지의 드라마통...,"드라마통 황금돼지랍니다 국제도시 개발 게이트를 둘러싸고 권력과 복수, 생존을... 이 드라마는 돈과 권력 이란 욕망에 사로잡힌 사람들의 이야기다. 셀 수도 없는 돈을..."
21,닥터탐정 드라마,2019.09.09.,[20대 여자 패션] 닥터탐정 최종회 류현경 핑크 원피스,drsimsz님의블로그,[20대 여자 패션] 닥터탐정 최종회 류현경 핑크 원피스 드디어~~~ 드디어 닥터탐정이 16회를 다가와 최종회를 맞이했어요!! 흑흑 너무 재밌게보던 드라마중...
22,닥터탐정 드라마,2019.09.14.,유이란 - 무엇이 되어(닥터탐정 OST Part.3)노래듣기/노래가사,음악이라 말하고 노...,주인공 허민기(봉태규 분)와 도중은(박진희 분)의 활약으로 사회 여러 분야에 걸친 심각한 문제들을 되돌아보며 사건을 풀어가는 스릴 넘치는 드라마 ‘닥터탐정' 세...
23,닥터탐정 드라마,2019.09.06.,"LASH 닥터탐정 허민기 봉태규안경, AWAKE 래쉬 안경의 모든 것!",LASH,SBS 드라마 닥터탐정 최종화 / 봉태규 레트로한 #하금테안경 스타일을 래쉬만의 모던한 감성으로 재해석한 #AWAKE 상단 뿔테 프레임이 매력적이 눈매를 표현해 인상을...
24,닥터탐정 드라마,2019.09.06.,수목드라마 - 저스티스16회시청후기/저스티스결말/미스터기간제16회시청후기/미스터기간제결말/닥터탐정16회시청후기/닥터탐정결말,몽글몽글한 하루,"#수목드라마 #저스티스 #저스티스16회 #저스티스결말 종영 '저스티스' 손현주, 용서... ㅎㅎ #닥터탐정 #닥터탐정16회 #탁터탐정결말 이날 모성국(최광일)은 도중은의 딸..."
25,닥터탐정 드라마,2019.09.10.,[류현경]SBS '닥터 탐정' 13회 속 딘트 (DINT) 제품 정보입니다.,Publicity Agency D...,안녕하세요 홍보대행사 다우의 다우둥이입니다 ^-^ 지난 9월 5일 방영종료한 SBS 수목드라마 닥터 탐정! 지난 13회에서 반가운 이너를 류현경씨가 착용하고...
26,닥터탐정 드라마,2019.09.06.,"'닥터탐정'마지막회, 묵직한 엔딩..""죽음의 외주화를 멈춰라""…",사진쟁이의 하루,5일 방송된 SBS 수목드라마 '닥터탐정' 최종회에서는 TL그룹의 만행을 고발한 도중은(박진희 분)의 모습이 그려졌다. 이날 모성국(최광일)은 도중은의 딸 서린(채유리)을...
27,닥터탐정 드라마,2019.09.06.,닥터탐정에서 마지막까지 웃음을 안겨준 봉태규의 안경 [LASH],Mentor Communicati...,제가 좋아하고 자주 챙겨보던 드라마.. '닥터 탐정' 이 마지막화를...흑... 정말 지금까지 본 모든 드라마를 통틀어 가장 큰 감동을 받았던 드라마에요.. 이런게...
28,닥터탐정 드라마,2019.09.10.,"[우쭈 연예일기] '닥터탐정' 봉태규, 종영 소감 '아쉬운 점은...'",우쭈 연예일기,"'닥터탐정' 봉태규, 종영 소감 '아쉬운 점은...' 봉태규가 드라마 '닥터탐정'을 마치고 소감을 전했다. 봉태규는 SBS TV 드라마 '닥터탐 dailyfeed.kr"
29,닥터탐정 드라마,2019.09.11.,"닥터탐정 박지영 패션, 블라우스는 어디 옷?",RAC의 스타일수다,의상들은 드라마를 보는 재미들중 하나인데요 이번 닥터탐정 16회에서는 블라우스 의상들이 너무 예쁘더라구요 이 버건디 색상의 블라우스는 스트라이프 무늬가...
30,닥터탐정 드라마,2019.09.06.,[닥터탐정 마지막회 다시보기]'죽음의 외주화를 멈취라',백록담포크,[닥터탐정 마지막회 다시보기] '죽음의 외주화를 멈춰라' 우리 사회의 현실적인 문제 죽음을 담보로 일해야하는 비정규직 노동자들의 현실을 드라마로 했던 닥터탐정...
