,drama_title,date,blog_title,writer,contents
0,봄밤 드라마,2019.07.24.,드라마  봄밤ost 지름 & 감독판 DVD 블루레이 가수요중,별하's 감성드라마&...,얼마전 설레임을 남기고 종영한 드라마 봄밤! 비록 감독님 특유의 어두운 화면으로인해 짤작업을 미루며 포스팅은 하지 못했지만 방송은 챙겨보며 재밌게 봤었어요...
1,봄밤 드라마,2019.07.21.,드라마 봄밤에 나온 그 곳! 고급스러움 뿜뿜 이디야 본사 이디야 커피랩,Viva Primavera,드라마 봄밤에 나온 그 곳! 고급스러움 뿜뿜 논현동 이디야 커피랩 회사 근처에 위치해 언젠가 가보고 싶었던 이디야랩. 어느 날 드라마 봄밤을 보던 짝꿍이 드라마에...
2,봄밤 드라마,2019.07.19.,자식이란  -드라마 <봄밤> 을 보다가-,★바로크블록★,"얼마전 종영한 #한지민 , #정해인 주연의 드라마 < #봄밤 > 우연히 넷플릭스에서 발견해 남편과 보게 되었는데, (오히려 이제 나보다 드라마를 더 챙겨보심, 물론 미드 등..."
3,봄밤 드라마,2019.07.21.,드라마 봄밤 책추천 - 반고흐 영혼의 편지,오늘도 많이 먹어버...,"우리집에 있던 <반고흐, 영혼의 편지>(위즈덤하우스)가 이렇게 예쁜 표지로 리뉴얼이 된 줄 모르고 있다가 드라마 봄밤에서 극중 지호와 정인이 사랑을 확인하는 예쁜..."
4,봄밤 드라마,2019.07.20.,"MBC 드라마 <봄밤> 지호정인의 고백책, 정해인책 <반고흐, 영혼의 편지>",파니의 나른한 오후...,"최근 종영한 MBC드라마 <봄밤>을 즐겨봤다. 안판석 감독, 김은 작가의 전작인 <밥 잘 사주는 예쁜 누나>를 굉장히 재밌게 본 편이었기에, 게다가 <봄밤>엔 나의 애정배우..."
5,봄밤 드라마,2019.07.18.,봄밤 드라마 속 한지민 스킨케어 : 동인비,Life Life fashion ...,Previous image Next image 이 언니가 현재 출연중인 드라마 ! 바로 봄밤. 원래도 유명한 동인비 제품을 사용하더라! 세안 직후에는 동인비 윤 미스트를 얼굴 전체에 가볍게...
6,봄밤 드라마,2019.07.12.,[도서추천] 드라마 봄밤 정해인책 '반고흐영혼의편지',"여행, 혹은 여행처럼...","제가 갖고 있던 책과 디자인이 변경되었는데, 표지에는 '쟁기로 간 들판' 그림이 그려져 있고, 이번에 MBC드라마 '봄밤'에서 정해인과 한지민이 나란히 앉아 함께 사랑을..."
7,봄밤 드라마,2019.07.21.,"드라마 <봄밤> 속 정해인, 반고흐영혼의편지을 읽고♬",앨리스 일상나들이,"다섯 번째 여섯 번째 수시로 읽었던 그 책이 MBC 드라마 <봄밤>과 함께 다시 왔어요. 지호와 정인의 사랑이 전달 된 책 <반 고흐, 영혼의 편지>입니다. 이젠 고전이..."
8,봄밤 드라마,2019.07.25.,드라마 <봄밤>_두 엄마 이야기,짱고책방,"이 드라마 <봄밤>도 그랬다. 소소한 주말, 뭐하고 놀까하다나 빈둥대며 들어간 넷플에 뿅하고 뜬 한지민님의 얼굴과 로멘틱 뿜뿜한 밤의 벚꽃이 흩날리는 배경에 제목도..."
9,봄밤 드라마,2019.07.21.,"휴가책으로 선택한 봄밤책 - MBC 드라마 <봄밤> 정해인책 - <반고흐,영혼의편지>",우렁색시의 여행 이...,"그럼 시작해볼께요~ MBC드라마<봄밤> 정해인책 <반고흐, 영혼의편지> 휴가책으로 추천! 실은 MBC드라마 <봄밤>은 제가 미국에 있을때 하고 있던거라서 본방사수는 하지..."
10,봄밤 드라마,2019.07.20.,"<오야니새들>크림색상 드라마 봄밤, WWW 협찬 제품",?????????...,사진출처 드라마 봄밤 한지민 언니도 있는데 나만 없쒀 사진출처 드라마WWW (요즘 보는 드라마 ㅇㅅㅇ 여기서 보고 바로 구매 했죠) 오아연님 짱 사진출처 오야니...
11,봄밤 드라마,2019.07.13.,드라마 봄밤 한지민 귀걸이 골든듀 ! 당장 사러가자 ㄱㄱ,참 예쁘다 찍소,드라마 봄밤 한지민 귀걸이 골든듀 ! 당장 사러 가자 ㄱㄱ 요즘 너무나 핫! 한 드라마 내 마음을 콩닥콩닥 만들어주는 아주 사랑스러운!! 봄밤 진짜 보면서...
12,봄밤 드라마,2019.07.21.,우리나라 드라마 추천 [봄밤],Hello darkness,제목은 봄밤이라는데 엄청 뜨거운 한 여름밤 같은 드라마였다. 스토리의 전개가 다이나믹하지 않고 극단적으로 말하자면 1화를 보자마자 결말을 유추할 수도 있을...
