,drama_title,date,blog_title,writer,contents
0,생일편지 드라마,2019.09.19.,"드라마, 생일편지",현보네집,"추석 연휴에 방영했던 특별기획 드라마 생일편지, 후기가 좋아서 보고싶었다. 개인적으로 송건희가 나온다고 해서 더 보고 싶었음. (송건희 하면 다들 누구? 하는..."
1,생일편지 드라마,2019.09.13.,특집 단막극 생일편지 2부-2편 그리고 감상소감,풍운지가,이야기인 생일편지. 악랄한 일제에 의해 일본에 끌려간 두 남녀가 1945년 8월 6일... 다른 드라마들보다 훨씬 수준높은 작품이라 말할수 있을것 같습니다. 전무송-정영숙...
2,생일편지 드라마,2019.09.13.,2019 추석특집 [생일편지],비내리는 수요일엔 ...,2019년 추석특집 드라마 생일편지 “죽기 전 꼭 남기고 싶은 이야기. 그리고 꼭 만나고 싶은 한 사람.” 1945년 일제강점기 말미부터 광복을 거쳐 한국전쟁까지. 험난했던...
3,생일편지 드라마,2019.09.19.,추석특선드라마 생일편지에 나온 경량전동휠체어 조이라이더를 바로 만나보세요 ^^,징거체어/조이라이더...,"드라마 생일편지에 전무송씨가 타고 나오신 전동휠체어는 ""조이라이더"" 입니다. 조이라이더는 원터치로 폴딩이 가능하고, 가벼운 무게로 더욱 자유롭게..."
4,생일편지 드라마,2019.09.13.,추석 특집 드라마 생일편지 인물소개 1회줄거리 히로시마 징용  송건희 전소민 고건한 / 2회예고,황금돼지의 드라마통...,추석 특집드라마로 생일편지를 보여주었는데요. 1회부터 2회까지 진행되는 내용르 살펴봐드릴거에요. 오늘 추석이라 날씨도 너무 화창하니 오늘 밤에는 한가위...
5,생일편지 드라마,2019.09.13.,조수민 성형 생일편지 아역 키 몸매 과거사진 프로필,그냥그냥블로그,▼▼ 조수민 과거사진 성형전 몸매 키 아역시절 집안 남자친구 인스타 배우 조수민은 KBS2 2부작 드라마 '생일편지'에서 여일애 역을 맡았다고 해요. 배우 '송건희...
6,생일편지 드라마,2019.09.13.,배우 조수민이 ‘생일편지’를 통해 안방극장에 절절한 여운을 선사했다.,최적화블로그꿀벌 나...,KBS 특별기획 ‘생일편지’는 잊지 못할 첫사랑에게서 생일 편지를 받은 후 1945년 히로시마의 기억 속으로 들어간 노인의 이야기를 그린 드라마. 조수민은 열일곱...
7,생일편지 드라마,2019.09.15.,"드라마 생일편지 1화,2화 시청후기 / 드라마 생일편지 결말",몽글몽글한 하루,#드라마생일편지 #생일편지 #생일편지결말 #드라마생일편지결말 1화 (1.2회) 어린 김무길(송건희 분)은 어린 여일애(조수민 분)를 만나기 위해 일본 히로시마로 향했다....
8,생일편지 드라마,2019.09.18.,[단막극] 생일편지 감상평,글 이야기,"생일편지 연출 김정규 출연 전소민, 전무송, 정영숙, 송건희, 조수민, 김경남... 이게 이 드라마에서 느껴졌던 점이다. 그런 마음을 조명해서, 아직 우리는 사람으로..."
9,생일편지 드라마,2019.09.16.,2019년 추석특집 '생일편지',노무현리더십연구소,"추석, 이 드라마가 보여준 비극 [리뷰] KBS 2TV 드라마 <생일 편지> 비극적 역사로 인해 엇갈린 두 연인 [오마이뉴스 이정희 기자] 이젠 그러려니 한다...."
10,생일편지 드라마,2019.09.16.,[스타패션] 추석특선 드라마 생일편지 속 김경남 패션 정보,Re : r ∥ are you ...,추석특선 드라마 생일편지 속 김경남 패션 정보 ! BRAND / EVISU 공용_힐스 LOOSE FIT 맨투맨_ER2UTS311_MG 여러분 안녕하세요 ~! 다들 추석 잘 보내셨나요? ;-)) 이번추석...
11,생일편지 드라마,2019.09.16.,"전소민이 생일편지에서 착용한 상, 하의 제품은? _ 준 (JUNE)",KIMEUNI,드라였어 :) 생일편지는 일제강점기 때 잃어버린 첫사랑을 찾는다는 소재의 드라마였는데 단순하게 첫사랑을 찾는다는 내용이 아닌 우리 시대의 역사까지 알 수 있어서...
12,생일편지 드라마,2019.09.13.,추석 특집 드라마 ‘생일편지’,나루해오름,12일 방송된 KBS 2TV #추석 #특집 #드라마 ‘ #생일편지’(극본 배수영 /연출 김정규) 3~4회에서 일제강점기 강제 징용자의 고된 현실을 생생히 그려내며 일제강점기와 광복...
13,생일편지 드라마,2019.09.18.,KBS 생일편지 4회_전소민화이트 후드 원피스 로켓런치(ROCKET X LUNCH),스타패션 매거진,KBS 생일편지 4회_전소민 화이트 후드 원피스 로켓런치(ROCKET X LUNCH) KBS 생일편지 추석특집드라마 보셨나용? 보고나서 몽글몽글해지는 기분의 드라마였어용 ㅎㅎ...
14,생일편지 드라마,2019.09.15.,<생일 편지> 비극적 역사로 인해 엇갈린 두 연인의 뒤늦은 해후,톺아보기,"9월 11일, 12일 양 일간에 걸쳐 밤 10부터 방영된 특별 기획 드라마 <생일 편지>가 그 주인공이다. 1,2회 2.8%, 3회 0.9%, 4회 1,4%에 불과했다. 드라마가 재미없어서? 아니..."
15,생일편지 드라마,2019.09.17.,JTBC 멜로가 체질 천우희 운동화 & KBS2 생일편지 전소민 운동화 정보 : 수페르가 / 천우희 운동화 / 전소민 운동화 / 플랫폼 스니커즈 추천 / 수페르가 운동화,유리,"수페르가 플랫폼 스니커즈 화이트 (2735-COTW White_S00CLL0900) / 75,000원 출처 KBS2 생일편지 출처 KBS2 생일편지 추석 특집으로 방송된 드라마 생일편지의..."
16,생일편지 드라마,2019.09.16.,한 장의 편지로부터 시작된 옛 사랑 생일 편지,부티나STORY,"11일, 12일 이틀에 걸쳐 오후 10시 방송된 특별 기획 드라마 <생일 편지>가 그 주인공이다. 시청률은 1, 2회 2.8%, 3회 0.9%, 4회 1.4%에 불과했다(닐슨코리아 전국 기준)..."
17,생일편지 드라마,2019.09.18.,전소민이 생일편지에서 착용한 화이트 쇼퍼 백은? _ 하고 (HAGO),KIMEUNI,뇽안뇽안 최근에 전소민이 추석 시즌에 맞춰서 KBS2 생일편지라는 단막극으로... 다시 한 번 전소민이 연기자라는 걸 인식하게 해 준 드라마였던 거 같애 이 날 전소민은...
18,생일편지 드라마,2019.09.15.,[부모님 선물] #상패인아트 #초상화감사패 #감사패선물 ♥ 부모님께 띄우는 편지 문구,햄토링 데이로그 ♩,"2016.06 영화 ""특별수사-사형수의 편지""... 2015.08 sbs드라마""용팔이"" 메인그림협찬... 용용희씨(=울엄마)의 생일이었다. 첫 손주가 태어났다고 정말 감사히도 여러..."
19,생일편지 드라마,2019.09.24.,전소민 나이 인스타 키 결혼 드라마 볼매야 증맬루,26rm8a3hk4q님의블로...,"전소민씨는 최근 종영한 드라마 톱스타 유백이, 생일편지 등에 출연을 하였으며 아직 차기작은 미정인 상태인데요. 꾸준하게 활동을 하고 있는 만큼 조만간 좋은..."
