,drama_title,date,blog_title,writer,contents
0,슬플 때 사랑한다 드라마,2019.04.28.,"슬플 때 사랑한다 37회38회39회40회=마지막회, 쌤통 결말, 류수영",Blog 2 Remember,27일 MBC 주말드라마 ‘슬플 때 사랑한다 entertain.naver.com 지현우와 박한별과 달리 코브라를 연기한 류수영은 시종일관 명연기를 보여줬다. 사실 류수영이 연기를 제대로...
1,슬플 때 사랑한다 드라마,2019.04.28.,04월 28일 오후 03시 26분 [MBC 드라마 슬플 때 사랑한다 [마지막회까지 완결] 시청 ♡],행복바이러스 ♡,"오늘 본 드라마 MBC 드라마 슬플 때 사랑한다 1회~마지막회 감상평 * [본방주 타임으로, 티브로드 유선방송] 시놉시스 : 사랑이라는 말, 흔해졌다. 그러나 사랑, 참..."
2,슬플 때 사랑한다 드라마,2019.05.11.,드라마 :) 슬플 때 사랑한다 39~40회(마지막회) 리뷰,중경삼림,당신은 아내를 사랑한다면서... 어째서 당신 때문에 흘린 눈물은 보지 못하는거지?... 그 때 옥상에 나타난 마리 윤마리 : 선생님!!! 강인욱 : (마리를 보며) 가!!! 윤마리...
3,슬플 때 사랑한다 드라마,2019.05.01.,드라마 이몽 이요원 유지태 남규리 인물관계도와 몇부작? 슬플 때 사랑한다 후속 작품!!,달빛아래,드라마 이몽이 5월 4일 토요일 저녁 9시 5분에 첫방송을 해요 !! MBC에서 방송을 하는데 슬플 때 사랑한다 후속작으로 방송이 되죠ㅎㅎ사전제작으로 해서 이미 제작은...
4,슬플 때 사랑한다 드라마,2019.05.09.,슬플때 사랑한다 몇부작 줄거리 결말 후속,글로벌마케팅인사이...,진정한 사랑을 찾아가는 세 남녀의 격정 멜로 드라마 슬플때 사랑한다. 신과의 약속 후속으로 슬플 때 사랑한다가 방영되었죠~ 총 40부작의 탄탄한 내용을 바탕으로...
5,슬플 때 사랑한다 드라마,2019.05.02.,[방송리뷰]슬플때 사랑한다40회 결말,yellgogo,#당신이슬플때에도나는당신을사랑합니다 이 드라마에서 두번째 좋았던 정원.. 마리와 행복하게 끝나는데 .. 전 끝까지 응원할수 없던 사랑입니다. 끝났는데 질척거리기....
6,슬플 때 사랑한다 드라마,2019.05.02.,"드라마 <슬플 때 사랑한다> 주제곡 ""Loving You In Every Ways""",추억의 음악 일상으...,"이번에는 2019년 2월부터 2019년 5월 사이에 방영한 MBC(문화방송) 드라마 ""슬플 때 사랑한다""의 주제곡인 ""Loving You In Every..."
7,슬플 때 사랑한다 드라마,2019.04.28.,슬플때사랑한다/마지막40회/해피엔딩&자살,사랑의 동산,류수영 지현우 박한별 왕빛나의 빛나는 연기로 죽어야 끝나는 아픈 드라마로 의처증환자 조심해야 한다! 넘 무서워 몰입하며 관람했다! 용담화 꽃말 처럼 슬플때 사랑해...
8,슬플 때 사랑한다 드라마,2019.04.30.,[왕빛나] MBC드라마 '슬플 때 사랑한다' 37-38회 속 딘트(DINT) 제품 정보입니다.,Publicity Agency D...,[왕빛나] MBC 드라마 '슬플때 사랑한다' 37-38회 속 딘트(DINT) 제품정보입니다.... 오늘은 지난27일에 방영 종료한 MBC드라나 '슬플 때 사랑한다'에서 갤러리 부관장...
9,슬플 때 사랑한다 드라마,2019.04.28.,"슬플때 사랑한다,최종화_류수영(강인욱役) 님 위주 (feat.폭력은 사랑이 아니다)",지랄도 풍년이다,"27 土 슬플때 사랑한다,39-40회(최종화) 강인욱 役 (류수영어남선형님)위주.... JPG +) 드라마 리뷰가, 국영방송 '별난며느리'가,마지막..이었던가..(쿨럭);; 암튼 이런..."
10,슬플 때 사랑한다 드라마,2019.05.02.,MBC <슬플 때 사랑한다> 지현우 패션 : 투미,M.edit,MBC <슬플 때 사랑한다> 지현우 패션 : 투미 출처 BS엔터테인먼트 안녕하세요.... 따뜻해지는 드라마 한 편을 본 것 같아요. 출처 MBC 지난 37-38회에서는 행복한 시간을...
11,슬플 때 사랑한다 드라마,2019.05.02.,"슬플때 사랑한다 박한별 패션, 옷 @폼스튜디오 니트",PANDORE,"요즘같은 날씨가 6월까지 계속되길 바란다면 너무 욕심쟁이일까ㅠ_ㅠㅋㅋㅋㅋㅋㅋ 슬플때 사랑한다같은 드라마도 더 많이 나왔음 좋겠음! <사진 출처: 폼스튜디오, MBC>"
12,슬플 때 사랑한다 드라마,2019.04.29.,"슬플때 사랑한다 37회, 38회, 39회,40회 마지막회 , 최종회 줄거리 - 강인욱의 죽음, 정원과 마리의 해피엔딩결말",지혜로운 연서맘 ♡...,"슬플때 사랑한다 37회, 38회,39회,40회 마지막회 , 최종회 줄거리 - 강인욱의 죽음, 정원과 마리의 해피엔딩결말 #슬플때사랑한다 #드라마슬플때사랑한다..."
13,슬플 때 사랑한다 드라마,2019.04.29.,슬플 때 사랑한다 왕빛나 패션 33회 이어링 #비올리나 연예인 귀걸이,Fashion Mania,슬플 때 사랑한다 왕빛나 패션 33회 주해라 이어링 #비올리나 (Viollina) 연예인 귀걸이 코디 며칠 전에 슬플 때 사랑한다가 막방을 했어요 ~ 평소에 즐겨보던 드라마라 더...
14,슬플 때 사랑한다 드라마,2019.05.05.,드라마 :) 슬플 때 사랑한다 37~38회 리뷰,중경삼림,"그대로 사랑해줬어. 내 모습이 아니라, 내 영혼을 품어준거라고. 마리의 말을... 88년생이라는건 드라마 초반에 나와서 알고 있었는데 강인욱은 몇 살인지 궁금했음...."
15,슬플 때 사랑한다 드라마,2019.04.28.,슬플때 사랑한다 후속 드라마 이몽 인물관계도/등장인물 이요원 유지태 임주환 남규리,새벽달의 감성다락방,"MBC 토요 드라마 '슬플 때 사랑한다' 마지막회 결말, 종영과 함께 후속작인 '이몽' 에 대한 관심도 높아졌죠. 티저, 포스터 공개될때마다 기대감 상승했는데 이몽..."
16,슬플 때 사랑한다 드라마,2019.05.03.,[슬플때 사랑한다 후속작] 이요원X유지태 <이몽> 몇부작/인물관계도/줄거리,뚜러콜,출처 - 드라마 이몽 공식홈페이지 그나저나 이번에 박한별 주연의 슬플때 사랑한다 후속작 보셨어요? 제가 진짜 좋아하는 이요원x유지태 조합이라니.. 이건 꼭 봐야해요...
17,슬플 때 사랑한다 드라마,2019.04.30.,슬플 때 사랑한다 지현우 패션 애드호크 체크코트 AD HOC,애드호크(AD HOC) 공...,지난 주 일요일 마지막 방송까지 시청률 1위를 지키며 유종의 미를 보여준 MBC 주말 드라마 슬플 때 사랑한다 지현우는 매 회 깔끔한 스타일링을 보여주며...
18,슬플 때 사랑한다 드라마,2019.05.09.,슬플 때 사랑한다,흘러가는,"슬플 때 사랑한다 연출 최이섭, 유범상 출연 지현우, 박한별, 류수영, 왕빛나... 황정인, 박상신, 하은정 방송 2019, MBC 역시 드라마는 막장이 젤루 재밌쥬? 핵꿀잼 ~"
19,슬플 때 사랑한다 드라마,2019.05.03.,드라마 '슬플때 사랑한다' 배우 류수영 떡케이크/행사떡케익/기념떡케익/종방연떡케익/종방연떡,한섬떡케익 블로그,드라마 슬플때 사랑한다에서 악역을 맞은 배우 류수영님 케익입니다! 80*40cm 로 준비해드렸습니다! https://kakaotv.daum.net/v/397902897 《메이킹》...
20,슬플 때 사랑한다 드라마,2019.05.05.,[변백현빙의글/ 박찬열빙의글] 슬플때 사랑한다 01,EXO's Lover,"그에 사랑이 나에겐 너무나 지치면서 이렇게 살아야 하나 싶은 생각이 많이 든다 왜... "" ""경찰은 무슨"" ""내가 직접 나선다"" 꺄아아ㅏㅏㄱ 제가 최근에 본 드라마 배경으로..."
21,슬플 때 사랑한다 드라마,2019.05.10.,드라마 '슬플때 사랑한다' 배우 류수영 떡케이크/행사떡케익/기념떡케익/종방연떡케익/종방연떡,행사떡 전문 _한섬떡...,배우류수영님 인스타그램 출처 드라마 슬플때 사랑한다에서 악역을 맞은 배우 류수영님 케익입니다! 80*40cm 로 준비해드렸습니다! https://kakaotv....
22,슬플 때 사랑한다 드라마,2019.04.30.,슬플때사랑한다 결말 슬퍼요 류수영 연기대상감..,피스타치오,분명 좋은 성과를 누릴 수 있었던 드라마였는데 ...안타깝네요.. 박한별 주연 ‘슬플 때 사랑한다’ 시청률 10.8%로 무사히 종영 그래도 시청률은 나쁘지 않았나 봅니다....
23,슬플 때 사랑한다 드라마,2019.04.29.,슬플때 사랑한다 마지막회 지현우 신발(운동화) 패션 #발리 갤럭시 스니커즈,PANDORE,슬플때 사랑한다 마지막회(37회 38회) 지현우 신발(운동화) 패션 #발리 남자 스니커즈 BALLY 지현우와 류수영의 인생캐를 만난 드라마가 아니었을까 하는 슬플 때 사랑한...
