,drama_title,date,blog_title,writer,contents
0,신입사관 구해령 드라마,2019.10.01.,엔딩까지 재미있게 본 드라마 <신입사관 구해령>,A LETTER FROM G,"썼다ㅠㅠ)b 신입사관 구해령 연출 강일수, 한현희 출연 신세경, 차은우, 박지현... 생각보다 여러 엄청난 한국 드라마에 길들여진 강한 사람이므로^^ㅋ 흑흑 세경씨..."
1,신입사관 구해령 드라마,2019.10.06.,[MBC] 신입사관 구해령 리뷰,로맨틱 선셋♥,"“신입사관 구해령”은 해피엔딩이 꼭 결혼일 필요는 없다는 걸 보여주며 끝을 맺어 행복함을 선사한 드라마였다. 제목과 찰떡인 드라마! ""신입사관 구해령""이었습니다."
2,신입사관 구해령 드라마,2019.09.30.,<신입사관 구해령>에 대한 개인적인 후기 (스포주의),"Me, Myself, MELLIf...","얼마 전, MBC 수목드라마 <신입사관 구해령>이 종영을 했다. 오랜만에 매주 기다리며 챙겨봤던 드라마가 종영을 해서 아쉽기도 하고 이 들의 이야기를 조마조마하며..."
3,신입사관 구해령 드라마,2019.09.28.,드라마 '신입사관 구해령' 후기,빛바랜 서재,"'신입사관 구해령' 40부작(20회)으로 끝을 맺었지만, 한 주는 더 했어야 하는 게... 여러 아쉬운 점은 있지만 난 이 드라마가 최근 방영 했던 드라마 중 가장 좋았다. 드라마..."
4,신입사관 구해령 드라마,2019.09.27.,신입사관 구해령 39회 40회=마지막회::신세경+차은우+박기웅+박지현,Blog 2 Remember,"그리고 어제 ""신입사관 구해령""은 마지막회를 방송했다. 그래서 드라마 전체적으로 잡담 좀 해 보면 :: -일단 결말은 괜찮았다. 특히 구해령과 이림이 결혼하지 않고 동거..."
5,신입사관 구해령 드라마,2019.10.02.,신입사관 구해령 1~40회 전체 리뷰,르콕의 리뷰공방,매주 드라마 신입사관 구해령을 봐서 즐거웠습니다. 앞으로도 역사 드라마를 볼 생각입니다. 지금은 조선로코 녹두전을 보고 있는데 리뷰를 적을 때마다 습관적으로...
6,신입사관 구해령 드라마,2019.10.04.,차은우 : 신입사관 구해령 이림,별하's 감성드라마&...,#드라마신입사관구해령 초반에는 차은우 님의 표정연기가 다소 과장된 느낌이었는데 보다보니 괜찮더라고요. 무엇보다 이림 캐릭터와 차은우 님 이미지가 잘어울려서...
7,신입사관 구해령 드라마,2019.09.28.,"신입사관 구해령 / 미모열일 퓨전사극 로맨스, 극한직업 조선사관",AFS Daudet,"신입사관 구해령은 신세경에게 중요한 드라마였어. 퓨전사극의 절대강자라는 것을 스스로 증명해야 했고, 네임벨류가 본인이 가장 높은 캐스팅이었으며, 타이틀롤을..."
8,신입사관 구해령 드라마,2019.10.05.,"차은우(도원대군,이림) 신입사관 구해령 27~28회 드라마 보정 움짤 기차!",까만 별가루가 뿌려...,"MBC 수목드라마 신입사관 구해령 본방사수! 훈훈한 차은우 위주 보정 움짤! 매주 수, 목 밤 8시 55분에 방송했었지ㅠㅠ 차은우 크으으!!!!!! 27-28회 그냥.. 그 한마디면 될..."
9,신입사관 구해령 드라마,2019.10.06.,1910. 신입사관 구해령,XXX,신입사관 구해령 MBC 190717-190926 순전히 차은우 잘생긴거 보려고 시작했는데 ㅋㅋ... ㅋㅋ 드라마 초반부는 해령과 도원대군의 매화로 인해 엮임 해령 여사관 과서 급제...
10,신입사관 구해령 드라마,2019.10.08.,넷플릭스_신입사관 구해령,:p,MBC 신입사관 구해령 ?????????? 왜 이제야 본건지 후회될정도로 오랜만에 만난 재밌는 드라마 시대극(사극)을 좋아하는 편이지만 끝까지 집중해서 본...
11,신입사관 구해령 드라마,2019.09.28.,"너 살던 대로 잘 살아라, 굴복하지 말고 (신입사관 구해령)",OPEN UP,-'신입사관 구해령'을 마친 소감은. ▶(인터뷰 시점 기준으로) 종영까지 2회 가... 멜로 드라마라는 것이 꽉 닫힌 해피엔딩으로 가려면 '둘이 결혼해서 오래오래 행복하게...
12,신입사관 구해령 드라마,2019.09.27.,'신입사관 구해령'이 대단원의 막을 내렸다.,드라마덕후니,"MBC 수목 드라마 '신입사관 구해령(극본 김호수 / 연출 강일수, 한현희 / 제작 초록뱀미디어)'은 조선의 첫 문제적 여사(女史) 구해령(신세경 분)과 반전 모태솔로 왕자..."
13,신입사관 구해령 드라마,2019.10.05.,재미있게 본 드라마 신입사관 구해령,블로그,신세경 배우님이 나오신다기래 첫 방송부터 챙겨봤던 드라마 신입사관 구해령. 조선시대를 배경으로 하는 드라마임에도 여성들이 사관으로 궐에서 일 하는 모습을...
14,신입사관 구해령 드라마,2019.10.08.,쌀화환 - 차은우[MBC 수목드라마 '신입사관 구해령' 제작발표회],스타기부화환 스타사...,MBC 수목드라마 '신입사관 구해령' 제작발표회 현장에 차은우 님의 팬분들께서 보내주신 기부화환을 설치하였습니다. -----링크를...
15,신입사관 구해령 드라마,2019.09.28.,신입사관 구해령 신세경 귀엽,hibnk님의블로그,시입사관 구해령 일부는 역사와 맞는것도 있고 일부는 각색 기본 틀은 역사를 빗대어 만들어진 드라마네요 마지막회 신입사관 구혜령 왕을 죽이고 즉위함은 예전에도...
16,신입사관 구해령 드라마,2019.09.27.,신입사관 구해령,Louise의 골방,"그게, 진실의 힘입니다."" 제일 중요한 대사를 구해령에게 준 것이 좋다. 역사를 기록하는 사관들의 사명감 너무 멋있어ㅠ 직필!! +) 드라마에서 무관들 칼 고증 신경쓴거..."
17,신입사관 구해령 드라마,2019.10.05.,심규선(Lucia) 처음부터 내 사랑(신입사관 구해령 OST.Part.4),맛과 멋을 노래하는...,내가 사랑할 한 사람 이토록 나를 지켜줄 내 사람 그댈 사랑한단 한 마디 이젠 할 수 있어요 오직 한 사람 그대만을 사랑해요 #신입사관구해령 #드라마ost #심규선 #Lucia
18,신입사관 구해령 드라마,2019.10.08.,종방연케이크 연예인케이크 신입사관구해령 4단케이크 웨딩케이크 3단케이크 호텔웨딩케이크 주문제작 후기,느엘스 플라워케이크,오늘은 드라마 신입사관구해령 종방연케이크로 제작되었던 4단케이크를... NaHaNuel 신입사관 구해령 드라마 시작즈음엔 신세경님 생일케이크를...
19,신입사관 구해령 드라마,2019.10.05.,신세경 : 신입사관구해령 구해령,별하's 감성드라마&...,어느 순간 팬이 되어있더라고요 ㅎㅎㅎ 그래서 #드라마신입사관구해령 캐스팅 소식을 들었을 때도 반가웠고 기대가 됐었습니다. 그리고 역시 신세경 님표 해령이는...
