,drama_title,date,blog_title,writer,contents
0,아이템 드라마,2019.04.15.,드라마 리뷰 #9 <아이템>,♥♡ZELOS의 문화 여...,"'아이템' (연출 : 김성욱, 박미연 / 작가 : 정이도) 드라마 '아이템' 포스터 원래 판타지적이라는 장르 자체에 큰 흥미를 가지고 있진 않았다. 하지만 웹툰을 기초로 두고..."
1,아이템 드라마,2019.04.03.,"드라마 아이템 리뷰(주지훈,김강우,진세연)",영화.만화.자동차. ...,#아이템 #드라마 #주지훈 #진세연 #김강우 #판타지 #웹툰 개인적으로 SF물이나 판타지를 매우 좋아한다. 이렇게 웹툰을 드라마화로 된 작품은 더 흥미로운것 같다. 이미...
2,아이템 드라마,2019.04.08.,특별근로감독관 조장풍 등장인물 관계도 몇부작 줄거리 재방송 MBC 월화드라마 아이템후속,에바그린님의 블로그,특별근로감독관 조장풍 등장인물 관계도 몇부작 줄거리 재방송 MBC 월화드라마 아이템후속 안녕하세요~오늘은 MBC 월화드라마 전작 아이템 후속 방송으로 오늘 오후...
3,아이템 드라마,2019.04.03.,드라마 리뷰(5) : 아이템,돈 쓰는 건 왜 이리...,"MBC 드라마 아이템 "" 대체 너는 누구세요?"" 스토리 : 3.0 / 5.0 연기력 : 4.0 / 5.0 연출 : 4.8 / 5.0 총 점 : 3.9 / 5.0 굉장히 오랜만에 쓰는 리뷰 입니다. 귀차니즘 가득한 제가..."
4,아이템 드라마,2019.04.05.,드라마 아이템 후속 - 특별근로감독관 조장풍,두꺼비하우징,"만들었음..) 드라마 아이템 후속으로 4월 8일날 첫 방송으로 만나게 될 특별근로감독관 조장풍~ 월화 오후 열시마다 만나볼 수 있겠네요 조진갑 역에 김동욱, 천덕구 역에..."
5,아이템 드라마,2019.04.08.,[드라마 아이템 OST ]All Track 듣기[MP3]/뮤직비디오,블렌딩 :: 보는 음악...,[드라마 아이템 OST ]All Track 듣기[MP3]/뮤직비디오 [앨범 소개 글]아이템 OST ALL TRACK [아이템 Original Soundtrack] 발매 MBC 월화미니시리즈 <아이템...
6,아이템 드라마,2019.04.09.,"드라마 <아이템> 주제곡 ""오늘 밤""",추억의 음악 일상으...,"이번에는 2019년 2월부터 2019년 5월 사이에 방영한 MBC 드라마 ""아이템""의 주제곡인 ""오늘 밤""이라는 곡을 소개하겠습니다. 가수 ""황치열""이 노래를 불렀습니다. 아이템..."
7,아이템 드라마,2019.04.12.,MBC 드라마 아이템 촬영장 이모저모!,배우 이지완,얼마전 종영한 아이템에 지완이가 출연하였습니다. 김호연역으로요!! 즐겁게 촬영한 현장 함께 보실까요~?? 극 중 호연이의 아이템 폴라로이드를 들고 찰칵!!...
8,아이템 드라마,2019.04.13.,드라마아이템28회 지하철,gimminseo984님의블...,지하철이 달리다가기관사가 이상해지는 바람에방향을 바꾸면서기계를 당겨버렸다지하철이 거꾸로 가기 시작한다기관사가 이상해 지고LED간판에는 평화라고...
9,아이템 드라마,2019.04.05.,샤넌 - 바람 / 가사 듣기 뮤비 / 드라마 아이템 ITEM OST PART 6,행복공작소,[아이템 OST Part. 6] 샤넌 - 바람 / MBC 월화미니시리즈 ‘아이템’ OST Part. 6 <바람> 호소력 짙은 목소리의 샤넌이 참여한 MBC 월화미니시리즈 ‘아이템’의 여섯 번째 OST...
10,아이템 드라마,2019.04.03.,"MBC월화드라마 아이템 31,32화/최종화줄거리입니다+_+(내 소원은!)",BY JUNE,"MBC월화드라마 아이템 31,32화/최종화줄거리입니다+_+ 내 소원은.. 소원의 방에 홀로 남겨진 강곤.. 내 소원은.. 강곤의 바램대로 현실세계로 돌아온 조카 다인!..."
11,아이템 드라마,2019.04.06.,화장품공유하기- 리리코스 마린에너지 퍼펙트 콜라겐 쿠션 21호 후기/드라마 아이템 화장품,공주퀵/일상공유하기...,오늘의 화장품 공유하기리리코스 마린에너지 퍼펙트 콜라겐 쿠션 입니다 ^^드라마 아이템이라는 방송에서 나왔던 리리코스 쿠션이예요초능력제품으로 나왔지요 모든...
12,아이템 드라마,2019.04.08.,"월화드라마 시청률순위, 해치/아이템/국민여러분/와이키키/사이코메트리",러브 미의 빛나는 이...,월화드라마로 '아이템'이 방영중이네요 이것도 올해 2월부터 방영하기 시작했으니 해치랑 비슷한 시점에 시작했나봐요 주지훈 배우 등 연기력 좋은 분들이 많이...
13,아이템 드라마,2019.04.04.,아이템마지막회 등장한 목걸이템,꿈을 키우는 나무,바로 드라마 아이템의 로고입니다. 로고 자체에서 하나가 더있다라는 느낌이죠. 일종의 반전이라면 반전인데. 어쩌면 후속을 예고하는 것일 지도 ... ㅎ 암튼 1회부터...
14,아이템 드라마,2019.04.04.,아이템 진세연 패션 쥬시쥬디 트렌치코트 봄에 입기 좋아,엘시아의 일상저장소...,"오늘은 드라마 아이템 진세연 패션을 알아볼건데요, 봄에 입기 좋은 여자 트렌치코트 ! 흔하고 흔한 봄 아우터지만 이 제품은 디자인, 디테일, 컬러감이 소장가치가..."
15,아이템 드라마,2019.04.05.,"아이템 진세연 패션, 트렌치코트 옷 정보 @쥬시쥬디 @봄 여친룩",톡톡튀는 스타일,"아이템 32회 진세연 패션, 레터링 트렌치코트 옷 @ 쥬시쥬디 즐겨보던 드라마 아이템은 끝이나서 넘 아쉬웠네여~ 그리고 제가 드라마 보면서 정말 좋아했던 아이템 속..."
16,아이템 드라마,2019.04.16.,MBC 월화드라마 '아이템',문다소 안산점,
17,아이템 드라마,2019.04.04.,"[드라마소식] 『특별근로감독관 조장풍』, 『아이템』후속, MBC 새 월화드라마.",넷프로(NETPRO) - 인...,"발령 난 뒤 갑질 악덕 사업주 응징에 나서게 되는 이야기를 그린 통쾌 작렬 풍자 코미디 드라마로 오는 4월 8일(월) 밤 10시, ‘아이템’ 후속으로 방송된다. [기사 더보기]"
18,아이템 드라마,2019.04.03.,"KBS 수목드라마, 닥터 프리즈너 4회 이다인 수트 & 쥬얼리 패션아이템 정리",리쉬뷰티 : Lish be...,금토드라마는 열혈사제 로 푸욱 빠져있다고 말씀드렸죠? 요즘 수목드라마는 바로 KBS 닥터프리즈너 본방으로 열심히 달리고 있어요! 주연배우들 패션을 보는 재미도...
19,아이템 드라마,2019.04.04.,아이템 마지막회 진세연 패션 옷 블라우스 #써스데이아일랜드,톡톡튀는 스타일,아이템 마지막회 32회 진세연 패션 옷 블라우스 #써스데이아일랜드 안녕하세요 톡톡이에요 :) 어제 종영한 드라마 '아이템' 재미있게 보셨나용~~~? 해피엔딩이라서...
