,drama_title,date,blog_title,writer,contents
0,열혈사제 드라마,2019.04.21.,"열혈사제 #""한국 드라마 버전의 <킹스맨>.""",나도 모른다고!!!!!...,"^^;;) (사진출처 : SBS 공식 홈페이지, 드라마 ""열혈사제"" 13화, 14화, 16화 中) 열혈사제 연출 이명우 출연 김남길, 김성균, 이하늬, 금새록, 고준, 안창환, 전성우 방송 2019 SBS..."
1,열혈사제 드라마,2019.04.21.,[드라마] 열혈사제 - 이런 노빠구스러운 코미디를 간절히 원했습니다.,감상과 정리를 해드...,"드라마 <열혈사제>의 장면 영화만 보는 절 보게 만들겠다구요? 이전에 쓰여놓은 드라마 <고독한 미식가>를 보시면 아시겠지만, 필자는 ""드라마""를 참 못봅니다. 영화야..."
2,열혈사제 드라마,2019.04.21.,19.04.21 드라마 '열혈사제',내가 사는 이유,어제 열혈사제가 끝났습니다 드라마 장르가 김남길였던 드라마! 버릴 캐릭터 하나도 없고 조연들 하나하나 매력있던 드라마 ! 오랜만에 재밌던 한국드라마 ! 김해일...
3,열혈사제 드라마,2019.04.22.,드라마 추천 <열혈사제> 후기,CENTRAL PANIC STAT...,"코믹한 연출에 어이없어서 더 보다가 결국 챙겨보게 된 마성의 드라마. 열혈사제 연출 이명우 출연 김남길, 김성균, 이하늬, 금새록, 고준, 안창환, 전성우 방송 2019, SBS..."
4,열혈사제 드라마,2019.04.29.,[일상드라마]열혈사제,즐거운 일상 이야기...,응원합니다~~ 열혈사제에서 구대영 형사역할을 맡은 김성균님입니다. 사실 열혈사제 드라마는 자체적으로도 굉장히 재미있는 드라마였지만 이분의 연기력으로 많은...
5,열혈사제 드라마,2019.04.26.,[드라마소식] '열혈사제' 특집 '우리는 열혈 사이다' 열혈 입담 과시!,콘텐츠그램 공식 블...,[사진= SBS '우리는 열혈 사이다' 방송화면] 열혈 드라마로 시청자들에게 큰 사랑을 받은 SBS 드라마 '열혈사제'가 '우리는 열혈 사이다' 특집을 통해 다양한 비하인드...
6,열혈사제 드라마,2019.04.21.,드라마 열혈사제 나온 삼대족발 먹어봤네요,일진언니의 제멋대로...,"인기리에 종영한 드라마 열혈사제 김남균과 이하늬, 김성균의 열연으로 인기리에 종영을 했는데요 정말 재미있게 봤던 드라마라 시즌 2가 나올 수도 있다는 말에 기대가..."
7,열혈사제 드라마,2019.04.21.,[ 스브스 드라마 ] 열혈사제 39화-40화 마지막 화 리뷰 (김쓰나미가 떠나다니~!!! 롱 드래곤~~ 돌아와~~!!!),쟈크의 쉼터,드라마 열혈사제 내에서 머리 내린 황철범의 모습이 색다르고 멋있다고 하길래 스샷 한장 찍어서 남겨주었습니다. (현실 나이 42세... 실화냐...) 사실 관계도 확인 하지...
8,열혈사제 드라마,2019.04.21.,묘하게 닮은 열혈사제와 슬램덩크,"책, 그곳에서 또 다...",SBS 드라마 열혈사제 (버닝 썬은 거들 뿐) 특징_ 오늘 종영한 드라마 열혈사제는 전직 국정원 대테러 요원이던 신부와 형사(+검사)의 공조를 다룬 코믹 수사극이다....
9,열혈사제 드라마,2019.05.02.,드라마)열혈사제,문학소녀의 하루하루,"이 표현 방법이 아주 잘 형상화한 인물들이 가득한 드라마... <열혈사제> * 모든 사진은 sbs 홈피에서 캡쳐하였습니다. 열혈사제 연출 이명우 출연 김남길, 김성균, 이하늬..."
