,drama_title,date,blog_title,writer,contents
0,의사요한 드라마,2019.09.08.,의사요한 / 의학드라마의 탈을 쓴 휴먼 멜로 드라마,AFS Daudet,"하지만, 이번 드라마 의사 요한은, 최소한 이세영을 빼고는 설명할 수가 없을 것 같거든. 이 드라마가 장르의 혼선을 빚게 된 것 또한 그녀의 영향이 컸을거라 생각해...."
1,의사요한 드라마,2019.09.10.,드라마 리뷰 #43 <의사요한>,♥♡ZELOS의 문화 여...,"'의사요한(연출 : 조수원, 김영환 / 극본 : 김지운)' SBS 드라마 '의사 요한' 배우 '지성'이 나오는 드라마는 정말 믿고 봐도 될 정도로 연기를 잘하는 지성 배우님!!!!! 첫..."
2,의사요한 드라마,2019.09.14.,"2019 종영드라마 추천,의사요한 재방송!FEat.의사요한ost 피아노로",홍이와행복개늼의웰...,SBS드라마 의사요한 의사요한 시청률 10.2%를 찍으며 마무리! 최근에 지성눈빛앓이에 앓이앓이 했던 홍이가 추천하는 2019년 종영드라마 의사요한!!! 휴먼드라마 + 감동...
3,의사요한 드라마,2019.09.12.,[드라마] 의사 요한 - 현실은 더 끔찍하다....,"나에게 희망을 ""나희...",인생이 살얼음판이라는 사실을 알려주는 드라마 의사 요한.... 앞으로 펼쳐질 차요한의 활약이 궁금하고 현실과 얼마나 유사하게 고증되는지 관심이 증폭되고 있다.
4,의사요한 드라마,2019.09.15.,SBS 드라마 의사요한 음악참여,Feel Empathy,"의사요한 OST듣기 ▼ 의사 요한 OST 아티스트 Various Artists 발매 2019.09.07., (주)... 생명의 존엄성 등 평소 알지 못했던 부분들에 대해 생각해보고 알 수 있었던 드라마."
5,의사요한 드라마,2019.09.08.,드라마 '의사요한' 그리고 주식투자,100배 클럽!!,토요일 저녁 '의사요한'이라는 드라마가 종영되었다. 통증의학과 의사들의 이야기를 그린 휴먼메디칼 드라마이다. 나레이션이 인상적이였다. '고통은 살아 있다는...
6,의사요한 드라마,2019.09.09.,통증 드라마 의사 요한,열음이가말해요__걱...,#crps 로 투병 중인 으미입니다 오늘은 통증 관련 드라마를 포스팅하려고 합니다 저번 주에 종 방을 한 금토드라마 의사요한입니다 의사 요한은 통증센터에서 일어나는...
7,의사요한 드라마,2019.09.11.,드라마 '의사요한',선한 의도를 뛰어넘...,드라마 '의사요한' 의학드라마는 초반 몰입이 안되면 끝까지 보기가 힘든면이 있어 중간에 보다 안보는 경우가 많았던 것 같다. 의사요한은 의학 드라마이긴 하지만...
8,의사요한 드라마,2019.09.13.,희귀질환 '파브리병' 의사요한 등 드라마에 등장해 재조명/ 환경과건강,환경과 건강,"[현대건강신문=여혜숙 기자] 최근 의사요한, 검법남녀 등 드라마에 등장해 주목... 의사요한 드라마를 보면 극중 차요한(지성 분)은 환자가 파브리병일 확률이 0.00001..."
9,의사요한 드라마,2019.09.20.,배가본드 등장인물관계도 몇부작 원작 줄거리 재방송 넷플릭스SBS 금토드라마 의사요한 후속,에바그린님의 블로그,배가본드 등장인물관계도 몇부작 원작 줄거리 재방송 넷플릭스SBS 금토드라마 의사요한 후속 안녕하세요~오늘은 SBS 금토드라마 전작 의사요한 후속 방송으로 오늘...
10,의사요한 드라마,2019.09.10.,의사요한 이세영 드라마 속 숨은 블라우스맛집 팬츠 구두 악세사리코디,오 늘 도 스 페 셜 ...,"때문에 드라마를 보다 보면 캐릭터들만의 스타일링 달리 볼 수 있는데 #의사요한이세영스타일링 의사 가운 안에는 어떤 코디를 할까, 일상 생활에서는 어떻게..."
11,의사요한 드라마,2019.09.09.,"sbs 드라마 의사 요한 마지막 회_줄거리, 몇부작, 후속(배가본드)",당신이 내게 주는 의...,"ㅠ ㅠ (이제 무얼 보나..) 그래서 오늘은 떠나보내는 마음으로, 드라마 의사 요한 포스팅을 들고 왔습니다! 남주 지성 + 의학 드라마의 조합. 개인적으로 거부할 수 없는..."
