,drama_title,date,blog_title,writer,contents
0,이몽 드라마,2019.07.14.,김동한_원하고 원하면...[MBC_토요드라마_이몽_OST Part.11],다영아빠의 일상이야...,MBC 토요드라마 '이몽' OST Part.11 에 수록된 곡입니다... 김동한_원하고 원하면... MBC 토요드라마 '이몽' OST Part.11 2017년 10월 JBJ의 멤버로 데뷔를 했구요... 팀내에서는...
1,이몽 드라마,2019.07.16.,드라마 이몽(異夢)과 남이섬 판결,유위자연(有爲自然),"MBC 토요드라마 이몽이 끝났다. 이몽은 이도일몽(이도일몽, 異道一夢)의 줄임말이라는데 길은 달라도 향하는 꿈은 같다는 뜻이다. 일제 강점기에 독립운동의 노선을..."
2,이몽 드라마,2019.07.27.,MBC 토요드라마 이몽 후속 황금정원 줄거리 인물소개 인물관계도 이상우 한지혜 오지은 정영주 토요일 오후 9시5분,황금돼지의 드라마통...,안녕하세요^^ 드라마통 황금돼지랍니다 MBC 토요드라마 이몽이 종영되고 그 후속으로 지난주부터 황금정원을 방영해주는데 1회부터 이상우의 여장으로 정말 재미있었던...
3,이몽 드라마,2019.07.20.,황금정원 등장인물관계도 몇부작 줄거리 재방송 MBC 토요일 주말드라마 이몽 후속,에바그린님의 블로그,황금정원 등장인물관계도 몇부작 줄거리 재방송 MBC 토요일 주말드라마 이몽 후속 안녕하세요~오늘은 MBC 토요일 주말드라마 전작 이몽 후속 방송으로 7월20일 토요일...
4,이몽 드라마,2019.07.24.,MBC드라마 '이몽' 이요원 독백대사,에이지아카데미,"오늘은 지난 7월13일 종방한 MBC토요드라마 이몽에서 준비해 보았습니다. 일제강점기때의 역사를 다룬 시대극이라 배우들의 대사, 표현력등이 현대극에 비해..."
5,이몽 드라마,2019.07.14.,드라마 이몽 남규리가 출연하는군요!!!,키도우의 블로그,MBC 드라마인 이몽은 19년 5월부터 방영한 토요 드라마인데요. 일본인에게 양육된 조선인 외과 의사인(이요원)이 상해임시정부의 첩보요원이 되어 태평양 전쟁 속세어...
6,이몽 드라마,2019.07.22.,"윤주 윤봉길연구소 이사장<특별 기고문> “역사적 사실, 드라마 흥미 위해 왜곡되면 안 돼” 드라마 ‘이몽’ 독립운동가 활동, 매헌 윤봉길의사 홍구공원 상해의거, 중국 상하이[상해한인신문]",상해한인신문 Shang...,최근 절찬리에 방송되고 있는 MBC 특별기획 드라마 ‘이몽’도 그중 하나다. ‘이몽’은 일제 강점기 조선을 배경으로 일본인 손에 자란 조선인 의사 이영진과...
7,이몽 드라마,2019.07.21.,임주환 드라마 이몽 9부 18회 줄거리 및 리뷰(캡춰/움짤)-스압,임주환 팬블로그 주...,그래 만화나 드라마에선 안경이 최고의 변장이지... 부모도 못알아봐요 나는 사실... 그는 당시 총독인 사이토 마코토(이몽에도 나옴)를 살해하기 위해 총독부에 잠입해...
8,이몽 드라마,2019.07.14.,"이몽 39회, 40회, 마지막회, 최종회 줄거리 - ""대한독립만세 """,지혜로운 연서맘 ♡...,"이몽 39회, 40회, 마지막회, 최종회 줄거리 - ""대한독립만세 "" #이몽 #이몽드라마 #드라마이몽 #주말드라마이몽 #유지태 #이요원 #남규리 #임요환 #허성태 #이해영 #조복래..."
9,이몽 드라마,2019.07.15.,"7월 둘째주 금토일드라마 / 녹두꽃, 보좌관, 이몽, 호텔 델루나, 왓쳐, 평일 오후 세 시의 연인",AFS Daudet,요즘 #드라마 를 하도 봤더니 정신이 없을 지경이야. 그래도 정신차리고 후기를... #이정재 #신민아 #이엘리야 #김동준 #정진영 #김갑수 추천지수 ★★★★ 이몽 #이몽...
10,이몽 드라마,2019.07.19.,드라마 이몽 - 약산 김원봉,먼 산,. https://www.youtube.com/watch?v=YqvBRX4jibc
11,이몽 드라마,2019.07.20.,드라마 이몽 남규리,원석서재,"[팝인터뷰종합]""'이몽'은 행운 같은 작품""‥남규리가 밝힌 14년차 연예인의 삶"
12,이몽 드라마,2019.07.15.,"인터뷰 남규리 귀걸이정보 with 프리모떼(이몽남규리, 배우남규리, 링귀걸이, 하트귀걸이, 유인나귀걸이)",primaute님의블로그,드라마 이몽의 미키역할을 맡으셨던 남규리씨가 드라마 종영 후 인터뷰를 했는데요 인터뷰 속 촬영에서 프리모떼 귀걸이를 착용 해...
13,이몽 드라마,2019.07.17.,[이몽] 뜨거웠으나 타오르지 못한 드라마,매일매일 열심히 살...,우연히 텔레비전에서 하는 방송을 보고 얼마 전 푹 빠져 본 드라마가 오랜만에 생겼다. 배경이나 스토리도 취향저격이었고 개인적으로 좋아하는 배우가 있어서...! 이몽...
14,이몽 드라마,2019.07.14.,김동한-원하고 원하면(이몽 OST)[뮤비/가사],나리나리,"김동한-원하고 원하면(이몽 OST) 김동한이 가창한 드라마 '이몽 OST' 수록곡 ""원하고 원하면""를 발매하고 뮤직비디오를 공개했다. 김동한-원하고 원하면(이몽 OST) 바로듣기..."
15,이몽 드라마,2019.07.21.,"[인터뷰] 드라마 ‘이몽’ 허성태, “사람 냄새나는 배우이고 싶다” (종합)",메소드 연기예술 연...,(출처) http://www.topstarnews.net/news/articleView.html?idxno=648379
16,이몽 드라마,2019.07.22.,"[인터뷰①] 남규리 ""`이몽`, 어렵지만 즐겁고 신났다…꿈만 같아""","방송,연예 기타 여러...",남규리는 지난 13일 종영한 MBC 주말드라마 '이몽'에서 경성구락부 가수 미키 역을 맡아 열연했다. '이몽'은 1월 종영한 '붉은 달 푸른 해'와 더불어 남규리의 복귀작 중...
17,이몽 드라마,2019.07.14.,"역사 드라마 두편 ! 녹두꽃 , 이몽 막방 후기",몽글몽글한 하루,"안녕하세요 새봄입니다 역사드라마 두편 녹두꽃 , 이몽 이 종영 되었는데요 역사드라마는 결말을 알아도 재밋는거(?) 같아요 ㅋㅋㅋ 녹두꽃 - 동학농민혁명 , 이몽..."
18,이몽 드라마,2019.07.17.,임주환 드라마 이몽 9부 17회 줄거리 및 리뷰(캡춰/움짤)-스압,임주환 팬블로그 주...,드라마는 끝났지만 나는 이제 17회를 가고 있다. ^^ 와 이거 언제 끝나냐 ㅋㅋㅋ... 죽어서도 드라마 악역으로 나오고... 마쓰우라에게도 자존심은 살아있었나보다....
