,drama_title,date,blog_title,writer,contents
0,절대그이 드라마,2019.07.13.,"7월 둘째주 수목드라마 후기 / 봄밤, 단하나의사랑, 검색어를입력하세요, 절대그이",AFS Daudet,추천지수 ★★★★ 절대그이 #절대그이 다소 예상못한 엔딩이었어. 검색어를 입력하세요 속 드라마 #장모님이너무해 의 사위는 죽었지만 쌍동이 형제로 부활해서...
1,절대그이 드라마,2019.07.12.,절대그이최종회.우산 쓴 남자는 누구?여진구.열린결말,달빛문방구,이건 드라마야 이건 가짜야 영구는 로봇이야 괜찮을꺼야 몇번이고 마음으로... 지금까지 절대그이를 시청했던 시청자 입장에서 함께 추억했던 마음에 더욱 눈물이 났다....
2,절대그이 드라마,2019.07.17.,"드라마 <절대그이> 주제곡 ""별빛처럼""",추억의 음악 일상으...,"이번에는 2019년 5월부터 2019년 8월 사이에 방영한 SBS(서울방송) 드라마 ""절대그이""의 주제곡인 ""별빛처럼""이라는 곡을 소개하겠습니다. 가수 ""박정현""이 노래를..."
3,절대그이 드라마,2019.07.13.,박정현 - 별빛처럼 (절대그이 OST),서씨의 달달한 기록...,절대그이 라는 드라마에서 나오는 OST에 대해 포스팅을 해보겠습니다. 절대그이는 SBS에서 방영한 드라마이고 2019.05.15. ~ 2019.07.11. 날짜로 완결이 났으며!...
4,절대그이 드라마,2019.07.12.,"절대그이 최종화 - 결국 둘은 오래오래, 행복하게 살기를 바라면서...",볼수록 정드는 유튜...,진짜인지아닌지 확실하진 모르지만 절대그이 원작자가 로봇이랑 이어지는 결말을 선호하지않는다고ㅠㅠ그래서 지금까지 절대그이를 드라마화 한걸 보면 다...
5,절대그이 드라마,2019.07.23.,절대 그이(스포),꿈꾸는 고래's 영원...,민아 아니었으면 절대 보지 않았을 절대 그이.. 시간이 지난 후에 괜히 한 번 더 곱씹어 보게 되는 그런 드라마였다. 사람이 아닌 것에도 사람은...
6,절대그이 드라마,2019.07.19.,'おかえり' 아야카 (일드 절대그이 주제가),아지 ♪,"완결된 후 다음해 스페셜 드라마가 제작될 만큼 큰 인기를 끌었던 '절대그이' 2012년 대만, 우리나라에도 같은 제목으로 리메이크 되어 2019년 7월 11일 종영되었다..."
7,절대그이 드라마,2019.07.22.,"절대그이 33회,34회 걸스데이 민아&홍서영 가디건,자켓,원피스,블라우스 패션",소소의 패션,"수목드라마 절대그이예요! 절대그이는 로봇과 인간의 사랑을 보여준 스토리인데, 아무래도 현실과는 공감대가 없어서인지 뒤로 갈수록 공감하기가 힘들었던..."
8,절대그이 드라마,2019.07.18.,절대그이,AAmBroSiAA,절대그이 일본만화책 원작 어렸을때 봤는데 만화책이 꽤 므흣 했더라지...꺄핳 일본드라마도 있긴한데 이게 설마 한국에서 리메이크 되다니 와----ㅎ 여하튼 음...... 너무...
9,절대그이 드라마,2019.07.16.,SBS '절대 그이' 여진구 패션 : 제이리움,THE M PUBLIC,SBS '절대 그이' 여진구 패션 : 제이리움 사랑의 상처로 차가운 강철 심장이 돼버린... 봤던 드라마에요 특히 여진구씨와 민아씨의 케미가 의외로 너무 좋아서 더 재밌게 본...
10,절대그이 드라마,2019.07.22.,울산젠틀몬스터 젠틀몬스터 선글라스 마마스 여진구 절대그이 젠틀몬스터안경 선글라스추천 여름휴가,젠틀몬스터BY시선안...,안경원입니다 절대그이 드라마에서 여진구군이 젠틀몬스터 선글라스 마마스를... 증정 #울산젠틀몬스터 #젠틀몬스터선글라스 #마마스 #여진구 #절대그이...
11,절대그이 드라마,2019.07.12.,가수 겸 배우 방민아가 드라마 '절대그이'를 통해 배우 여진구와 달달한 로맨스를 보여줬다.,맑은가람,#가수 겸 #배우 #방민아가 드라마 ' #절대그이'를 통해 #배우 #여진구와 #달달한 #로맨스를 #보여줬다. 최근 종영한 '절대그이'를 통해 절절한 눈물 연기 호평을 이끈...
12,절대그이 드라마,2019.07.15.,‘절대그이’ 세 사람은 일제히 일어나 아직...,"방송,연예 기타 여러...",기자] 11일 방송된 SBS 수목드라마 ‘절대그이’ 최종회에서 방민아는 집으로 찾아온 최성원(남보원)을 따라 연구실을 찾았다. 극 중 영구...
13,절대그이 드라마,2019.07.12.,‘절대그이’ 방민아 “더 열심히 연기할 수 있는 힘을 얻은 작품” 종영 소감....,Fast blog.......,‘절대그이’ 방민아 “더 열심히 연기할 수 있는 힘을 얻은 작품” 종영 소감 방민아가 종영 소감을 통해 드라마의 여운을 전했다. 지난 11일에 종영한 SBS...
14,절대그이 드라마,2019.07.15.,절대그이 원작 일본만화에요!,서씨의 달달한 기록...,가는 드라마에요! 그럼 오늘은 절대그이 원작에 대해 알아보았습니다. 일본 만화가 원작이며 일본 드라마까지 있습니다. 전글에서는 OST도 올려봤는데 듣기좋으니 한번...
15,절대그이 드라마,2019.07.12.,여자 스타 시계 정보 : 정유미 / 정유미 시계 / 한소희 / 멜로망스 인사 / 방민아 절대그이 / 김진경 퍼퓸 / 송해나 / 여배우 시계 추천 등등,aseoh02님의블로그,한소희씨가 주인공으로 나오시더라구요 ~ 이떄 착용한 시계도 너무 예쁘더라구요 ~~ 그리고 얼마전 종영한 드라마 절대그이 ~~ 그리고 퍼퓸에서 김진경씨 까지 !!!...
16,절대그이 드라마,2019.07.12.,절대 그이 막방 후기,몽글몽글한 하루,#절대그이 와 끝났다 저번주에 끝나는줄 알았는데 그넘으 멜트다운 ㅠㅠㅠㅠㅠ... 인 드라마 연인 로봇 하 열린결말 싫은데... 개인적으로 열린결말 넘 싫...ㅋㅋㅋㅋ...
17,절대그이 드라마,2019.07.12.,절대 그이,꿈꾸는 고래's 영원...,"절대 그이 35, 36이 시작이네.. 그런데 드라마는 36에 끝나니.. 혜리 놀토 그리고 드라마, 유라 예능.. 음.. 민아는 하와이 갔다왔고.. 인스타 자주해줘서 좋고...."
18,절대그이 드라마,2019.07.15.,‘절대그이’ 함께 연기한 동료 및 선배... - 인천일보,뉴스브릿지,인천일보 - 2019-07-15 03:33 [인천일보=온라인뉴스팀03] SBS 수목드라마 ‘절대그이’ 여진구-방민아-홍종현이 펑펑 내리는 ‘함박눈 엔딩’으로 뭉클한 마침표를...
19,절대그이 드라마,2019.07.13.,"‘절대그이’공정환, ‘고지석’역으로 “출구없는 매력”선보이며 유종의 美 거둬",다경뉴스(www.dkitn...,"때로는 웃음으로, 때로는 감동으로 드라마 '절대그이'의 몰입감을 책임진 씬스틸러 공정환의 활약을 돌아봤다. 원리원칙, 고객우선주의라는 자신의 확고한 신념 아래..."
20,절대그이 드라마,2019.07.18.,My Absolute Boyfriend (Absolute Boyfriend Jeoldae Geui 절대 그이) English subtitles - 영어자막,아담 in 피지 adam ...,《절대 그이》는 SBS에서 2019년 5월 15일부터 2019년 7월 11일까지 방송된 SBS 드라마 스페셜이다. 와타세 유우의 동명 만화를 원작으로 한다. 사랑의 상처로...
21,절대그이 드라마,2019.07.15.,인간보다 나은 로봇... 절대그이 33~36화 최종화,초코맘의 즐거운 일...,그런데 그일로 놀란 다다가 쓰러지는데 병원 의사는 스트레스성 쇼크라 말해요... 마왕준은 영구에게 너 때문이야 너때문에 다다가 얼마나 힘들었으면 쇼크로...
22,절대그이 드라마,2019.07.13.,‘절대 그이’ 또 누구나 한 번쯤 겪어봤을... - 축산신문,뉴스브릿지,"축산신문 - 2019-07-13 02:11 [축산신문 주다영 기자] 10일 방송된 SBS 수목드라마 ‘절대그이’에서는 영구(제로나인, 여진구 분)를 걱정하는 마왕준(홍종현 분)의..."
23,절대그이 드라마,2019.07.16.,‘절대그이’ 홍서영이 여진구에게 찾아와 크로노스헤븐에서 구해준... - 축산신문,뉴스브릿지,"축산신문 - 2019-07-16 15:18 [축산신문 주다영 기자] 11일 방송된 SBS 수목드라마 ‘절대그이’(극본 양혁문, 연출 정정화)에서는 여진구를 직접 찾아 그동안의 일을..."
24,절대그이 드라마,2019.07.17.,[수목드라마] 저스티스 VS 신입사관 구해령 VS 닥터 탐정 .. 뭐 볼까??,키쓰쫑쫑 오늘도 청...,"ㅠㅜ 암턴 절대 그이 , 단 하나의 사랑, 봄밤 수목드라마가 동시에 끝나서 새롭게 시작하는 수목드라마 같은 날이네요 ^^;; 바로 오늘!!!! 새 수목드라마 저스티스 VS..."
25,절대그이 드라마,2019.07.14.,2019년 상반기 내가 본 한국 드라마 (2019 상반기 드라마 추천 / 주관주의),THE RETURN,올해 초 방영한 왕이 된 남자 어제 방영 시작한 호텔 델루나 그 사이에 절대그이까지 진짜 열일 ㅠㅠ 하지만 이 드라마는 사전제작이라 작년에 다 찍어놓고 방영만...
26,절대그이 드라마,2019.07.15.,[tvN 새 토일드라마] '호텔 델루나' 2화 줄거리/리뷰/OST(BGM) - '다른 사람들은 절대로 모르는 비밀스러운 세상을 알아가는 겁니다.',갓타's Diary,"토일드라마 '호텔 델루나'!!아이유(이지은)의 연기력도 놀랍고,홍자매(홍정은,홍미란) 작가님의 부활이 시작된 것 같아서 반갑기도 했다.'왕이 된 남자'부터 '절대 그이'에..."
27,절대그이 드라마,2019.07.14.,[방송] 호텔 델루나 1회 감상,달빛따라,"예고편만 봐서는 여성버젼의 ""도깨비"" 드라마인가 싶어 호기심을 가져 봤는데... 절대그이 끝나고 바로 나오다니.... 아직도 절대그이 속 ""영구""에 빠져나오지 못한..."
28,절대그이 드라마,2019.07.13.,호텔 델루나 인물관계도 몇부작 줄거리 등장인물 : 아이유 여진구,덤보의 봉봉 라이프...,#아이유 님은 넷플릭스 영화 페르소나에서 #여진구 님은 절대그이에서 이미 뵈었던지라 두 청춘 배우들이 이번 드라마에서는 어떠한 케미를 보여줄 지 살짝 기대가...
