,drama_title,date,blog_title,writer,contents
0,조선로코 - 녹두전 드라마,2019.12.06.,[동동주] 조선로코녹두전 9-12회 김소현 : 좋아해,별하's 감성드라마&...,#드라마조선로코녹두전 속 동동주( 김소현 ) 모음만 추려보니 더 적은 느낌... 반면 녹두 모음짤은 포화상태 ㄷㄷㄷ 언젠가 #동주 모음짤도 포화상태가 되길 바랍니다....
1,조선로코 - 녹두전 드라마,2019.11.26.,"드라마 관련 근황 : 왓쳐, 배가본드, 조선로코 녹두전, 학교 2017, 엑스파일",MIND THE GAP,조선로코 녹두전: 녹두전도 어쩌다보니 많이 밀렸다. 어딜 다녀오기도 했고 바쁘기도 했지만 내 성향상 범죄 수사물을 보다보면 로맨스가 강한 드라마는 뒷전으로...
2,조선로코 - 녹두전 드라마,2019.11.26.,드라마 조선로코 녹두전 녹두 동주,정윤슬의 블로그에 ...,드라마 조선로코 녹두전 신혼인 녹두와 동주 엄마인 중전마마께 편지쓰는 중인 녹두와 이불 싸매고 녹두 뒤에 붙어서 웃으며 그걸 보고 있는 동주 그래도 마지막엔...
3,조선로코 - 녹두전 드라마,2019.12.03.,조선로코 - 녹두전 / 2019,"적당한 이기심으로,",원작 드라마가 성공하기 힘든 이유에 대해 이야기한 바있다. 결론부터 얘기하자면 <조선로코 - 녹두전>(이하 '<녹두전>') 역시 아쉬움으로 끝났다. 가장 아쉬웠던 부분은...
4,조선로코 - 녹두전 드라마,2019.11.26.,드라마 인물 이야기 [조선로코 녹두전] 전녹두,르콕의 리뷰공방,"김과부, 아니 전녹두 부제 : 알고 싶으면 숨겨야 하는 모순 덩어리 조선로코 녹두전의 주인공인 전녹두는 이름부터 가명인 모순덩어리입니다. 아버지가 정 씨인데..."
5,조선로코 - 녹두전 드라마,2019.11.26.,"[KBS 드라마] 조선로코-녹두전(2019) - 여장이 찰떡이었던 녹두와 거침없는 조선 처자 동주의 유쾌발랄, 때로는 찌통이었던 운명 개척기","순간의 글, 순간의 ...","믿었던 율무의 정체가 능양군으로 밝혀진 후, 과부촌이 불타고 녹두가 본격적으로... (드라마와 가장 잘 어울렸던 윤하의 ost로 마무리) 조선로코 - 녹두전 연출 김동휘..."
6,조선로코 - 녹두전 드라마,2019.11.26.,"조선로코 녹두전 마지막회, 결말",먹기 위해 사는 위장...,아 이제 조선로코 녹두전 마지막회마저 끝나버려서 무슨 드라마를 봐야할지 모르겠쟈나.. 조선로코는 진작에 실종됐지만 동주랑 녹두때문에 끝까지 열심히 봤고요? 무슨...
7,조선로코 - 녹두전 드라마,2019.11.29.,윤하 - 빛이 되어줄게(조선로코 - 녹두전 (KBS2 월화드라마) OST - Part 2)노래듣기/노래가사,음악이라 말하고 노...,KBS2 월화드라마 ‘조선로코 ? 녹두전' OST Part.2 ‘빛이 되어줄게 ? 윤하' 공개 ‘조선로코-녹두전'은 첫 방송부터 대중들의 마음을 사로잡아 월화극 1위 자리를...
8,조선로코 - 녹두전 드라마,2019.11.26.,KBS 조선로코-녹두전 31회32회 (마지막회) 줄거리 움짤,"은근히 잘되리라,",애정하는 드라마 조선로코 녹두전 31회 그리고 마지막회가 어제 방송이 됐어요ㅠ 이제 우리 녹두를 못본다니..ㅠㅠ 오늘은 스폐셜 방송인가 했더니..정해인의...
9,조선로코 - 녹두전 드라마,2019.11.26.,[KBS/월화드라마] 조선로코 녹두전 - 마지막회 (feat. 녹두♡동주 혼례식),come back se ryeon...,조선로코 - 녹두전' 제목과 같이 로맨틱 코미디가 붙어 마음놓고 편하게 본 드라마!... 메이킹 보는 재미도 쏠쏠 했던 드라마 녹두와 동주의 재회 녹두♡동주 혼례식...
