,drama_title,date,blog_title,writer,contents
0,해치 드라마,2019.05.01.,"영조의 탕평책. 드라마 ""해치""의 영조 ""이금"".숙종~영조시대의 당파싸움. 이인좌의 난의 원인",을지문덕의 역사이야...,"드라마 해치를 보면 영조""이금""의 젊은 시절을 그리고 있습니다. 저는 역사를 워낙 좋아하다 보니. 사극은 거의 다 보는 편입니다만, 드라마 해치 만 놓고 보았을 땐 역시..."
1,해치 드라마,2019.05.14.,드라마 해치 / 정치란 이런 것이다.,AFS Daudet,"오늘 소개할 드라마는 ""#해치"" 야 SBS에서 최근 방영하다 종영을 했어. 사실, 방영중에도 몇번이나 리뷰를 할 생각이 있었지만, 꼭 끝을 보고 싶었거든. 그래서 조금..."
2,해치 드라마,2019.05.02.,드라마 『해치』 다음을 기대한다.,Good morning? 신선...,드라마 『해치』가 끝났다. 월요일과 화요일은 드라마 『해치』를 보는 재미가 있었는데 드라마 『해치』는 무수리 숙빈 최씨의 둘째 아들로 태어난 연잉군 이금이 왕위...
3,해치 드라마,2019.05.14.,해치 여지 월요일 조선시대 역사 드라마,Jin's Story,최근 48부작의 대단원의 막을 내린 드라마 해치의 여운이 아직까지 깊게 남아 있다. 역사 드라마의 경우는 제작진의 의도에 따라 자칫 역사를 왜곡된 시선으로 바라볼...
4,해치 드라마,2019.05.02.,2019 드라마 해치 '정일우' 종방연 인터뷰 화보촬영!,스파지오스튜디오,오늘 글은 스튜디오의 웨딩촬영 이야기는 아니고 얼마 전 드라마 해치 주연 정일우씨의 종방연 인터뷰 기사와 화보촬영이 저희 스튜디오에서 진행되어 간단하게...
5,해치 드라마,2019.05.06.,해치 후속  드라마 초면에 사랑합니다 등장인물소개,수정이블로그,오늘은 해치 종영 후 후속으로 방송될 드라마입니다 '초면에 사랑합니다' 에 대해서 이야기 해보고자 하는데요 주연이 김영광 진기주 김재경 구자성 입니다.. 사실...
6,해치 드라마,2019.05.01.,드라마 '해치' 배우들 종방연의 참석.,미 연,"'해치'에서 중간에 이인좌로 투입된 고주원, 종방연에 참석하느라 오며 인사를 하는... 아주 가끔 드라마에서 보지만 ... 처음에는 영조를 엄청 미워하고, 뭐든지 아니라고..."
7,해치 드라마,2019.05.03.,SBS 월화드라마 해치 후속 초면에 사랑합니다 인물관계도 내용 김영광 진기주!,황금돼지의 드라마통...,드라마통 황금돼지랍니다 드라마 해치가 마지막까지 너무 재미있더라구요! 정일우 홧팅..고아라 응원합니다. 해치 후속으로 초면에 사랑합니다를 방영을 해주는데요...
8,해치 드라마,2019.05.01.,드라마 <해치 OST> 2곡 밖에 없는 게 조금은 특이하네,윤세븐 시즌2 스토리,드라마 해치 OST. 어제 종영한 드라마 해치! 저도 오랜만에 사극 드라마를 이렇게 열심히 챙겨봤던 적은 참으로 오랜만이네요. 나름 인기리에 종영이 되었죠? 임금...
9,해치 드라마,2019.05.14.,[추천 드라마] sbs 드라마 해치(조선시대 영조 이야기),행복한 투자,"바로 세우는 유쾌한 모험담, 통괘한 성공 스토리!! 해치 이번에 종영이 되었는데요 너무 재미있게 보았습니다. 안보신분들은 해치 드라마 꼭 보시길 추천 드립니다. ^^"
