,drama_title,date,blog_title,writer,contents
0,리갈하이 드라마,2019.02.01.,JTBC 금토드라마 리갈하이 : 괴태 진구와 캐발랄 서은수의 코믹케미 기대돼,덤보의 봉봉 라이프...,그것은 바로 JTBC 금토드라마 리갈하이랍니다. 미리 티저영상으로 진구 님의 모습을 보고 어찌나 빵터졌는지... 괴물 변태의 줄임말인 괴태가 별명이라는데 아... 표정...
1,리갈하이 드라마,2019.01.30.,스카이캐슬 후속 JTBC 금토드라마 리갈하이 봐야지!,@유나설 : 패션블로...,이제부터 저랑같이 금토드라마 리갈하이 봐욤~ ㅋ 리갈하이 공식홈페이지 바로가기 >> < 이 포스팅은 해당브랜드로부터 소정의 원고료를 제공받아 작성되었습니다 >
2,리갈하이 드라마,2019.01.30.,스카이캐슬 후속; 유쾌한 JTBC드라마 리갈하이,미다리의 말랑말랑 ...,"일본 드라마 리갈하이 보신적 없으시면 충분히 재밌게 보실 수 있을꺼같아요 슈퍼악동변호사 진구, 정의감 초보변호사 서은수 리갈하이 고태림역 진구는 돈 밝히고..."
3,리갈하이 드라마,2019.02.06.,[리뷰/일드/드라마] 병맛 같지만 싶오한 메시지를 던지는 법정 드라마 리갈 하이(스카이 캔슬 후속작 JTBC 리갈하이 보기 전 보기!),함께 아름다운 세상,오늘은 일본 드라마 리갈하이를 이야기해보려고 하는데요. 진짜 재미있게 본 드라마여요. #리갈하이 는 2012년 시즌 1 2013년 스페셜 1 2013년 시즌 2 2014년 스페셜 2 까지...
4,리갈하이 드라마,2019.02.01.,'법'으로 웃긴다! SKY캐슬 후속 JTBC드라마 - '리갈하이',한마루의 영화노트,"SKY캐슬 후속 JTBC 금토드라마 '리갈하이' 2019년 2월 8일 첫방송 ! 금요일, 토요일 오후 11시 방송 ▶ [리갈하이] 관전 포인트 '돈'을 밝히는 변호사는 어쩌면 그렇게..."
5,리갈하이 드라마,2019.01.29.,스카이캐슬 후속 금토드라마 리갈하이 ::  법으로 웃기는 유쾌상쾌한 법정활극,따스한 햇살 그리고...,"그 허전한 자리를 유쾌, 상쾌, 통쾌한 법정 드라마 리갈하이가 채웁니다! 스카이캐슬 후속 금토드라마 '리갈하이'는 동명의 일본드라마 를 원작으로 하는데요. 법률을..."
6,리갈하이 드라마,2019.01.29.,JTBC 리갈하이 스카이캐슬후속 금토드라마 궁금증,게으름뱅이그녀의 패...,금토드라마 #리갈하이 코믹법조활극인데요 제가 좋아하는 윤박님도 나오고 후훗 순수한 느낌이 넘 좋은 서은수와 진구까지 ~ 다 함께 만나볼 수 있다랄까 그러고...
7,리갈하이 드라마,2019.02.07.,[jtbc]리갈하이 법조드라마로 유쾌상쾌통쾌 드라마!!,blogging,금토드라마 <리갈하이> 2월... mtv.jtbc.joins.com 리갈하이 시사회 법(法)으로 웃기는 드라마가 온다! 달라도 너무 다른 두 변호사의 살벌하게 유쾌한 코믹 법조...
8,리갈하이 드라마,2019.01.25.,리갈하이(JTBC)-스카이캐슬 후속드라마^^,피아노 치고 싶은 들...,다음 드라마는 이미 예고가 나가고 있듯이 리갈하이입니다^^ 많이들 알다시피 리갈하이는 이미 일본에서 인기리에 방송됐었던 드라마이죠... 영화 '남극의...
9,리갈하이 드라마,2019.01.26.,스카이캐슬 후속작 리갈하이 : 드라마 속 구도 살펴보기,오디너리 픽(Ordina...,"일본 드라마의 대작이라 불리는 리갈하이를 리메이크한 드라마기 때문에 사람들의 관심과 우려가 높아지네요. ""정말 기대된다"" ""과연 000배우가 이 역할에 적합한가?..."
10,리갈하이 드라마,2019.01.29.,스카이캐슬 후속 JTBC 금토드라마 ‘리갈하이’ 인생 일드의 리메이크 작: 한국판 리갈하이가 온다,썸머링노트 : 기억을...,살벌하게 유쾌한 코믹 법조 활극JTBC 금토드라마 〈리갈하이〉 2월 8일 (금) 밤 11시 첫 방송! tv.jtbc.joins.com ▼자세한 이야기는 아래에서 확인! ▼ http://tv.jtbc.joins.com/legalhigh
11,리갈하이 드라마,2019.01.31.,"JTBC 드라마 [리갈하이], '괴태'로 변신한 진구와 정의감 넘치는 서은수의 코믹케미를 기대해!",키위의 방,"기상천외하며, 살벌하게 유쾌한 캐릭터 JTBC 금토드라마[리갈하이]캐릭터 포스터 ? 고태림/서재인 달라도 너무 다른 두 사람이 만났다!? ● 승소율 100프로의..."
12,리갈하이 드라마,2019.02.03.,sky캐슬 후속 드라마 ★ 일드 [ 리갈하이 ] ★ 한국판 리메이크 2월 8일 첫방송?!,Lyu씨의 세상이야기,일본 드라마 리갈하이 이번에 한국에서 이 드라마를 리메이크 한다고 하네요 JTBC 2월 8일 금요일 밤 11시 첫 방송 그 유명한 sky캐슬 의 후속 드라마로서 방영을 한다고...
