,drama_title,date,blog_title,writer,contents
0,조선생존기 드라마,2019.06.06.,TV CHOSUN 장군 2기 #2. 텐텐텐! 드라마 <조선생존기> 기대 포인트3와 제작발표회 현장 공개!,靑春無悔 : 청춘무회,"TV CHOSUN 특별기획드라마 <조선생존기> 제작발표회 현장 공개! 서울 강남, 임피리얼 팰리스 호텔에서 열린 <조선생존기> 제작발표회에 장군이 초대받았다. 이런 호텔..."
1,조선생존기 드라마,2019.06.07.,"토,일 tv조선 드라마 추천 : 조선 생존기....관전포인트 3가지(with 수라상유기)",토탈아트-유기와 도...,다가오는 8일 오후 10시 50분 첫 방송하는 TV CHOSUN 새 주말드라마 '조선생존기'는... 바로 바로 바로 조선생존기 드라마에 저희 제품인 수라상 유기그릇이...
2,조선생존기 드라마,2019.05.30.,TV조선_토일드라마_조선생존기_티저&OST 모음...,다영아빠의 일상이야...,TV조선 토일드라마 '조선생존기' 돈과 권력을 물려줄 부모님이 없어 원통하다는 당신 앞에 부패한 관리와 오만한 양반을 깨부수는 영웅이 나타나 친구가 되어준다면?...
3,조선생존기 드라마,2019.06.07.,조선생존기 드라마 등장인물관계도 : 강지환 경수진 송원석,별하's 감성드라마&...,"조선생존기 인물관계도 드라마조선생존기 등장인물 한정록 cast 강지환 택배기사. 전직 양궁선수. 34세 양궁은 그의 전부였다, 조상이 물려주신 재능과 본인의 미친..."
4,조선생존기 드라마,2019.06.05.,"[장군 2기] TV CHOSUN 새 드라마, 조선생존기",J_log,특별기획드라마 조선생존기 1회 예고 조선생존기 | 양궁 국가대표였던 정록(강지환)은 올림픽에서 결정적 실수를 하며 한순간에 국민 역적이 된다. 금메달을 딴 뒤...
5,조선생존기 드라마,2019.06.07.,"TV CHOSUN 토,일드라마 <조선생존기>제작발표회에 다녀왔습니다!!","별 하나에 추억, 드...","TVCHOSUN 토,일드라마 <조선생존기>제작발표회에 다녀왔습니다!!!ㅎㅎㅎ 임피리얼팰리스호텔에 들어가면 바로 보이는!!! 드라마 <조선생존기>의 제작발표회 안내!!!!..."
6,조선생존기 드라마,2019.06.03.,TV조선 특별기획드라마 조선생존기 등장인물 소개 및 인물관계도,minase02님의 블로그,출처:TV조선 http://broadcast.tvchosun.com/broadcast/program/1/C201900039.cstv 조선생존기 드라마... 특별기획드라마 조선생존기 과연 강지환이 이번 드라마에서는 어떤 연기를...
7,조선생존기 드라마,2019.06.06.,TV CHOSUN 기획드라마 <조선생존기> 제작발표회에 다녀오다!,NaAE's Blog,나애입니다 며칠전에 TV CHOSUN 기획드라마인 조선생존기 제작발표회에... 조선생존기 드라마 내용부터 배우들의 이야기까지 너무 재미있는 인터뷰였어요! 타임슬립은...
8,조선생존기 드라마,2019.06.06.,TV CHOSUN 특별기획드라마 [조선생존기],PLAY_WITH_MM,생존기'를 통해서 많은 분들이 알아봐주셨으면 좋겠습니다!! 조선생존기 드라마... 특별기획드라마 조선생존기 제작발표회 하이라이트 영상 공개! 양궁 국가대표였던...
9,조선생존기 드라마,2019.06.04.,TV조선 드라마 조선생존기 개봉박두!,강냉이1004 의 일상...,TV조선 드라마 조선생존기 개봉박두! 안녕하세요 강냉이1004 입니다~ TV조선 드라마 조선생존기 가 2019년 6월 8일에 시작이 되는데요~^^ 시간은 오후 10:50분 에 방영이네요...
