,drama_title,date,blog_title,writer,contents
0,17세의 조건 드라마,2019.07.27. ,SBS_단편드라마(4부작)_17세의 조건_티저&OST 모음...,다영아빠의 일상이야...,SBS 단편드라마(4부작) '17세의 조건' 누가 그랬다... '아기공룡 둘리'의 고길동이 불쌍하게 여겨지면 어른이라고... 오랜만에 디즈니 '라이언 킹'을 다시 봤다... 어린...
1,17세의 조건 드라마,2019.07.26. ,드라마 17세의 조건 등장인물관계도 윤찬영 박시은 주연,너는 잘 할수 있는 ...,드라마 17세의 조건 등장인물관계도 윤찬영 박시은 주연. 안녕하세요~~ 다들 잘 지내셨습니까~? 어제는 제가 글을 쓰러 오려고 했는데 날씨도 너무 안 좋고... 비가 오니까...
2,17세의 조건 드라마,2019.08.02. ,윤찬영 박시은 드라마 17세의 조건,찌아의 건강한 이야...,"드라마 17세의 조건 등장인물~~!! *고민재 (윤찬영) 약진고 2학년, 문과. 공부는 상위권. 내성적, 말수도 적고 예민한 편. 교우관계가 나쁘진 않으나 많은 친구들과..."
3,17세의 조건 드라마,2019.07.28. ,"SBS단편 드라마, 17세의조건, 기획의도 :: 등장인물 ::알아보기",뷰티치과정보박사,"전유리 #박세현 서연의 같은 반 친구. 중학생 때부터 민재의 친구 기현을 좋아했었다. <글, 사진 - 드라마 공식홈페이지 참고> #17세의조건 #드라마 #드라마추천"
4,17세의 조건 드라마,2019.08.04. ,SBS단편드라마 17세의조건 (내용줄거리/등장인물/예고편),기특한블로그,우주안은 1일 자신의 인스타그램에 “럽스타그램”이라는 dailyfeed.kr #SBS단편드라마 #17세의조건 #17세의조건내용 #17세의조건줄거리 #17세의조건등장인물...
5,17세의 조건 드라마,2019.07.30. ,17세의 조건 윤찬영 박시은 윤찬영 sbs 월화드라마 티저,정보 나누미,SBS 단편드라마 ‘17세의 조건’ 에서 윤찬영 군과 박시은 양이 같은 방향으로 가게 됨을 암시하는 감각적인 예고편을 공개했답니다. 윤찬영 X 박시은 아이도...
6,17세의 조건 드라마,2019.08.03. ,17세의조건 등장인물관계도 : 윤찬영 박시은,별하's 감성드라마&...,"ㅠㅠ 무튼 부디 너무 짠한 드라마가 아니길 바라며 #드라마17세의조건 속 등장인물과 인물관계도를 소개해봅니다. 드라마 17세의 조건 SBS l 20190805~ l 월, 화 오후 10:00..."
7,17세의 조건 드라마,2019.07.30. ,[SBS] 17세의 조건,로맨틱 선셋♥,"우연히 제목을 보게 된 드라마입니다. ""17세의 조건"" 제목에 딱 꽂혀서 보려구요. '서른이지만 열일곱입니다.' 남여 주인공이 이 단편드라마의 주인공이더라구요. 알고..."
8,17세의 조건 드라마,2019.07.23. ,배우 이항나가 SBS 단편드라마 ‘17세의 조건’에 출연한다.,BARON라이프,"SBS 단편드라마 ‘17세의 조건’은 '애도 어른도 아닌' 17세 청소년들이 던지는 물음인 ""어른이 되는 순간은 언제일까""에 대한 답을 찾아가는 드라마로 ‘질풍노도의..."
9,17세의 조건 드라마,2019.07.25. ,17세의 조건 ost 노래모음,음악집합소 스타팝의...,17세의 조건 ost 노래모음 그럼 오늘 소개할 노래에 대해서 설명토록 하겠습니다 오늘 소개할 노래는요 sbs 월화 단편드라마 17세의 조건 ost 노래모음입니다 드라마의...
10,17세의 조건 드라마,2019.07.31. ,17세의조건 줄거리 인물소개 몇부작 티저,디오니오의 맛있는 ...,"어른이 된 지금, 17세 당시를 떠올리며 다 괜찮다고 말해주고 싶은 그런 마음을 그린 드라마라고 합니다. 17세의조건 인물소개 고민재(윤찬영) 약진고 2학년, 문과...."
11,17세의 조건 드라마,2019.08.03. ,‘17세의 조건’ 여기서 안서연 박시은 은 큰... - 업코리아,뉴스브릿지,"업코리아 - 2019-08-03 21:33 [업코리아=박진환 기자] 8월 5일과 6일 방송된 SBS 단편드라마 ‘17세의 조건’(극본 류보리, 연출 조영민)은 애도 어른도 아닌 17세..."
12,17세의 조건 드라마,2019.08.02. ,‘17세의조건’ 이미 둘은 실제로 같은 고등학교... - 경남데일리,뉴스브릿지,경남데일리 - 2019-08-02 09:41 [경남데일리=이후찬 기자] 8월 5일과 6일에 방송된SBS 단편드라마 ‘17세의 조건’은 17세 청소년들이 던지는 물음 “어른이 되는...
13,17세의 조건 드라마,2019.08.01. ,방송예정 드라마 / 2019년 8월 신규드라마,my lulu,"한국드라마 챙겨보는 것도 충분한 휴식의 휴가인 것 같습니다 :) 17세의 조건 - 방송사 : SBS - 방송예정 : 2019.8.5 (월,화 22:00) **4부작** - 연출 : 조영민 - 극본..."
