,drama_title,date,blog_title,writer,contents
0,농부사관학교 드라마,2019.03.28.,<농부사관학교>드라마 방영! 한국농수산대가 배경??,농대생 갤러리,오늘 아침까지도 재학중인 저도 몰랐던 사실 한국농수산대학교를 배경으로 촬영한 드라마 <농부사관학교>입니다. 이 드라마의 특징은 아마도 평소 과거...
1,농부사관학교 드라마,2019.03.28.,상큼발랄 SBS 모비딕 <농부사관학교> 제작발표회♡ (윤보미X이태환X이민지),POOQ(푹),"바로 오늘 3월 28일, SBS 목동 사옥에서 SBS 모비딕 숏폼 드라마 <농부사관학교> 제작발표회가 열렸습니다! 벌써부터 퀄리티도 높은데 재미까지 잡았다고 소문난 이태환 X..."
2,농부사관학교 드라마,2019.03.28.,"'농부사관학교' PD ""국내 유일 농대 배경 캠퍼스드라마""",효찌니의 작은공간,SBS 모비딕 숏폼 드라마 '농부사관학교'(극본 이윤보 김다영/연출 김다영)의 제작발표회가 28일 오후 2시 서울 양천구 목동 SBS 사옥에서 열렸다. 김다영PD는 '숏폼' 드라마...
3,농부사관학교 드라마,2019.03.28.,190328 드라마 농부사관학교 제작발표회 / 출퇴근 윤보미 프리뷰,ALUV(=Error),190328 드라마 농부사관학교 제작발표회 / 출퇴근 윤보미 프리뷰 데뷔 9년차에 비주얼 제대로 리즈 찍으신 분.. 올블랙 너무 예쁘다 이렇게 잘 어울렸나..? 저 사슴같은...
4,농부사관학교 드라마,2019.03.27.,"[한국농수산대학]에이핑크 윤보미, 이태환 주연 SBS미니드라마 '농부사관학교' 30일 첫 방송",준프리카,안녕하세요 준프리카입니다 오늘은 30일에 첫 방영될 SBS 드라마 '농부사관학교' 에 관련된 소식들을 가져왔어요! 제가 다녔던 학교에서 드라마 촬영을 한다니...
6,농부사관학교 드라마,2019.03.28.,"이민지, 이제 변호사에서 프로 농부로 변신 #농부사관학교",주모의 드랍더비트!...,"오는 3월 30일 첫 방송을 앞두고 있는 SBS 모비딕 숏폼 드라마 ‘농부사관학교’(연출 김다영, 극본 이윤보 김다영)는 시골 고구마 농가의 딸 한별(윤보미 분)이..."
7,농부사관학교 드라마,2019.03.28.,190328 드라마 농부사관학교 윤보미 제작발표회/출퇴근 프리뷰,네가 손짓해주면 난...,190328 드라마 농부사관학교 윤보미 제작발표회/출퇴근 프리뷰 사진은 올라오는데로 추가됩니다 에이핑크/윤보미/보미
8,농부사관학교 드라마,2019.03.28.,"고구마 농가의 딸, 농대에 입성하다…'농부사관학교'",晩聳亭,SBS모비딕은 오는 30일 4부작 웹드라마 '농부사관학교'를 선보인다고 28일 소개했다. 주인공이자 시골 고구마 농가의 딸 한별(윤보미 분)은 국립대한농수산대학으로...
9,농부사관학교 드라마,2019.03.28.,[윤보미] 에이핑크 '농부사관학교' 국립대한농수산대학으로 입학 숏폼 캠퍼스 드라마 제작발표회,SSAULABI스토리 블로...,28일 오후 서울시 양천구 목동 SBS홀에서 SBS 모비딕 숏폼 드라마 '농부사관학교'(극본 이윤보 김다영 연출 김다영) 제작발표회가 열려 김다영 PD를 비롯해 그룹 에이핑크의...
10,농부사관학교 드라마,2019.03.28.,"연예가소식)'농부사관학교' 윤보미 ""촬영중 쌀알 귀에 들어가 응급실행""",블리츠2A,"그게왜 거기로 들어가 쌀알이 귀에 들어가 응급실행"" 에이핑크 윤보미가 28일 서울 SBS에서 열린 SBS모비딕 숏폼 드라마 '농부사관학교' 제작발표회에 참석해 이같이..."
11,농부사관학교 드라마,2019.03.29.,에이핑크 윤보미가 출연한 드라마 농부사관학교 월 30일(토) 밤 12:20 [토요일에서 일요일로 넘어가는 밤 12:20분] SBS에서 방영하니 많은 시청 바랍니다.,에워싼핑크빛기운,바로 #에이핑크 #보미 씨가 주연을 맡은 드라마 농부사관학교가 3월 30일(토) 밤 12:20 [토요일에서 일요일로 넘어가는 밤 12:20분] SBS에서 방영됩니다. 여러분의...
