,drama_title,date,blog_title,writer,contents
0,닥터 프리즈너 드라마,2019.03.19.,"케이티파워텔 LTE 무전기 라져, KBS 드라마 '닥터프리즈너' 협찬!",KT파워텔 공식블로그,"바로 내일, 3월 20일 밤 10시 첫 방송되는 KBS 드라마 '닥터프리즈너'에 KT파워텔의 LTE 무전기 라져를 협찬했습니다! 출처: KBS 닥터프리즈너 공식홈페이지 왜그래..."
1,닥터 프리즈너 드라마,2019.03.12.,KBS2_수목드라마_닥터 프리즈너_티저&OST 모음...,다영아빠의 일상이야...,KBS2 수목드라마 '닥터 프리즈너' 대한민국에서 가장 핫한 사람들이 가장 많이 모여 있는 곳이 어디일까? 아이러니하게도 정답은 교도소이다... 9시 뉴스의 장본인이 된...
2,닥터 프리즈너 드라마,2019.03.19.,"수목드라마 KBS2 닥터 프리즈너 인물관계도, 드라마 소개",슈슈 블로그,대형병원에서 축출된 외과 에이스 의사 나이제가 교도소 의료과장이 된 이후 펼치는 신개념 감옥X메디컬 서스펜스 드라마 KBS2 수목드라마 닥터 프리즈너 기획의도...
3,닥터 프리즈너 드라마,2019.03.14.,닥터 프리즈너 등장인물 분석 왜 그래 풍상씨 후속 수목드라마 [ft. 메이킹 영상],드라마씨네,"수목드라마 닥터 프리즈너. 감독, 주인공, 내용 삼박자를 고루 갖춘 드라마가 봄꽃과 함께 찾아온다 왜 그래 풍상씨 후속 드라마 닥터 프리즈너는 대학병원에서 쫓겨난..."
4,닥터 프리즈너 드라마,2019.03.06.,닥터 프리즈너 무슨내용의 드라마일까요???,동동이데디 블로그,"이번에 이야기 해볼 드라마는 곧있으면 방영 예정을 앞두고 있는 닥터 프리즈너라는 드라마인데요. 언듯 제목만 보면, 새로 병원 시리즈 드라마가 하나 싶어 저도 관심이..."
5,닥터 프리즈너 드라마,2019.03.15.,"새 수목드라마 '닥터 프리즈너', 남궁민X김병철 2인 포스터 공개",서울일보/ 뉴스타운...,"새 수목드라마 '닥터 프리즈너', 남궁민X김병철 2인 포스터 공개 기사입력[2019-03-15 11:17:36] (사진제공=지담) 첫 방송을 일주일 남겨둔 ‘닥터 프리즈너’가 대세 배우..."
6,닥터 프리즈너 드라마,2019.03.18.,"닥터 프리즈너 원작? 프리즈너 뜻 만화 몇부작 1, 2회 시청률, doctor prisoner 작가 박계옥 남궁민 김병철",정연아 이미지테크,대본 읽기에 집중하고 있는 드라마 닥터프리즈너의 등장인물들 드라마 '왜그래 풍상씨'가 시청률 20%를 넘기면서 큰 인기를 누렸던 만큼 드라마 '닥터 프리즈너'도...
7,닥터 프리즈너 드라마,2019.03.15.,[KBS 드라마 닥터 프리즈너] 남궁민/권나라/김병철/최원영 그들이 사용하는 동연디자인 가구들 2 /진료실/한소금/한소금방/중역실/임원실/진료실/임원 가구/책상/소파/소파테이블,"동연디자인, 동연디자인 공...",동연디자인입니다 :) 오늘은 어제의 KBS 드라마 닥터 프리즈너 소개 포스팅에서 말씀드린 것처럼 드라마에 사용된 가구들에 대해 자세히 소개해드리려합니다! 닥터...
8,닥터 프리즈너 드라마,2019.03.18.,"수목드라마 닥터프리즈너 등장인물 관계도, 줄거리 그리고 하이라이트영상",다우니스럽게,등장인물만 봐도 엄청 재미날 거 같아 둑흔둑흔거리네요~ 수목드라마 닥터 프리즈너 하이라이트 영상 색다른 주제의 드라마 닥터프리즈너. 일반적인 병원을 다룬...
9,닥터 프리즈너 드라마,2019.03.19.,닥터 프리즈너 인물관계도 남궁민 권나라 대박정보,메롱메롱,ㅋㅋㅋ 지금까지 메디컬 드라마는 한국에서 흔한스토리의 드라마 였지만 메디컬 과 감옥서스펜스의 드라마는 한국에서 최초인듯 합니다. ~!! 오늘은 닥터 프리즈너...
