,drama_title,date,blog_title,writer,contents
0,닥터탐정 드라마,2019.07.16. ,닥터탐정 등장인물관계도 줄거리 몇부작 산업재해 드라마,경이네 맛따라 향따...,현실적이고 직접 촬영하고 겪은 이야기를 보다 사실적으로 다룰 수 있지 않을까 하는 생각이 듭니다^^ SBS 수목드라마 닥터탐정 방송정보 방송시간 2019년 7월 17일 매주...
1,닥터탐정 드라마,2019.07.12. ,SBS 새 수목드라마  #닥터탐정에 나오는  회장님 전동휠체어는 특별해야 합니다. - 조이라이더 전동휠체어 최고급형.,징거체어/조이라이더...,"드라마는 구의역 스크린도어 사고, 공장 노동자 집단 하반신 마비 등 대한민국을 들썩이게 한 사회 이슈들을 다룰 예정이다. '닥터탐정' 제작진은 ""우리나라에서..."
2,닥터탐정 드라마,2019.07.14. ,7월 17일 수요일 오후 10시 첫방송 SBS 수목드라마  『 닥터탐정 』,수의 콘텐츠 제작소,"닥터탐정 | 드라마ㅣ닥터탐정 본방송ㅣ7월 17일 첫 방송 naver.me [3차 티저] 닥터탐정, 사회 부조리와 맞서 싸우다! 닥터탐정 | 드라마ㅣ닥터탐정 본방송ㅣ7월 17일 첫..."
3,닥터탐정 드라마,2019.07.11. ,UDC 어벤져스팀 결성! SBS신작드라마 '닥터탐정' 인물소개도,아이의 눈으로 그린...,#닥터탐정 측에서 정의한 드라마 소개인데요. 1인당 국민소득 3만불 시대. OECD에서도 여타 선진국들에서도 모두 대한민국을 선진국으로 분류합니다. 하지만 아직도...
4,닥터탐정 드라마,2019.07.16. ,"산업재해 에피소드를 담은 수사극 ""닥터탐정"" 드라마(산업재해,직업병,산재은폐)",천광우노무사의 산재...,"닥터탐정 제작진 측은 ""우리 드라마에서는 산업재해, 인위적 환경에 의한 재해, 직업병의 원인을 파헤치고 더 큰 피해를 막기 위해 활약하는 이야기를 다룰 것""이라고..."
5,닥터탐정 드라마,2019.07.12. ,SBS 수목드라마 '닥터탐정' 제작지원! 7월 17일 첫방송!,전설의치킨공식블로...,SBS 새 수목드라마 '닥터탐정' '닥터탐정' 이 드라마는요~ 산업현장의 사회 부조리를 통쾌하게 해결하는 닥터탐정들의 활약을 담은 사회고발 메디컬 수사극인데요!...
6,닥터탐정 드라마,2019.07.03. ,SBS 닥터탐정 박진희 봉태규 이기우 인물관계도 수목드라마,"생활정보, 드라마, ...",초면에 사랑합니다 후속 드라마 SBS 초면에 사랑합니다 후속 새 수목드라마 닥터탐정 드라마에서 허구의 기관인 미확진질환센터(UCD)의 가방을 든 '닥터탐정'.. hoy.kr
7,닥터탐정 드라마,2019.07.11. ,드라마 닥터탐정 등장인물관계도 박진희 봉태규 주연,너는 잘 할수 있는 ...,드라마 닥터탐정 등장인물관계도 박진희 봉태규 주여 반갑습니다 여러분~~ 다들 그동안 별일 없이 잘 보내셨죠? 오늘은 뭔가 기분이 좋으면서도 울적하답니다. 이유가...
8,닥터탐정 드라마,2019.07.15. ,SBS 수목드라마 [닥터탐정] 잠언의료기 제작지원 소식,잠언의료기 광고홍보...,"프로그램: SBS 닥터탐정 방송: 매주 수,목 / 밤 10시~11시 안녕하세요~ 오늘은 무더운 여름밤을 책임질 SBS 화제드라마 [닥터탐정] 제작지원 참여소식입니다~ SBS..."
9,닥터탐정 드라마,2019.07.15. ,[한국 드라마] 닥터탐정,HUI[후이]의 작업실,"me/Gpa7xcsV [1차 티저] 당신의 일터는 안전합니까? 닥터탐정 | 드라마ㅣ닥터탐정 본방송ㅣ7월 17일 첫 방송 naver.me 흥미로운 주제 SBS 2019.07.17. ~ (수, 목) 오후 10:00"
