,drama_title,date,blog_title,writer,contents
0,"단, 하나의 사랑 드라마",2019.05.21. ,"드라마 단,하나의 사랑 김명수 제작발표회( 명수 대답 Text 정리 글 )",INFINITE and Julia,"단,하나의 사랑 예쁜 단연서 투샷!♥ 대천사님하고도 케미 쩔음.... 전체 출연진!... 쭉 단하나의 사랑 제발회 명수질문 텍스트로 옮겨적는 글! 중간중간 드라마관련..."
1,"단, 하나의 사랑 드라마",2019.05.16. ,KBS2 방영예정 수목드라마 [단 하나의 사랑] -나를 위한 드라마가 온다!!!,즐겁게 살기 위한 블...,"KBS2 수목드라마 <단, 하나의 사랑>은 다음주 수요일인 5월 22일에 처음으로 방송될 예정입니다. 지금은 티저 몇 개와 1회 예고가 나와 있어요. 전부 다 분위기가 너무..."
2,"단, 하나의 사랑 드라마",2019.05.19. ,신혜선 나이 키 성형전 드라마 '단 하나의 사랑',JS 해피하게~★,"신혜선 나이 키 성형전 드라마 '단 하나의 사랑' 믿고 보는 배우라는 수식어가 아깝지 않을 만큼, 탁월한 캐릭터 소화력, 작품 선구안을 자랑하는 신혜선이 차기작으로..."
3,"단, 하나의 사랑 드라마",2019.05.13. ,드라마 단 하나의 사랑 등장인물관계도 신혜선 김명수 주연,너는 잘 할수 있는 ...,드라마 단 하나의 사랑 등장인물관계도 신혜선 김명수 주연. 안녕하십니까~ 무려 5일 만에 글을 처음 쓰게 되었습니다. 제가 보통 글을 이렇게 오래 쉬는 경우가 흔치는...
4,"단, 하나의 사랑 드라마",2019.05.21. ,드라마 단 하나의 사랑 - 인물 관계도 등장인물 줄거리 몇 부작 신혜선 김명수 이동건 김보미 도지원 김인권,김주말의 세상사는 ...,"KBS2 수목 드라마 단 하나의 사랑 (2019.05.22 PM 10:00) 제작진 연출 - 이정섭 극본 - 최윤교 몇 부작 16부작 하루 기준 2회씩 32부작 출연진 신혜선, 김명수, 이동건, 김보미..."
5,"단, 하나의 사랑 드라마",2019.05.14. ,"5월 22일 수요일 오후 10시 첫방송 KBS2TV 새 수목드라마 『 단, 하나의 사랑 』",수의 콘텐츠 제작소,"com 5월 22일 수요일 오후 10시부터 시작되는 '단, 하나의 사랑' 정말 정말 기대가 되는 드라마 중에 하나예요 ㅎㅎ 요즘 챙겨 볼 드라마들이 많아져서 정말 행복한 나날을..."
6,"단, 하나의 사랑 드라마",2019.05.21. ,"19.5.21(화)'단, 하나의 사랑' 제작발표회 생중계 / 수목드라마 KBS Drama",ㄱ,"5월 21일 오후 2시 서울 강남구 논현동 임피리얼 팰리스 호텔 KBS 2TV 새 수목드라마 '단, 하나의 사랑' 제작발표회 KBS Drama 안녕, 하늘 안녕, 세상아... 오락가락...;;;..."
7,"단, 하나의 사랑 드라마",2019.05.21. ,"[KBS 드라마] '단, 하나의 사랑' 하이라이트 / 등장인물",슈슈 블로그,"하이라이트 공식포스터 KBS 드라마 포스트 미리보는 단, 하나의 사랑 KBS드라마 네이버 포스트 KBS드라마 네이버 포스트 KBS드라마 네이버 포스트 KBS드라마 네이버..."
8,"단, 하나의 사랑 드라마",2019.05.07. ,"KBS2 수목드라마 '단, 하나의 사랑' 포스터 기획의도 몇부작 등장인물 신혜선 김명수 엘 이동건",내일의 드라마,"5월 22일 방영 예정인 KBS2 수목드라마 '단, 하나의 사랑' 를 소개해볼까 합니다! KBS2 새 수목드라마 '단, 하나의 사랑'은 사랑을 믿지 않는 발레리나와 큐피트를..."
9,"단, 하나의 사랑 드라마",2019.05.16. ,KBS2 수목드라마 닥터 프리즈너 후속 단 하나의 사랑 원작 몇부작? 줄거리 인물관계도 없음 신혜선 김명수 이동건,황금돼지의 드라마통...,특히 신혜선이 나오는 드라마이니 더 기대만발~ 원작 2006년 일본에서 방송된 드라마 단 하나의 사랑과 똑같은 이름이라 원작이 아니냐고 하는데요.. 이름과 장르가...
10,"단, 하나의 사랑 드라마",2019.05.19. ,단 하나의 사랑 신혜선 kbs 드라마 여주인공으로 캐스팅되었네요,동동이데디 블로그,"바로 이번에 수목드라마로 방영 예정중인 드라마 단 하나의 사랑이라는 작품인데, 여기에 오랜만에 안방 극장으로 복귀하는 배우 신혜선이 여자 주인공으로 캐스팅이..."
11,"단, 하나의 사랑 드라마",2019.05.15. ,"KBS2_수목드라마_단, 하나의 사랑_티저&OST 모음...",다영아빠의 일상이야...,"KBS2 수목드라마 '단, 하나의 사랑' “인간을 관찰하는 일은 참으로 흥미롭습니다... 영겁의 시간이 막막한 흑백이라면, 인간은 부서질 듯 찬란하게 색색으로..."
12,"단, 하나의 사랑 드라마",2019.05.08. ,"[인피니트/엘]드라마 '단, 하나의 사랑' 종합 예고편",끝나지 않은 이야기...,"그럼에도 이렇게 설레는 장면 연출 가능ㅠㅠㅠㅠㅠ 능력자야 아주ㅜㅜㅜㅜㅜㅜㅜㅜ 단, 하나의 사랑 5월 22일 수요일 밤 10시 첫방송 됩니다ㅎㅎㅎ"
13,"단, 하나의 사랑 드라마",2019.05.10. ,"KBS 수목 드라마 단, 하나의 사랑 종합 예고  및 티저(4차)",그대여서 고마워요....,"me 5월 22일 수요일에 첫 방송되는 KBS 수목드라마 단, 하나의 사랑. 지난번 올린 티저에 이어 4차 티저와 종합 예고 주인공 김명수, 신혜선의 ASMR 예고까지..."
14,"단, 하나의 사랑 드라마",2019.05.17. ,"서울발레시어터, 발레단 소재 KBS 드라마 ‘단, 하나의 사랑’ 제작 협조",서울발레시어터(Seoul Ball...,"서울발레시어터가 ‘발레단’을 소재로 한 KBS 2TV 새 수목드라마 ‘단, 하나의 사랑’ 제작 협조에 나섭니다! 서울발레시어터는 극 중 발레단 운영, 공연 진행 등과..."
15,"단, 하나의 사랑 드라마",2019.05.20. ,단 하나의 사랑 kbs 드라마 신혜선 김명수 벌써 재밌어,KXYZ,서른 열일곱 에서 웃기고 귀여웠는데 차가운 표정에서 연기변신이 기대된다 발레연습 3개월 그것만으로도 저런 태가 난다고? 여배우 분위기 수목드라마는 단 하나의 사랑
16,"단, 하나의 사랑 드라마",2019.04.23. ,"KBS2 새 드라마 단,하나의 사랑 X 바이예랑 아티스트 양미나 출격!",BAI PAPER,"작품마다 뛰어난 표현력을 자랑했던 메이크업 아티스트 그룹 예랑프로덕션이 KBS2 새 드라마 단,하나의 사랑과 함께합니다. 단 하나의 사랑은 배우 이동건이 카리스마..."
17,"단, 하나의 사랑 드라마",2019.05.16. ,닥터 프리즈너 마지막회 몇부작 후속 단 하나의 사랑 KBS2 수목드라마,에바그린님의 블로그,닥터 프리즈너 마지막회 몇부작 후속 단 하나의 사랑 KBS2 수목드라마 안녕하세요~오늘의 세번째 포스팅은 수목드라마 시청률 순위 1위를 기록하고있는 KBS2TV 닥터...
18,"단, 하나의 사랑 드라마",2019.05.16. ,"굿바이 닥터 프리즈너(재방송) 메이킹영상,새 수목드라마 단 하나의사랑",라니의 달콤한세상이...,"KBS2 새 수목드라마 단 하나의사랑 “인간을 관찰하는 일은 참으로 흥미롭습니다. 영겁의 시간이 막막한 흑백이라면, 인간은 부서질 듯 찬란하게 색색으로 빛납니다.”..."
19,"단, 하나의 사랑 드라마",2019.05.02. ,닥터 프리즈너 결방 소식과 후속은 단 하나의 사랑!!,오늘의 추천아이템,후속으로는 단 하나의 사랑이 방영되는데 오랜만에 나오는 신혜선 이동건 김명수 주연의 드라마인데 발레리나의 이야기를 다룰 예정이라고 하네요. 닥터 프리즈너...
20,"단, 하나의 사랑 드라마",2019.05.18. ,2019년 5월 넷째 주 금주의 방영 예정 / 신작 드라마 소개 봄밤 단하나의사랑 한지민 정해인 신혜선 김명수,내일의 드라마,"이번주 신작 드라마는 KBS2 수목드라마 '단, 하나의 사랑'과 MBC '봄밤' 인데요! 신혜선X김명수, 한지민X정해인!!! 벌써부터 기대되고 설레지 않나요!?..."
21,"단, 하나의 사랑 드라마",2019.05.07. ,"“누가 날 보호한다고?” (feat. 천사 김명수) ＜단, 하나의 사랑＞[4차 티저]",미켈란젤로가 널 봤...,"오매불망 기다리는 단 하나의 드라마. 단, 하나의 사랑. '단, 하나의 사랑' 까칠 신혜선x발끈 김명수, 웃음→설렘 넘나드는 티저 ‘단, 하나의 사랑’..."
22,"단, 하나의 사랑 드라마",2019.04.26. ,"인피니트 엘 = 김명수, 단 하나의 사랑 2차 티저 + 석촌 호수의 햇살 명수",L MAGAZINE,https://youtu.be/CO170mXlTcc 우리 명수가 직접 말하는 단 하나의 사랑. 우리 묭묭이... 기대되는 로맨스 드라마를 찍는 투표가 있어요. 단사랑은 현재 2위! https://m....
23,"단, 하나의 사랑 드라마",2019.05.18. ,[봄밤 한지민 니트 패션 VS 단하나의사랑 신혜선 원피스 패션 전격 비교],오피스룩 + 패션 ::...,"그린 드라마 단, 하나의 사랑 이연서 Cast. 신혜선 갑작스러운 부모님의 죽음으로 상속녀가 되었지만 연서의 주변엔 온갖 사기꾼들이 들러붙었고, 아무도 믿을 수가..."
24,"단, 하나의 사랑 드라마",2019.05.10. ,"[인피니트/엘]드라마 '단, 하나의 사랑' 포스터 촬영 비하인드",끝나지 않은 이야기...,"단, 하나의 사랑 포스터 촬영 비하인드 영상이 올라왔습니다!! 주연배우들 인터뷰도 함께이니 영상 꼭 보세요ㅎㅎㅎㅎ 명수 촬영 현장에서 열정적이고 동료들이랑 잘..."
25,"단, 하나의 사랑 드라마",2019.05.02. ,"KBS 수목드라마 단, 하나의 사랑 메이킹 및 티저(1차~3차)",그대여서 고마워요....,"대본리딩 현장 단, 하나의 사랑 | ○ 수목드라마 ＜단, 하나의 사랑＞ ○ KBS2 5월 15일 수요일 밤 10시 첫 방송 ○ 출연진 : 신혜선, 김명수, 이동건, 김보미, 김인권..."
26,"단, 하나의 사랑 드라마",2019.05.14. ,단 하나의 사랑 등장인물 신혜선 김명수 이동건,체리별,지금까지 단 하나의 사랑 등장인물을 소개하였습니다. 다음 주 시작하는 드라마 단 하나의 사랑 본방사수는 필수입니다. 어머 이건 꼭 봐야 해~
27,"단, 하나의 사랑 드라마",2019.05.20. ,단하나의사랑 등장인물관계도 : 김명수 신혜선 이동건 김보미,별하's 감성드라마&...,이번 주에는 SBS와 KBS에서 수목드라마가 시작을 합니다. 지금 하고 있는 것도... 대본만 잘 빠진다면(?) 정말 명작이 되지 않을까 기대하고 바라면서 단 하나의 사랑 속...
28,"단, 하나의 사랑 드라마",2019.05.20. ,단 하나의 사랑 인물관계도 등장인물 줄거리 : 신혜선 김명수 이동건,패션블로거 SONODAN...,단 하나의 사랑 인물관계도 독한 발레리나와 유쾌한 사고뭉치 천사의 만남이 기대되는 드라마 단 하나의 사랑 인물관계도를 간단하게 준비해 보았어요. 사랑 따위 믿지...
29,"단, 하나의 사랑 드라마",2019.05.19. ,"2019년 5월17일 연예가중계 KBS 새 수목드라마 ""단, 하나의 사랑"" 게릴라데이트",All About L,"KBS 새 수목 드라마 ""단, 하나의 사랑 "" 2019년 5월 22일 첫방송! 화이팅! 기다리구 있습니다~^ㅡ^ 얼른 보고싶습니다 김명수♡ 사랑행"
30,"단, 하나의 사랑 드라마",2019.05.04. ,동시간) 봄밤 vs 단 하나의 사랑 vs 절대 그이,케플란의 블로그,"방영 시간 출처: 단, 하나의 사랑 티저 KBS 새 수목드라마 단, 하나의 사랑 5월 22일 (수) 밤 10시 첫 방송 VS 출처: 절대그이 티저 SBS 새 수목드라마 절대그이 5월 15일..."
31,"단, 하나의 사랑 드라마",2019.05.14. ,단 하나의 사랑_5/22 첫방송!!,자유시간,"단, 하나의 사랑 오늘 추천드라마는 단, 하나의 사랑 입니다. 나의 프라이드, 나의 자존심, 나의 능력과 재능을 가지고 신나게 날던 시절이 있었다. 나를 사랑했고 나를..."
32,"단, 하나의 사랑 드라마",2019.05.10. ,"[단, 하나의 사랑] 신혜선 X 김명수 케미♡ 티저, 포스터",ㄱ,"[단, 하나의 사랑] 신혜선 X 김명수 케미♡ 티저, 포스터 비하인드 좋구나... 이 드라마에서 제일 인기 많고 주목받는 배우. 목소리, 연기 모든 게 다 사랑스럽고..."
