,drama_title,date,blog_title,writer,contents
0,동네변호사 조들호 2 : 죄와 벌 드라마,2019.01.05.,2019 월화 드라마 KBS2 동네변호사 조들호 2 : 죄와 벌 인물 소개,슈슈 블로그,"그중에서 오늘은 캐스팅 만으로도 큰 화제가 되고 있는 드라마 <동네변호사 조들호 2 : 죄와 벌>을 소개해 드릴까 합니다. 동네변호사 조들호는 2016년 상반기, 시청률이..."
1,동네변호사 조들호 2 : 죄와 벌 드라마,2018.12.29.,동네변호사 조들호 2: 죄와벌 등장인물 소개,리뷰톡톡,드라마 좋아하는 집쑨이가 기다리고 고대하는 드라마가 곧 있으면 방송되는데요.. 바로 동네변호사 조들호 2: 죄와 벌입니다. 지난 2016년 17.3% 높은 시청률과 뜨거운 호평...
2,동네변호사 조들호 2 : 죄와 벌 드라마,2019.01.02.,동네변호사 조들호2: 죄와 벌 - 믿고 보는 드라마,내집마련 최고의 파...,그냥 드라마와 연기만 딱 보는걸로 끝내고 싶습니다 동네변호사 조들호 2:죄와 벌 3차 티저 함께 보시죠 ~ 30초가 너무 아쉽고 안타까울 만큼 뒤가 궁금하실거에요...
3,동네변호사 조들호 2 : 죄와 벌 드라마,2019.01.03.,오늘드라마-동네변호사조들호2:죄와 벌,오늘의 한끼,사이다 드라마 되길 기대합니다. 1월 7일 첫방의 본방사수를 약속하면서 오늘은 동네변호사 조들호2:죄와벌이었습니다. 마지막편까지 다 보고 다시 후기 올릴게용...
4,동네변호사 조들호 2 : 죄와 벌 드라마,2018.12.31.,KBS2_월화드라마_동네변호사 조들호2(죄와벌)_티저&OST 모음...,다영아빠의 일상이야...,KBS2 월화드라마 '동네변호사 조들호2(죄와벌)' 거침없는 돌직구로 인간 사이다의 매력을 보여준 '조들호' ‘거리의 변호사’라는 명성으로 출연한 그는 사회 문제를...
5,동네변호사 조들호 2 : 죄와 벌 드라마,2019.01.05.,KBS2 동네변호사 조들호2 '죄와벌' 등장인물 & 미리보기,훈 목 상 회,"중, 드라마를 검색하다가 너무나 반가운 '동네변호사 조들호2'의 소식이 있길래... 법조 드라마를 해보자는 것이 이 드라마의 첫 번째 기획의도다. 2)'조들호'하면 역시..."
7,동네변호사 조들호 2 : 죄와 벌 드라마,2019.01.05.,동네변호사 조들호2 죄와 벌 등장인물관계도 : 박신양 고현정,별하's 감성드라마&...,벌써부터 정말 기대되는 동네변호사 조들호2 : 죄와 벌! 드라마 속 등장인물과... 법조 드라마를 해보자는 것이 이 드라마의 첫 번째 기획의도다. 2) '조.들.호'하면 역시...
8,동네변호사 조들호 2 : 죄와 벌 드라마,2018.12.29.,"[동네변호사 조들호2 : 죄와벌]2019년 1월 기대되는 KBS월화드라마 박신양, 고현정 격돌 기대되잖아 : 한류드라마 될듯...",럭키가이 GO = 골프...,"사진출처=KBS 동네변호사 조들호2 : 죄와벌 드라마 빠질수 없는 악당들 고현정과 함께 거악의 주축들로 활약하는 박신양에게 대적할 악의 축 라인업 변희봉, 손병호..."
9,동네변호사 조들호 2 : 죄와 벌 드라마,2019.01.05.,1월 7일 월요일 오후 10시 첫방송 KBS2TV 새 월화드라마 『동네변호사 조들호2 : 죄와벌』,수의 콘텐츠 제작소,그린 드라마 m.tv.naver.com 동네변호사 조들호 죄와 벌 미리보기★ 동네변호사 조들호 2 : 죄와 벌 | 동네변호사 조들호 죄와 벌 미리보기★ naver.me 관전 포인트 3 우리...
11,동네변호사 조들호 2 : 죄와 벌 드라마,2019.01.06.,동네변호사조들호2 죄와벌 월화드라마,보험은정간디,"조들호 2 : 죄와 벌 | [3차티저] 30초면 충분해, 압도적인 박신양vs고현정 클래스! ＜동네변호사 조들호2 : 죄와벌＞ naver.me 동네변호사조들호2 죄와벌 월화드라마..."
