,drama_title,date,blog_title,writer,contents
0,아이템 드라마,2019.02.10.,드라마 아이템 등장인물 인물관계도 : 주지훈 진세연 김강우,별하's 감성드라마&...,
1,아이템 드라마,2019.02.04.,2019년 방영예정 드라마 기대작 아이템/리갈하이/트랩/더뱅커/킬잇,달빛냥이's Hallowe...,
2,아이템 드라마,2019.02.09.,드라마 아이템 언박싱 웹툰 원작 기대해,내집마련 최고의 파...,
3,아이템 드라마,2019.02.10.,2월 11일 월요일 오후 10시 첫방송 MBC 새 월화드라마 『 아이템 ( ITEM ) 』,수의 콘텐츠 제작소,
5,아이템 드라마,2019.01.28.,MBC 드라마 <아이템> 원작만화 - 민형&김준석,해피북스투유,
7,아이템 드라마,2019.01.31.,MBC드라마 아이템 방영예정,또바기의 블로그,
8,아이템 드라마,2019.02.04.,아이템 기대되는 드라마 추천~,ddoing blog,
9,아이템 드라마,2019.01.11.,아이템 주지훈 오랜만에 드라마로 복귀하게 된 배우,앙코앙코,
10,아이템 드라마,2019.02.07.,주지훈 진세연 아이템이라는 드라마에 출연하네요~!,제리냥이 블로그,
11,아이템 드라마,2019.02.09.,MBC 월.화 드라마 '아이템' 인물관계도 외~,까망집수니's 자발적...,
13,아이템 드라마,2019.02.07.,까사디엘 MBC 드라마 아이템 협찬,까사디엘 드레스룸 ...,
14,아이템 드라마,2019.02.08.,드라마 아이템 등장인물관계도 주지훈 진세연 주연,너는 잘 할수 있는 ...,
15,아이템 드라마,2019.02.03.,MBC_월화드라마_아이템_티저&OST 모음...,다영아빠의 일상이야...,
17,아이템 드라마,2019.02.08.,드라마아이템 주지훈 등장 인물관계도 줄거리몇부작 김강우진세연이정현,열심히,
18,아이템 드라마,2019.02.01.,조세황 (김강우) 스틸컷 & 포스터 촬영현장 비하인드 사진 <MBC 월화드라마 아이템 드라마는 2018.02.11 첫방송>,김강우 배우님 나노...,
19,아이템 드라마,2019.02.09.,드라마 아이템  인물관계도 주지훈 김강우 눈빛 대결,포토제이 일상 리뷰...,
20,아이템 드라마,2019.02.08.,"월화 MBC 드라마 아이템 주지훈, 진세연, 김강우 주연",금융이야기,
22,아이템 드라마,2019.01.31.,[출발! 드라마 여행] ‘아이템’ '봄이오나 봄' '더 뱅커' ‘이몽’까지 2019 상반기 기대작 4편 공개…,휘게타임즈,
23,아이템 드라마,2019.02.02.,대구커피카 대구커피트럭-MBC드라마 아이템 본방사수예정,대구푸드트럭.대구커...,
24,아이템 드라마,2019.02.10.,MBC 아이템 티저 모음-드라마도 예고의 시대가 되었다,Trailer Producer,
26,아이템 드라마,2019.01.30.,추적?판타지? 드라마 아이템 무슨 내용? item 보고싶은 이유 정리 + 줄거리 첫방송 정보 (나쁜형사 후속 월화드라마) 원작 웹툰 보는법 - 주지훈x김강우x진세연,퍼블릭에프알,
27,아이템 드라마,2019.02.03.,"웹툰을 원작으로 한 MBC 신작 드라마 [아이템] / 등장인물, 비교, 소재, 카카오페이지",후기쓰는 블로그,
28,아이템 드라마,2019.01.29.,MBC 월화드라마 웹툰 원작 [아이템] 내용 등장인물관계도 인물소개 주지훈 김강우 진세연 나쁜형사 후속!,황금돼지의 드라마통...,
31,아이템 드라마,2019.02.06.,드라마 아이템 선공개(월화드라마 mbc),굥토리의 수레바퀴,
32,아이템 드라마,2019.02.05.,"새로운 MBC 월화드라마 아이템 등장인물, 인물관계도",지혜로운 연서맘 ♡...,
33,아이템 드라마,2019.02.09.,MBC드라마 '아이템' 온에어~,혜라 콘티작가,
34,아이템 드라마,2019.02.04.,MBC 드라마 아이템 주지훈 인물관계도 등장인물 몇부작 원작웹툰아이템 줄거리,날마다 새롭게,
36,아이템 드라마,2019.02.03.,드라마 아이템 몇부작 인물관계도 등장인물 원작 웹툰 후속작 '특별근로감동관 조장풍',구글러20,
37,아이템 드라마,2019.01.29.,강곤검사 주지훈배우님  드라마 아이템 케이터링 서비스!!,대구 떡모푸드트럭,
38,아이템 드라마,2019.01.28.,MBC 월화드라마 아이템 등장인물 소개 & 인물관계도,잡다한 블로그,
39,아이템 드라마,2019.02.08.,곧 방영될 MBC 드라마 아이템 원작 웹툰을 알아보자!,웹툰덕후,
41,아이템 드라마,2019.01.11.,JTBC 드라마 품위 있는 그녀 김희선 옷 패션 핫 아이템 그리고 실화?,르크시크 부동산,
42,아이템 드라마,2019.02.03.,MBC 월화드라마 아이템 드라마 0회 언박싱 조세황(김강우) 캡쳐 by 방더덕 (2019.02.02),김강우 배우님 나노...,
45,아이템 드라마,2019.01.31.,MBC 월화드라마 아이템,굥토리의 수레바퀴,
46,아이템 드라마,2019.02.04.,아이템 인물관계도 주지훈 진세연 김강우 출연 웹툰 원작 드라마,정보 나누미,
49,아이템 드라마,2019.02.02.,재능TV 어린이웹드라마 “마음이 버들버들해” 잇아이템 어린이화장품 스티커틴트!! 스윗아지트 멀티 컬러 칩~~,하루마루의 일상♥,
50,아이템 드라마,2019.02.08.,[드라마 ‘아이템’ 인터뷰] 배우 김유리 헤어 효심 실장,애브뉴준오 효심 부...,
51,아이템 드라마,2019.02.05.,"아이템', 뭐가 지금껏 없던 드라마일까 궁금증↑",쩡이의 식탐 넘치는...,
57,아이템 드라마,2019.01.31.,"MBC드라마 나쁜형사 31,32화/ 최종화줄거리, 나쁜형사 후속작 아이템 예고에요!!!(안돼, 또 나 혼자 남잖아!)",BY JUNE,
61,아이템 드라마,2019.02.01.,MBC 월화드라마 아이템 드라마 브이앱 Vlive 일정 및 아이템 0회 언박싱 미리보기 #강곤 #신소영 #조세황,김강우 배우님 나노...,
64,아이템 드라마,2019.02.10.,아이템 인물관계도 완벽비밀정보,메롱메롱,
65,아이템 드라마,2019.02.08.,MBC 드라마 ‘ITEM’에서 통영을 찾아보세요!,통영시 공식 블로그,
66,아이템 드라마,2019.02.10.,OCN 토일 드라마 <트랩> 1회를 보고나서,써니의 드라마작가 ...,
69,아이템 드라마,2019.01.29.,"계명대학교 동산병원, 개원 전부터 드라마·영화 촬영지로 관심 집중",계명대학교 동산의료원,
70,아이템 드라마,2019.02.08.,드라마 남자친구 송혜교 귀걸이!! 이민정 패션까지 마마카사르 주얼리로 트렌디하게!!,썸블리 뷰티시크릿,
71,아이템 드라마,2019.01.31.,2월 새로하는 드라마 총정리! 복수가-스카이 캐슬-남자친구-나쁜형사 후속 뭐에요? 트랩-리갈하이-진심이닿다-열혈사제? 월화 수목 금토 드라마 방영예정작?,퍼블릭에프알,
72,아이템 드라마,2019.02.06.,"2019, 2월 신작드라마 소개",슬 픈 중 독 자,
73,아이템 드라마,2019.01.29.,드라마 로맨스는 별책부록 이나영 패션 차분한 니트는 지스튜디오래요~,프렌치팝콘의 더뷰티...,
75,아이템 드라마,2019.01.28.,"집순이 아이템, 이 두 개만 있으면 끝!",Piece Korea,
80,아이템 드라마,2019.01.11.,드라마 <남자친구> 송혜교 쿠션 고급스러운 피부는 설화수 퍼펙팅쿠션,프렌치팝콘의 더뷰티...,
82,아이템 드라마,2019.02.02.,아이템 원작웹툰아이템 주지훈 인물관계도 등장인물 몇부작 후속 줄거리 킹덤주지훈,날마다 새롭게,
84,아이템 드라마,2019.02.03.,아 넷플릭스 드라마 킹덤 시즌1 드디어 다봤다..,글은 쓰고싶지만 귀...,
85,아이템 드라마,2019.02.07.,아이템 김유리 나이 성형 몸매 데뷔때는?,Alice House,
87,아이템 드라마,2019.02.08.,tvN 드라마 로맨스는 별책 부록 속 '쿠진아트'를 만나보세요!,쿠진아트,
88,아이템 드라마,2019.01.28.,드라마 로맨스는 별책부록 이나영 패션 with 지스튜디오,제이영의 별빛더하기...,
89,아이템 드라마,2019.01.28.,토도가 드라마 협찬 들어갑니다^^,토도크리스탈 공식블...,
91,아이템 드라마,2019.02.05.,명절증후군 타파를 위한 설 힐링 아이템 추천!,롯데백화점 공식블로...,
92,아이템 드라마,2019.02.10.,진세연 주지훈 아이템,여우랑 복딩이랑,
94,아이템 드라마,2019.02.09.,드라마아이템오픈채팅방,anny0218님의블로그,
95,아이템 드라마,2019.02.07.,김혜자의 연륜 ‘눈이 부시게’ VS 주지훈의 패기 ‘아이템’,브릿지경제,
96,아이템 드라마,2019.01.28.,"진세연 몸매, 나이, 키, 집안, 인스타, 주지훈 아이템에 대해 알아보자",The Future Is Now,
98,아이템 드라마,2019.01.31.,2019년 2월 신규드라마 소개,종합광고대행사 INT...,
100,아이템 드라마,2019.01.31.,"주지훈, '킹덤'→'아이템'으로 열일 ing '2019년에도 주지훈'",휘게타임즈,
101,아이템 드라마,2019.02.07.,드라마 '진심이 닿다' 속 유인나 패션 아이템 정보,bohemic,
102,아이템 드라마,2019.02.04.,mbc 아이템 등장인물관계도 및 원작 줄거리 결말 : 주지훈 김강우 진세연 (ft.원작웹툰),오늘도 예쁘다,
103,아이템 드라마,2019.01.31.,"“인싸들의 하트춤”…‘아이템’ 진세연, 역대급 미모+사랑스러운 댄스",톱스타뉴스 공식 블로그 (T...,
104,아이템 드라마,2019.02.05.,"아이템' 주지훈·진세연 설 연휴에도 열심히 촬영 중, 11일 만나요",까미와 짱이는 사랑...,
105,아이템 드라마,2019.01.11.,김남주 공항패션 정보 > 헨리베글린 19FW 아이템 가득해요,COSTRAMA의 GRAND T...,
107,아이템 드라마,2019.01.31.,"아이템' 진세연, '냉철 카리스마' 돌진형 외유내강 프로파일러 신소영으로 완벽 변신, 포스터 촬영 B컷 공개",휘게타임즈,
109,아이템 드라마,2019.01.28.,토도가 드라마 협찬 들어갑니다^^,토도,
110,아이템 드라마,2019.02.01.,봄이오나봄 드라마속 엄지원가방 캐롤리나헤레라 CH 인시그니아,홀릭줄리아 lifelog,
115,아이템 드라마,2019.01.31.,"‘아이템’ 주지훈, 카리스마 봉인해제! 왜? 조카 신린아와 애틋한 풍등 날리기 현장 포착",휘게타임즈,
118,아이템 드라마,2019.01.28.,이나영 패션 드라마 로맨스는 별책부록에서 입은 지스튜디오 니트!,치즈초콜릿의 깨알블...,
122,아이템 드라마,2019.02.07.,인테리어디퓨저 벨로씨 드라마협찬 디퓨져추천,라임상자 ♥,
125,아이템 드라마,2019.02.04.,2019년 드라마 라인업 상반기 중 볼만한 것들,셔아 station,
