,drama_title,date,blog_title,writer,contents
1,열혈사제 드라마,2019.02.12.,SBS 금토드라마 열혈사제,"?????, ???...","열혈사제 편성 :SBS 금토드라마 오후 10시 제작 : 연출 (이명우), 극본 (박재범) 아직 티저 못보신분ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 김성균배우님 티저좀..."
2,열혈사제 드라마,2019.02.09.,금토드라마 SBS 열혈사제 등장인물 소개,슈슈 블로그,"앞둔 열혈사제의 등장인물을 살펴볼까요? SBS금토드라마 열혈사제 드라마 소개 온갖 추한 죄는 버라이어티하게 다 처 짓고, 간증 한 번 하고 [죄 사함]받았다며 혼자..."
4,열혈사제 드라마,2019.02.12.,"기대되는 새로운 금토드라마, SBS <열혈사제>",곽디SHOW,"SBS에서는 군 입대 전 나쁜남자를 마지막으로 떠나셨다가 이번에 금토 드라마 <열혈사제>로 컴백!! 열혈사제 연출 이명우 출연 김남길, 김성균, 이하늬, 금새록, 고준..."
6,열혈사제 드라마,2019.02.14.,"SBS 금토 드라마 ""열혈사제"" 제작지원",방송 광고의 모든 것,"김해일 김남길 김해일 (남/39) 세례명 [미카엘] / 사제 알코올 의존증 초기, 금연... 권력의 충견이자 [우리 편]이 아닌 [저쪽 편] 열혈 검사다. 권력을 따른다고 해서..."
7,열혈사제 드라마,2019.02.12.,SBS주말드라마 '열혈사제' 김남길X김성균X이하늬 그리고 <신부님 우리들의 신부님>,세상을 향해 열린 창문을 열...,<열혈사제> 네이버 프로그램 정보 이틀 밖에 남지 않은 화제의 드라마 <열혈사제> 분노조절장애를 가진 가톨릭 사제역할을 맡은분은 바로 김남길 배우! <열혈사제...
9,열혈사제 드라마,2019.02.02.,금토드라마 <열혈사제> 5차 티저 예고편&움짤 : 2월 15일 밤 10시 채널고정!,A week of Heeya,"오늘도 어김없이 포스팅하는 2019년 2월 15일 금요일 밤 10시 첫방송하는 SBS 금토드라마 <열혈사제> 4차, 5차 예고편입니다. 이번 예고편에서는 김해일 역할을 맡은..."
10,열혈사제 드라마,2019.02.13.,열혈사제 : 등장인물 줄거리 몇부작? SBS 첫 금토드라마,까망집수니's 자발적...,"SBS 첫 금토드라마 '열혈사제' 등장인물, 줄거리, 몇부작인지 자세히 살펴보겠습니다. ◆방송일: 2019년 2월 15일(금.토) 오후 10시 ◆제작진: 연출 이명우, 극본 박재범..."
11,열혈사제 드라마,2019.02.14.,금토드라마 SBS 열혈사제 인물소개,금융이야기,"열혈사제 방송시간 매주 금,토 오후 10시 40부작 이명우 연출 박재범 극본 김남길, 김성균, 이하늬 주연 분노조절장애 카톨릭 사제와 구담경찰서 대표 형사가 한..."
13,열혈사제 드라마,2019.02.01.,열혈사제 드라마 추천~,ddoing blog,"열혈사제 드라마 주요인물로는 김남길, 구대영, 박경선, 황철범, 서승아 들이 나올 예정이라고 하는데요. 이 열혈사제라는 드라마를 통해서 버라이어티하면서 숨막히는..."
14,열혈사제 드라마,2019.02.08.,SBS_금토드라마_열혈사제_티저&OST 모음...,다영아빠의 일상이야...,SBS 금토드라마 '열혈사제' 분노조절장애 가톨릭 사제와 구담경찰서 대표 형사가 한 살인사건으로 만나 공조 수사에 들어가는 이야기 SBS 금토드라마 열혈사제 티저1...
15,열혈사제 드라마,2019.02.14.,열혈사제 입문기,드라마리뷰의 제왕을...,그가 나온 드라마중에 느낌없는 드라마는 본적이 없어요 아직은..ㅎ 이번 열혈사제는 분노조절장애 가톨릭 사제 김해일(김남길)과 구담 경찰서 대표형사 구대영...
