,drama_title,date,blog_title,writer,contents
0,조선로코 - 녹두전 드라마,2019.09.02. ,새 월화드라마 조선로코 녹두전 장동윤 김소현 송건희,호수옆길,전개될 드라마의 재미와 스토리를 기대하게 합니다. 조선로코 녹두전 ‘조선로코-녹두전’은 여자보다 더 예쁜 화장을 한 여장남자 전녹두(장동윤)이 미스터리한...
1,조선로코 - 녹두전 드라마,2019.09.27. ,"조선로코 녹두전 움짤, 미모 실화?",별하's 감성드라마&...,조선토코 녹두전 소개글도 조만간 준비해 올게요~ https://blog.naver.com/js2y86/221663026322 조선로코 녹두전 드라마 등장인물 인물관계도 : 김소현 장동윤 드디어 내일이면...
2,조선로코 - 녹두전 드라마,2019.09.22. ,KBS2_월화드라마_조선로코 녹두전_티저&OST 모음...,다영아빠의 일상이야...,KBS2 월화드라마 '조선로코 녹두전' 미스터리한 과부촌에 여장을 하고 잠입한 '전녹두'와 기생이 되기 싫은 반전 있는 처자 '동동주'의 발칙하고 유쾌한 조선판...
3,조선로코 - 녹두전 드라마,2019.09.24. ,"kbs2 새 월화드라마 <조선로코 녹두전>-웹툰원작,줄거리,몇부작,김소현",부산을 그리다,웹툰<녹두전>을 원작으로 만든 kbs2 새 월화드라마 <조선로코 녹두전>입니다.... 줄거리 미스터리한 과부촌에 여장을 하고 잠입한 전녹두와 기생이 되기 싫은 반전있는...
4,조선로코 - 녹두전 드라마,2019.09.29. ,"조선로코 녹두전 드라마 등장인물 & 줄거리, 원작 웹툰 (장동윤,김소현)",히뎀언니의 오늘,9월 30일 첫 방♥ 녹두 총각의 이유 있는 여장♥ [조선로코-녹두전] #조선로코녹두전 #녹두전드라마 #녹두전원작 #녹두전등장인물 #녹두전줄거리 #녹두전웹툰...
5,조선로코 - 녹두전 드라마,2019.09.11. ,조선로코 녹두전 드라마 등장인물관계도 줄거리 웹툰 몇부작 결말,오늘의 온도℃,코미디 드라마로 각자의 비밀을 품고 과부촌에 입성한 여장남자 전녹두와 예비 기생 동동주의 기상천외한 로맨스가 색다른 청춘 사극 이야기 조선로코 녹두전...
6,조선로코 - 녹두전 드라마,2019.09.09. ,"KBS2 새 월화드라마 조선로코 ""녹두전"" 김소현 편 티저예고",A week of Heeya,"전녹두 역을 맡은 장동윤 배우님 티저 예고가 궁금하다면 ▼ 클릭! 만화 원작, 조선로코 드라마 ""녹두전"" 장동윤 편 티저예고 #드라마녹두전 #조선로코녹두전..."
7,조선로코 - 녹두전 드라마,2019.09.25. ,[KBS] 조선로코 - 녹두전,로맨틱 선셋♥,조선로코 녹두전! 하이라이트 미리보기 꽃파당과 같은 월화드라마네요.ㅠㅠ 웹툰 원작이라고하나 전 못 본 웹툰이에요. 사실 웹툰까지 볼 시간이... 여장남자 녹두가...
8,조선로코 - 녹두전 드라마,2019.09.03. ,[조선로코 녹두전] 1차티저 전녹두역 장동윤 움짤.gif,여우별의 움/짤/공/...,[조선로코 녹두전] 1차티저 전녹두역 장동윤 움짤.gif 드라마 조선로코 녹두전은 9월 30일 첫 방송됩니다. 많이 기대해주세요 https://www.youtube.com/watch?v=G9XExrkd-_0
9,조선로코 - 녹두전 드라마,2019.09.27. ,"조선로코 녹두전 개인적으로 기대가 많은 작품 , 김소현 장동윤",뚜찌와 쩡목의 블로...,조선로코 녹두전을 보실때 단순히 김소현과 장동윤 녹두와 동동이라는 인물이 그려내는~ 로맨틱 코미디를 보면서 드라마를 시청해도 충분히 재미있겠지만!! 이 녹두전...
