,drama_title,date,blog_title,writer,contents
0,해치 드라마,2019.02.08.,SBS 월화드라마 해치 영조와 박문수 역사적 배경,친절한 입시 컨설팅,SBS 월화드라마 해치 2월 11일 월요일 시작 48부작입니다. 해치는 해태라고도 불리는 중국 요순시대에 태어났다는 상상속의 동물입니다. 소나 사슴과 비슷하고 뿔이...
1,해치 드라마,2019.02.10.,"해치 뜻? 몇부작, 드라마 해치 줄거리, 인물관계도, 등장인물, SBS 월화드라마 김이영 작가!",정연아 이미지테크,지금까지 해치의 뜻에 대해 알아보았구요~ 드라마에 관한 얘기를 하자면요~ 해치의 작가는 '동이' '화정' 등을 집필했던 김이영 작가네요~ 그러면 사극 드라마 해치의...
2,해치 드라마,2019.01.30.,[드라마 소개] 해치,로키의 일상추천#,안녕하세요 이번에 소개해드릴 드라마는 SBS 월화드라마 해치입니다 해치라는 단어가 참 낯설죠?ㅎㅎ 우선 해치가 뭔지 한번 알아볼까요??? 해치는 현재 서울의...
3,해치 드라마,2019.02.10.,드라마 해치 등장인물 + 인물관계도 : 정일우 고아라 권율,별하's 감성드라마&...,"ㅎㅎㅎ 특히 오랜만에 보는 정일우 님은 반갑고, 고아라, 권율 님과의 케미도 기대해보면서 드라마 < 해치 > 속 등장인물과 인물관계도를 소개해봅니다. 드라마 < 해치..."
4,해치 드라마,2019.02.03.,"SBS 월화드라마 ""해치""",루엘르의 덕후 일상,신작 드라마를 소개해 드릴게요!! 출처= SBS 가장 낮은 곳에서 시작된 가장 찬란한 등극기 해 치 기획의도 출처= SBS 18세기. 새로운 조선을 꿈꾸며 개혁의 길을 연 군주...
5,해치 드라마,2019.01.30.,"월화드라마 ‘해치’ 정일우-고아라-권율-박훈vs이경영, ‘폭풍전야’ 메인 포스터",휘게타임즈,SBS 새 월화드라마 ‘해치’는 ‘복수가 돌아왔다’ 후속으로 2월 11일(월) 밤 10시 첫 방송된다. #월화드라마 #해치 #드라마해치 #정일우 #고아라 #권율 #박훈 #이경영
7,해치 드라마,2019.02.03.,"sbs 드라마 <해치> 정일우,고아라,권율 대본리딩/예고편/런닝맨",부동산밴드 공인중개...,"sbs 드라마 '해치' 정일우 + 고아라 + 권율 주연 sbs 런닝맨에 설날을 맞아 고아라,권율,박훈 등 드라마 해치 주연 4인방이 출동했다고하네요 :) 해치 주인공들이..."
9,해치 드라마,2019.02.08.,영주 소수서원 드라마 해치 촬영지래요,땡용어뭉 두번째 이야기,sbs드라마 해치 는 김종학프로덕션에서 만든 드리마로 2월 11일 첫방송을 한다고 합니다. 천한 무수리의 몸에서 태어난 왕자 연잉군 이금이 열정 가득한 과거 준비생...
10,해치 드라마,2019.02.07.,[PREVIEW] 런닝맨 X SBS 새 월화드라마 해치,; A BOOK,해치에서는 실제 왕이였던 #영조 역을 맡은 정일우 배우님 출처 : SBS 드라마 해치 공식 티저 1차 ver 이렇게 잘생기고 키도 커서 세상을 다 가졌을 것만 같은...
11,해치 드라마,2019.02.07.,드라마 : SBS 월화 드라마 '해치' 조연들.,미 연,눈망울이 더 없이 사랑스런 여인. sbs 새 월화 드라마 에 출연 하는 조연 급 배우들.... 해치에서 이금을 도와 왕의 자리까지 돕는 역할이거나 아님 그의 적이겠지...
