,drama_title,date,blog_title,writer,contents
0,회사 가기 싫어 드라마,2019.04.05. ,회사가기싫어 스페셜 - 초밀착 리얼 오피스드라마 (족구하라 그래! ),sweet my city,"분명 4월 9일에나 시작될줄알았던 드라마 '회사가기싫어' 갑자기 스페셜 뭔데,...? 여느 드라마와 같이 그저 앞날의 드라마를 압축요약한 (?) 방송일줄알았더니. 웬열..."
1,회사 가기 싫어 드라마,2019.04.02. ,"KBS드라마 '회사가기싫어' 여주인공 한수연, 소주연에 대한 모든 것! 정보",솔직한 냠냠이의 블...,2018년도에 KBS에서 방영한 '회사가기 싫어' 모큐 드라마ㅋㅋㅋㅋ혹시 기억나는 잇님들~~ 오피스+병맛 다큐멘터리ㅋㅋㅋㅋ 실제 직장인들의 애환들을 다룬 재미있는...
2,회사 가기 싫어 드라마,2019.04.08. ,회사가기 싫어 드라마 등장인물 소개,별하's 감성드라마&...,"ㅎㅎㅎ 그럼 드라마 회사가기 싫어 속 등장인물 소개 포스팅을 시작합니다~ 회사가기 싫어 2019.04.09 ~ l 12부작 l 화요일 오후 11:10~ 제작진 연출 조나은, 박정환, 서주완..."
3,회사 가기 싫어 드라마,2019.04.07. ,kbs 회사가기 싫어 등장인물 관계도 몇부작 줄거리 화요일 오피스 드라마,에바그린님의 블로그,오피스 드라마 회사가기 싫어 등장인물 관계도 및 줄거리에 대한 소식을 전해드릴께요~회사 가기 싫어의 줄거리 내용은 회사에 가기 싫어하는 사람들의 아주...
4,회사 가기 싫어 드라마,2019.03.17. ,[TV/KBS2/드라마] 초밀착 리얼 오피스 드라마 <회사 가기 싫어> : 2019년4월9일 첫 방송,글 그리는 여자(Ye-...,"싫어 | ○ 드라마 ＜회사 가기 싫어＞ ○ 편성 : KBS 2TV 4월 9일(화) 밤 8시 55분 ○ 출연배우 : 김동완, 한수연, 소주연, 김관수 등 ○ 회사 가기 싫은 사람들의 아주..."
5,회사 가기 싫어 드라마,2019.04.08. ,[드라마 추천] KBS 드라마 <회사 가기 싫어> 4월 9일 첫방송!,엘리블로그,안녕하세요 엘리 입니다:) KBS2 에서 하는 새로운 드라마! '회사 가기 싫어' 를 소개할게요~~ 드라마 제목부터 뭔가 사람의 이목을 끄는 느낌이 있네요 ㅎㅎ...
6,회사 가기 싫어 드라마,2019.03.31. ,KBS2_화요드라마_회사가기 싫어_티저&OST 모음...,다영아빠의 일상이야...,KBS2 화요드라마 '회사가기 싫어' 초고속 승진의 전설을 쓴 한다스 오피스의 스타 강백호역을 맡은 '김동완' 세상에서 가장 싫어하는 벌레는 '대충'으로 야근은...
7,회사 가기 싫어 드라마,2019.04.08. ,[기사]'회사 가기 싫어' 드라마인가 예능인가…젊은 꼰대가 된 김동완 (종합) 본문듣기 설정,나 항상 그대를,"'회사 가기 싫어' 드라마인가 예능인가…젊은 꼰대가 된 김동완 (종합) [텐아시아=우빈 기자] 배우 김국희(왼쪽부터), 김중돈, 김관수, 소주연, 한수연, 김동완이..."
8,회사 가기 싫어 드라마,2019.03.09. ,'회사가기싫어' 초밀착 리얼 오피스드라마가 드디어 시작됩니다!!!,제롬엔터테인먼트,☆☆☆ 회사가기 싫어 시즌2 ☆☆☆ 매주 화요일 밤11시10분 KBS2TV 회사가기싫어 시즌 1 방영후 시청자들에게 신선한 기획으로 화재를 모으면서 풍성한 드라마적...
9,회사 가기 싫어 드라마,2019.04.08. ,"네이처가든 협찬 소식! KBS2 주말드라마 김해숙 김소연 홍종현 유선 주연<세상에서 제일 예쁜 내 딸>, KBS2 김동완 한수연 소주연 주연 <회사가기 싫어>",건강식품 기업 네이...,"이번에는 김해숙, 김소연, 홍종현, 유선 주연의 KBS2 주말드라마 <세상에서 제일 예쁜 내 딸>과 김동완, 한수연, 소주연 주연의 KBS2 드라마 <회사가기 싫어>에 협찬을..."
10,회사 가기 싫어 드라마,2019.04.06. ,회사가기 싫어 :: 등장인물 :: 기획의도 소개,뷰티치과정보박사,"새롭게 시작하는 드라마, 회사가기 싫어 4월 9일 부터 방송되는데요, 12부작으로 화요일 오후 11시에 첫방송 된니다!!!! 김동완씨가 출연하는 드라마로, 많은 분들의..."
11,회사 가기 싫어 드라마,2019.03.29. ,회사가기싫어 여주 소주연 나이 키 후아유?,<남양건업> 칸막이시...,평범한 직장인들의 아주 사소하고 위대한 이야기를 그린 초밀착 리얼 오피스 드라마 '회사가기싫어'가 엄청난 관심을 받고 있습니다. 김동완과 한수연 등 배우가...
12,회사 가기 싫어 드라마,2019.04.08. ,회사 가기 싫어 등장인물 김동완 한수연 소주연,체리별,"드라마는 회사 가기 싫어입니다. 2018년 6부작 파일럿을 기반으로 새로운 인물들이 등장하는 리얼 오피스 드라마입니다. KBS 회사 가시 싫어는 김동완, 한수연, 소주연..."
13,회사 가기 싫어 드라마,2019.03.27. ,회사가기싫어 한다스 체육대회,고마워요 신화,kbs 드라마 회사가기싫어 6프로 넘어서 다시 한번 광화문에서 만나요! 오늘 잠깐이라도 오빠 본다고 왔다갔다 쌩난리 또 한번 깨닫는다. 내가 신화를 얼마나...
14,회사 가기 싫어 드라마,2019.04.06. ,4월 9일 화요일 오후 11시 10분 첫방송 KBS2TV 『 회사 가기 싫어 』,수의 콘텐츠 제작소,작년에 파일럿 드라마 였던 '회사 가기 싫어'가 정규 편성으로 다시 돌아왔습니다!! 회사에서 일어나는 현실적인 이야기를 담은 드라마라 정말 많이 공감이 되면서도...
15,회사 가기 싫어 드라마,2019.04.02. ,"배우 이황, KBS 2019'회사가기 싫어' 로 다시 돌아오다",경인문화신문,[경인문화신문=강은희 기자] KBS2TV 에서 신선한 기획으로 화제를 불러 일으킨 파일럿 모큐멘터리 '회사가기 싫어' 가 새롭게 12부작 초밀착리얼 오피스 드라마로 더...
16,회사 가기 싫어 드라마,2019.04.05. ,kbs 회사가기싫어 포스터,"혼자, 그리고 둘, 그...","뿐만 아니라 다가오는 9일 드라마까지 방영될 예정이었고, 그렇게 나는 kbs 회사가기싫어 하는 드라마를 알게되었다. kbs 회사가기싫어는 신화의 멤버이기도 한 김동완과..."
17,회사 가기 싫어 드라마,2019.03.09. ,"[김동완] '회사 가기 싫어' 김동완X한수연X소주연, 빈틈없는 '한다스' 라인업!",Clueless,[스포츠조선닷컴 이지현 기자] 제목부터 심상치 않은 초밀착 리얼 오피스 드라마 '회사 가기 싫어'에서 '한다스' 군단의 열정 에너지가 폭발한 첫 대본 연습 현장을...
18,회사 가기 싫어 드라마,2019.04.08. ,[V앱][움짤]20190408 김동완 브이앱 / KBS드라마 브이앱 - 김동완x한수연x소주연x김관수 <회사 가기 싫어> 첫 방송 기념 라이브!,나 항상 그대를,부디 건강하세요.ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 친절한 한수연 배우님 :-) 회사가기싫어!!!! 제발회 때 이 포즈가 인상 깊었던 한 배우님 ㅋㅋ 지목 토크 회사생활 제일 잘 할...
19,회사 가기 싫어 드라마,2019.04.07. ,"'슈퍼맨이 돌아왔다' 설수대(설아,수아,시안), 배우로 변신 '회사가기 싫어' 카메오 촬영 완료",경기장 쭉쟁이,"7일 방송된 KBS 2TV '슈퍼맨이 돌아왔다'에서는 설아,수아,시안이가 드라마 '회사가기 싫어' 카메오 도전에 나섰다. 이동국이 드라마 캐스팅이 된 설수대를 위해 연기..."
20,회사 가기 싫어 드라마,2019.03.23. ,[동완] 회사 가기 싫어 시즌2 티져,너에게 주는 WELCOM...,다행이 가기 싫은 회사를 다니고 있진 않습니다만 직딩이라면 모두 격공 할 드라마. 회사 가기 싫어 시즌2 4월 9일 첫 방송
21,회사 가기 싫어 드라마,2019.04.08. ,"'회사 가기 싫어' 김동완 ""신화로 흥망성쇠, 조직 생활 간접 경험""",Bibbidi Bobbidi Bo...,'회사 가기 싫어'는 평범한 직장인들을 위한 초밀착 리얼 오피스 드라마다. 초고속으로 승진한 김동완(강백호)의 등장으로 벌어지는 한다스 직원들의...
22,회사 가기 싫어 드라마,2019.04.08. ,kbs 회사가기싫어 직장인이라면 공감할듯 싶어요!!,아름다운 프레쉬성형...,직장을 다니는 사람 이라면 누구나 공감을 할만한 드라마가 화요일마다 찾아보는데요 그 드라마는 바로 kbs 회사가기싫어 에요! 이 드라마는 내용이 회사 가기 싫은...
