,drama_title,date,blog_title,writer,contents
0,구해줘 2 드라마,2019.04.30.,한선화 구해줘2 마담역할(사주 운과 드라마의 연관관계),코코넛 블로그 (사주...,"OCN 새 수목드라마 구해줘2 제작발표회가 진행됐다. 행사에는 엄태구, 천호진, 이솜, 김영민, 조재윤, 한선화, 이권 PD가 참석했다. 한선화는 자신의 역할이 너무 좋고...."
1,구해줘 2 드라마,2019.05.05.,[OCN 드라마] 5월 신작 드라마④ '구해줘 2' 인물관계도 / 줄거리,슈슈 블로그,OCN 수목드라마 구해줘 2 본격 사이비 스릴러 안녕하세요~ 이번에 소개해드릴 5월 신작 드라마는 시즌 1에서 엄청난 충격을 선사한 작품인 #구해줘 시즌 2입니다. 시즌...
3,구해줘 2 드라마,2019.04.30.,OCN_수목드라마_구해줘2_티저&OST 모음...,다영아빠의 일상이야...,OCN 수목드라마 '구해줘2' '네 믿음대로 될.지.어.다!' 많은 사람들이 비웃는다... 왜 '사이비' 같은 것에 빠지지? 난 절대 빠지지 않아... 내가 믿는 것은 절대 '사이비'가...
5,구해줘 2 드라마,2019.04.30.,2019 5월 신규 드라마 어비스 구해줘2 보이스3등 무려 10개씩이나!,황금돼지의 드라마통...,**클릭- 구해줘2 내용 확인하러가기** https://blog.naver.com/yijieeun1104/221515946278 OCN 수목드라마 빙의 후속 구해줘2 웹툰 등장인물관계도+인물소개 엄태구 천호진...
6,구해줘 2 드라마,2019.05.07.,구해줘2 인물관계도 엄청난비밀분석,메롱메롱,이번 구해줘2또한 전작처럼 결국 마지막에 시원한 사이다 한방을 선사해줄 드라마임은 분명한듯 합니다. ~! -출처OCN- 이상 구해줘2 인물관계도 엄청난비밀분석 포스팅 끝 ~^^
7,구해줘 2 드라마,2019.05.07.,종영드라마추천/구해줘/신작드라마/OCN드라마/구해줘2/엄태구/ 천호진/이솜/김영민/옥택연/서예지/조성하/우도환,하데스의 인생공부,이번시간 소개해드릴 드라마는 종교적인 내용을 담고 있는 '구해줘'입니다. 5월... 구해줘 2 2019.05.08 첫 방영! 소개 궁지에 몰린 마을을 구원한 헛된 믿음. 그 믿음에...
8,구해줘 2 드라마,2019.04.30.,"OCN드라마 구해줘2 엄태구, 이솜, 천호진, 임하룡, 조재윤, 한선화 등 인물관계도 및 줄거리!",소확행: 소소하지만...,바로 드라마 구해줘에 관련한 내용인데요!? (오늘 제작발표회를 했더라구요) 저는... 사람으로서 구해줘 2 편이 5월 8일 에 방영예정 이라는 걸 보고 너무너무...
9,구해줘 2 드라마,2019.04.23.,OCN드라마 구해줘2 등장인물관계도 와 줄거리,"헬로우드림 ""개묘"" ...","안녕하세요:)오늘은 "" OCN 새 드라마 구해줘 2 등장인물관계도 알아보고 줄거리,캐릭터소개"" 까지 새로운 소식들고 왔어요 ^^ 바로 믿고보는 오씨엔의 새드,라마 구:해:줘:2..."
10,구해줘 2 드라마,2019.05.07.,구해줘2 등장인물 인물관계도 엄태구 천호진 이솜,별하's 감성드라마&...,"내일도 새로운 드라마가 시작합니다. 바로 엄태구, 천호진, 이솜 주연의 #구해줘2... ""당신이 믿는 것은 진짜입니까?"" 본격 사이비 스릴러 <구해줘 2>는 불안과 두려움을..."
11,구해줘 2 드라마,2019.04.30.,OCN드라마 구해줘2 (내용줄거리/방송일/등장인물/인물관계도),기특한블로그,OCN드라마 구해줘2 2017년도에 구해줘1도 재미있게 봤었는데 구해줘2가 방송된다고해요! 손더게스트도 2만들어줬음좋겠네요 ㅋㅋ 구해줘2 나오는분들 싹다...
13,구해줘 2 드라마,2019.04.23.,<연예인서포트> OCN 드라마 구해줘2 이권 감독님 커피차 서포트 메가박스 커피트럭 촬영장 커피차선물,황금발 푸드트럭,에서 #OCN드라마 #구해줘2 의 #이권감독님 께 #커피차선물 을 하신다는 의뢰를 받고 #황금발푸드트럭 출동! 생에 단 한번이라도 갈 일이 없으리라 생각했던 교도소......
16,구해줘 2 드라마,2019.05.07.,구해줘2 인물관계도 몇부작 줄거리 알아보기,이마즈의 매거진,"구해줘 2 인물관계도 & 등장인물 짜자잔 일단 이 드라마 구해줘2 인물관계도 부터 알아보면 위와 같이 구성이 되어있답니다 . 반가운 얼굴들이 많이 있고 , 눈길이 가는..."
19,구해줘 2 드라마,2019.05.06.,"구해줘 2, 한선화의 세인트스코트 토트백",아텔유어의 따뜻한 ...,청춘 드라마 구해줘 그리고 이번달 5/8일부터 OCN에서 방영 예정인 구해줘 2에 평소 좋아하던 시크릿 출신 배우 한선화 님이 고 마담 역으로 나온다는 소식을 듣고...
20,구해줘 2 드라마,2019.04.28.,5월 8일 첫 방송되는 OCN '구해줘 2' 누구도 예측하지 못한 배우 천호진의 변신!,"내 백성아, 거기서 ...",kr 독보적 카리스마로 작품마다 강렬한 인상을 남긴 배우 엄태구가 OCN 오리지널 ‘구해줘 2’를 통해 첫 드라마 주연에 나선다. 오는 5월 8일 첫 방송되는 OCN 새 수목...
21,구해줘 2 드라마,2019.04.30.,5월 8일 수요일 밤 11시 첫방송 OCN 『 구해줘2 』,수의 콘텐츠 제작소,"이번에 OCN에서 시즌으로 시작되는 드라마가 많은데요 많은 말 말고... 인물관계도 구해줘 2 : 네이버TV 궁지에 몰린 마을을 구원한 헛된 믿음, 그 믿음에 대적하는..."
22,구해줘 2 드라마,2019.05.05.,[OCN 수목 드라마] 본격 사이비 스릴러 <구해줘2> 드라마소개/인물관계도,쵸이츄의 생각하는 ...,"자, 그럼 #엄태구 #천호진 #이솜 #김영민 주연의 #OCN수목드라마 #구해줘2 드라마 소개 및 인물관계도 소개를 시작하겠습니다. ocn 구해줘2 공식 홈페이지 OCN 본격 사이비..."
24,구해줘 2 드라마,2019.05.06.,구해줘2 인물관계도 등장인물 엄태구 이솜,오이소기프트,"구해줘2 인물관계도 등장인물 엄태구 이솜 드라마 빙의 후속으로 OCN 수목드라마가... "" 본격 사이버 스릴러 <구해줘 2>는 두려움을 가진 보통 사람들이 사이비에 어떻게..."
25,구해줘 2 드라마,2019.05.03.,구해줘2 인물관계도 등장인물 엄태구 천호진 이솜,체리별,"구해줘2는 궁지에 몰린 마을을 구원한 헛된 믿음, 그 믿음에 대적하는 미친 꼴통의 나 홀로 구원기를 그린 드라마입니다. 구해줘2 프로그램 정보 ""네 믿음대로 될지어다!..."
26,구해줘 2 드라마,2019.04.23.,[한드] 구해줘2 (5월 8일 방송예정),"책 그리고 영화, 내...","저는 '사이비'를 보질 안하서...일단 드라마로 먼저 만나봐야겠네요 캐릭퍼... 그럼 열심히 본방사수하도록 하지요 ㅋㅋㅋㅋ 구해줘 2 연출 이권 출연 엄태구, 천호진..."
27,구해줘 2 드라마,2019.05.03.,시즌제로 돌아온 구해줘2 인물관계도 및 인물소개,수정이블로그,^^ 오늘은 시즌제로 돌아온 드라마 구해줘2에 대해 이야기 해보았습니다 잇님들 이제는 불금이 아니고 불목이라고 많이들 한다는데요 오늘은 금요일이니 불금 하시고...
28,구해줘 2 드라마,2019.04.26.,구해줘2 김민철 엄태구 나이 키 대박이야,부산에어컨설치 :: ...,대박이야 구해줘 시즌1에 이어 2가 방영을 앞두고 있습니다. 사이비를 소재로 하여 많은 사람들에게 관심을 받고 인기를 끌었는데요. 사이비를 소재로한 드라마가...
29,구해줘 2 드라마,2019.05.05.,[OCN 사이비 스릴러 드라마] 구해줘2 / 첫방송 보기 전 꼭 알아야 할 사전 정보!,마음 속 못다한 얘기...,"저도 뒤늦게 아주 재미있게 본 OCN 드라마 '구해줘'의 차기작 '구해줘2'가 5월 8일 개봉을 앞두고 있는데요!! 제가 요즘 빠진, 제 이상형인 이솜님이 나오셔서 더더욱..."
