,drama_title,date,blog_title,writer,contents
0,달리는 조사관 드라마,2019.09.16.,"합법적으로 어려움 풀어주는, ocn 새 수목드라마 '달리는 조사관'",아이의 눈으로 그린...,^^ 인물 소개에 많은 것을 풀어 놓는 드라마가 있고(영상 예고에 등장하지 않았던 주요 스포들도) 간단 명료한 드라마가 있는데 달리는 조사관은 후자네요....
1,달리는 조사관 드라마,2019.09.08.,OCN_수목드라마_달리는 조사관_티저&OST 모음...,다영아빠의 일상이야...,OCN 수목드라마 '달리는 조사관' OCN 수목드라마 '미스터 기간제' 후속 '달리는 조사관' OCN 수목드라마 '달리는 조사관' 장르명가 OCN의 한계없는 진화 사람 공감...
4,달리는 조사관 드라마,2019.09.10.,<달리는 조사관> 드라마 방영 기념! 100인의 조사관 모집,검은숲 블로그,"송시우 작가의 <달리는 조사관>이 9월 18일 OCN에서 드라마로 제작, 방영됩니다^^/ 드라마 방영 전 소설 <달리는 조사관>을 먼저 읽고 <달리는 조사관>과 함께..."
5,달리는 조사관 드라마,2019.09.16.,[ 서평 ] 달리는 조사관,Life without a pla...,달리는 조사관 저자 송시우 출판 시공사 발매 2015.10.22. 형사도 탐정도 아닌... 보게되어 신선했다. TV에서도 곧 방영될 동명의 제목을 가진 드라마가 기대되는 밤이다. .
6,달리는 조사관 드라마,2019.09.07.,억울한 사람들을 위해 달리는 조사관들의 이야기! 드라마 '달리는 조사관' 9월 18일 첫방송,즐거운 하루의 흔적,드라마 '달리는 조사관' 9월 18일 첫방송 안녕하세요. 숑이예요 :) 오늘은 억울한 사람들을 위해 달리는 조사관들의 이야기를 담은 드라마 '달리는 '조사관을 가지고...
8,달리는 조사관 드라마,2019.09.05.,방영예정 드라마 달리는 조사관,항상 긍정적인 마음...,그래서 이번 방영예정인 드라마인 달리는 조사관을 포스팅해볼까 합니다. 달리는 조사관 이 달리는 조사관은 소설의 원작을 기반으로하는 드라마를 제작하여 방영을...
9,달리는 조사관 드라마,2019.09.17.,달리는 조사관 : 등장인물관계도 및 ost,질주본능 :),"(OST 및 티저영상은 블로그 맨 아래에 있으니 참고하세요) 드라마 달리는 조사관 2019년 9월 18일 ~ 2019년 11월 7일 (16부작) 수요일, 목요일 오후 11시 채널 OCN 원작 송시우의..."
11,달리는 조사관 드라마,2019.09.17.,OCN 수목드라마 달리는조사관 등장인물 이요원 최귀화,달달한긍정 추억을 ...,평범한 인권증진위원회 조사관들이 그 누구도 도와주지 못했던 억울한 사연을 가진 사람들을 위해 싸워나가는 사람 공감 통쾌극 드라마 달리는조사관 OCN 드라마로...
13,달리는 조사관 드라마,2019.09.11.,[이벤트] <달리는 조사관> OCN 드라마 방영 기념 이벤트,시공사,"“판단하지 않는다, 단죄하지 않는다, 그저 보고서를 작성할 뿐” 형사도 탐정도 아닌 ‘인권위 조사관들’의 성실한 활약 OCN 드라마 <달리는 조사관> 원작..."
14,달리는 조사관 드라마,2019.09.10.,달리는조사관 ocn 새 수목드라마 9월18일 첫방송,5월부동산 상헬,OCN 새 수목 오리지널 드라마 달리는 조사관 정말 기대되네요 #달리는조사관 #ocn새수목드라마 #달리는조사관이요원 #달리는조사관최귀화 #달리는조사관원작 #달려라조사관
