,drama_title,date,blog_title,writer,contents
0,킬잇 드라마,2019.03.22.,드라마 킬잇 등장인물관계도 : 장기용 나나,별하's 감성드라마&...,"이번 주 주말엔 새로 시작하는 드라마가 많네요. 우선 그중 첫 번째로 소개해드릴 드라마는 장기용, 나나 님 주연의 #ocn드라마 #킬잇 입니다. 솔직히 큰 관심 없다가..."
1,킬잇 드라마,2019.03.22.,"드라마 킬잇 인물관계도 & 줄거리 (장기용,나나) OCN 새 오리지널 드라마!",히뎀언니의 오늘,"드라마 킬잇 인물관계도 & 줄거리 (장기용,나나) OCN 새 오리지널 드라마! 국내 최초 킬러와 형사 이야기! 내일 시작하는 OCN 오리지널 드라마 킬잇 소개입니다. 전작부터..."
2,킬잇 드라마,2019.03.17.,드라마 킬잇 등장인물관계도 장기용 나나 주연,너는 잘 할수 있는 ...,드라마 킬잇 등장인물관계도 장기용 나나 주연. 안녕하십니까~ 저는 꽤 오랜만에... 예정인 드라마입니다. 바로 '드라마 킬잇 등장인물관계도 장기용 나나 주연' 이걸...
3,킬잇 드라마,2019.03.22.,OCN 드라마 킬잇 뜻 내용 등장인물관계도+ 인물소개 장기용 나나,황금돼지의 드라마통...,안녕하세요^^ 드라마통 황금돼지랍니다 #트랩후속 프로그램인 #킬잇! #내용부터... #뜻이 그렇다고 하지만 드라마속에서도 같을까요? 물론 킬러가 있지만요.. 로맨스가...
4,킬잇 드라마,2019.03.22.,"NO.38 낙성대 속눈썹, 서울대입구 속눈썹 - 드라마 킬잇으로 돌아올 나나의 스타일 알아보기",The 뷰티샵,안녕하세요 더뷰티샵입니다~ 내일이면 OCN의 새로운 드라마 킬잇이 첫 방송을 하는데요 ㅋㅋ 저는 OCN덕후라서 나오는 드라마를 다 챙겨 보는 편입니다 ㅋㅋㅋㅋ 특히...
5,킬잇 드라마,2019.03.15.,킬잇 OCN 액션 주말 드라마 Kill it 장기용x나나,세상사는 이야기,다음 주 토요일 첫 방송 예정인 OCN 드라마 킬잇 KILL IT이 기대가 되네요 ㅎㅎ 동물을 살리는 수의사 킬러와 사람을 살리는 형사의 킬러 액션 드라마에요. 장기용은...
7,킬잇 드라마,2019.03.11.,"드라마 킬잇, 등장인물 인물관계도 장기용 나나",오이소기프트,"드라마 킬잇, 등장인물 인물관계도 장기용 나나~ 3월 23일 토요일 첫 방송을 시작하는 드라마가 있습니다. 바로 드라마 킬잇입니다. 드라마 킬잇은 트랩의 후속으로..."
8,킬잇 드라마,2019.03.18.,킬잇 주말드라마 소개,워킹맘의 행복한 일...,드라마 사자 하차 후 선택한 킬 잇에서 나나 씨는 경찰대 수석 졸업 후 광수대... 총 12부작인 킬잇 드라마에서 장기용 씨와 나나 씨의 이 두 사람은 첫 호흡은 물론 기존...
9,킬잇 드라마,2019.03.17.,"킬러, 형사의 타겟이 되다:: OCN 새로운 드라마 킬잇",Daily Record,새로운 드라마가 정말 많이 나오고 있기 때문입니다 막학기 제일 힘든 듯한 개강을 견디게 해주는 단비와 같은 드라마... 오늘 제가 소개할 드라마는 바로 킬잇 입니다....
11,킬잇 드라마,2019.03.21.,[드라마 킬잇] 장기용 티저/진심이 닿다 까메오 출연 장기용 태후 패러디 움짤.gif,여우별의 움/짤/공/...,"새로 시작하는 드라마 킬잇의 주연을 맡은 장기용의 메이킹 티저 움짤과, 드라마 ""진심이 닿다""에 까메오로 출연해 태양의 후예의 공항씬을 패러디한 장기용..."
12,킬잇 드라마,2019.03.15.,OCN_토일드라마_킬잇_티저&OST 모음...,다영아빠의 일상이야...,"OCN 토일드라마 '킬잇' 생명은 모두 소중하지, 타겟이 아니라면 모든 생명은... OCN 토일드라마 '킬잇' 킬러, 형사의 타겟이 되다! 동물 살리는 킬러 VS 사람 살리는 형사..."
13,킬잇 드라마,2019.03.22.,드라마 킬잇: 등장인물관계도 줄거리와 1회 미리보기,까망집수니's 자발적...,"킬러액션 드라마 ※출연진: 장기용, 나나, 노정의, 이재원, 정해균 ※출 처: OCN홈페이지, 네이버TV 안녕하세요~! 오늘은 이서진 주연의 '트랩' 후속 OCN 새 주말드라마..."
14,킬잇 드라마,2019.03.21.,킬잇 vs 빙의 vs 열혈사제! 형사 캐릭터 비교 포인트,스카이라이프 블로그라이프,"우리가 영화나 드라마를 보며 흥미를 느끼는 요소 중 하나는 대리만족입니다.... 형사라는 직업은 실생활에서는 접하기 힘들지만, 영화나 드라마에서는 빠질 수 없는..."
16,킬잇 드라마,2019.03.10.,킬잇 등장인물 인물관계도 장기용 나나,체리별,킬잇 등장인물 인물관계도 장기용 나나~ 짧지만 강렬했던 OCN트랩이 끝이 나고 후속으로 방영될 드라마를 소개하려고 합니다. 드라마는 킬잇입니다. 킬잇은 매주 토요일...
