,drama_title,date,blog_title,writer,contents
0,타인은 지옥이다 드라마,2019.08.29.,"[신작 토일드라마] 웹툰 원작, OCN 타인은 지옥이다 간단 줄거리 및 인물소개 : 이곳이 지옥이였다는 사실을",차카니의 잡다한 일...,(물론 웹툰을 정주행 하면 좋지뫈 ㅎㅅㅎ) OCN 새 토일드라마 타인은 지옥이다 간단 줄거리 및 인물소개 리뷰 시작합니다~ 신작 토일드라마 OCN 타인은 지옥이다 간단...
1,타인은 지옥이다 드라마,2019.08.28.,"OCN 드라마 [타인은 지옥이다] 드라마 정보, 캐스팅 원작 비교, 인물관계도, 미리보기",람군의 인 마이 포켓,"~ (토,일) 오후 10:30 | 회차정보 : 10부작 | 등급정보 : 15세이상관람가 제작사 : 영화사 우상, 스튜디오 N | 연출 : 이창희 | 극본 : 정이도 OCN 드라마 [타인은 지옥이다]는..."
2,타인은 지옥이다 드라마,2019.08.30.,타인은 지옥이다 드라마 인물관계도 등장인물 : 임시완 이동욱,별하's 감성드라마&...,타인은지옥이다 인물관계도 드라마타인은지옥이다 등장인물 303호 윤종우 cast 임시완 이곳은 지옥이었다... 타인이 만들어낸 끔찍한 지옥 작가 지망생으로 오랜 시간...
3,타인은 지옥이다 드라마,2019.08.18.,OCN 드라마 <타인은 지옥이다> 인물 설정을 살펴보니...,쓸만한 잡동사니 작...,이제 방영 예정인 드라마 <타인은 지옥이다> 홈페이지에 들어가보니 원작과 설정이 좀 다른 부분이 약간 있는 것 같다. 원작에는 안 보이던 치과의사나 경찰...
5,타인은 지옥이다 드라마,2019.08.20.,[건강이야기] 드라마 '타인은 지옥이다'속 정신병,건강이야기,오늘은 OCN에서 제작한 웹툰원작 드라마 '타인은 지옥이다'를 통해 알아보는 건강이야기입니다. *살짝 스포 주의하세요 타인은 지옥이다를 통해 알아보는 정신건강 8월...
6,타인은 지옥이다 드라마,2019.08.29.,곧 드라마로 나온다 <타인은 지옥이다> 토크쇼 후기(2)~!! 작가/드라마 편,"#리부랜드, 리부의 ...","내용이라 드라마로는 어려울 수도 있겠네요 네 그쵸 뭐,, 작가님이 생각하는 킬링파트..오싹..! 2. 작가님에 대한 질문들!! Q. 팔에 타투가 많으신데, <타인은 지옥이다..."
11,타인은 지옥이다 드라마,2019.08.19.,"타인은 지옥이다 드라마&웹툰 줄거리(by.임시완,이동욱)",치아에 관한 궁금증을 해결...,오늘은 제가 즐겨보던 웹툰 중 하나였던 타인은 지옥이다가 드라마로 나온다고 하여 줄거리를 알려드리려고 합니다. 타인은 지옥이다 드라마 줄거리 by.임시완...
12,타인은 지옥이다 드라마,2019.08.27.,"[본방사수 예약] 타인은 지옥이다 / OCN드라마 / 임시완, 이동욱, 이정은, 이현욱, 박종환",여롱하루,"되고, [드라마원작] 타인은 지옥이다 모든 게 낯선 고시원 생활. 그곳에 수상한... 엄청나쟈나여 타인은 지옥이다 드라마 / 15세이상 관람가 / OCN / 10부작 / 토,일 오후 10..."
13,타인은 지옥이다 드라마,2019.08.27.,[토일드라마] OCN 타인은지옥이다 등장인물 및 인물관계도 :: 몇부작 줄거리 원작웹툰,FeatherAs,원작 웹툰 드라마 타인은 지옥이다의 원작은 김용키 작가의 웹툰 입니다. 2017년 10월 26일에 도전만화로 시작하여 2018년 3월 10일부터 매주 목요일과 일요일에 연재를...
14,타인은 지옥이다 드라마,2019.08.29.,타인은 지옥이다 드라마 8월 31일 시작!,탑s,그런 타인은 지옥이다가 드라마화 된다는 이야기가 계속 있었는데.. 드디어 8월 31일 첫방한데요! 8월 31일 밤 10시 30분 OCN에서 ~~~ ㅋㅋㅋㅋㅋ 저는 사실 임시완은...
16,타인은 지옥이다 드라마,2019.08.26.,'오매불망: 타인은 지옥이다' 편 영상,Yellsvan,OCN 드라마틱 시네마 프로젝트 '타인은 지옥이다' Hell is other people EP.0 트랩에 이은 두번째 드라마틱 시네마 '타인은 지옥이다' 트랩도 영상이 주는 분위기나 느낌이...
19,타인은 지옥이다 드라마,2019.08.29.,곧 드라마로 나온다 <타인은 지옥이다> 토크쇼 후기(1)~!! 만화편,"#리부랜드, 리부의 ...","[드라마원작] 타인은 지옥이다 모든 게 낯선 고시원 생활. 그곳에 수상한 자들이 있다.화제의 드라마원작 재연재! 놓치지 마세요! comic.naver.com 총총,,"
23,타인은 지옥이다 드라마,2019.08.22.,OCN_토일드라마_타인은 지옥이다_티저&OST 모음...,다영아빠의 일상이야...,OCN 토일드라마 '타인은 지옥이다' OCN 토일드라마 'WATCHER(왓쳐)' 후속 '타인은 지옥이다' OCN 토일드라마 '타인은 지옥이다' 이런 게 지옥인 거군. 정말 이럴 줄은...
24,타인은 지옥이다 드라마,2019.08.28.,타인은 지옥이다 서문조 이동욱 원작에 없는 치과의사 결말은!!,오늘의 추천아이템,설마설마했던 타인은 지옥이다 드라마 OCN에서 드디어 시작합니다. 이번 타인은 지옥이다는 특히 드라마를 본다기 보다 제작기법이나 참여스탭 감독도 모두 영화만 주로...
25,타인은 지옥이다 드라마,2019.08.20.,임시완 군 제대 복귀작 웹툰 원작 OCN 드라마 ‘타인은 지옥이다’ 8월31일 첫방,압구정삐에로연예정...,"8월 31일 OCN에서 새롭게 시작하는 드라마 <타인은 지옥이다>는 동명 의 인기 네이버 웹툰이 원작인데요. 완결일 기준 누적 조회 수 8억 뷰, 일요 웹툰 39주 연속 1위라는..."
28,타인은 지옥이다 드라마,2019.08.27.,OCN 드라마 ' 타인은 지옥이다 ' 소개,대구상가킹,"OCN 드라마 타인은 지옥이다 인물관계도 입니다. 윤종우 ( 임시완 ) 을 중심으로 에덴 고시원 사람들 과 종우의 회사 사람들과는 불편한 관계이며, 치과 의사 서문조..."
30,타인은 지옥이다 드라마,2019.08.30.,타인은 지옥이다 인물관계도 완벽정리! 웹툰 등장인물과 전격 비교!반달돌칼 너는 이동욱이었던거니...?,선영의 좋은예감,"31~ OCN 첫 방영 토요일, 일요일 밤 10시 30분 총 10부작 임시완, 이동욱 등 - 타인은 지옥이다 어떤 드라마일까? 모두가 타인인 지옥같은 고시원 미스테리 '타인은 지옥이다..."
33,타인은 지옥이다 드라마,2019.08.29.,타인은 지옥이다 웹툰 드라마 방영,나야나 님의 블로그,그곳에 수상한 자들이 있다.화제의 드라마원작 재연재! 놓치지 마세요! comic.naver.com #타인은지옥이다 #타인은지옥이다드라마 #임시완 #타인은지옥이다캐스팅
34,타인은 지옥이다 드라마,2019.08.19.,타인은 지옥이다 드라마 캐스팅 : 이동욱 임시완 이정은,♡여자라서 행복해요...,"드라마 타인은 지옥이다 첫 방송｜ocn 8.31(토) 밤 10시 30분 연출 이창희 극본 정이도 출연 임시완, 이동욱, 이정은, 이현욱, 박종환 外 줄거리 상경한 청년이 서울의 낯선..."
35,타인은 지옥이다 드라마,2019.08.29.,타인은 지옥이다 드라마 캐스팅까지 완벽!,나 지금 너무 외롭단...,완결된 드라마도 따로 모아 볼수있어서 정말 좋더라고요! 타인은 지옥이다 드라마... 드라마 타인은 지옥이다를 보기위해 가입한 곳에서 감상한 신해 신코토...
36,타인은 지옥이다 드라마,2019.08.19.,<타인은 지옥이다> 드라마 방영 앞두고 특별편 외전 공개!!! - <연쇄살묘사건>,아벤트 :: ab enter...,안녕하세요 abENT Editor Nina 입니다 :) 네이버 인기웹툰 원작 드라마 <타인은 지옥이다>가 오는 31일 밤 10시 30분 드라마 첫방영을 앞두고 재연재 스타트 + 새로운...
38,타인은 지옥이다 드라마,2019.08.29.,<타인은 지옥이다> 드라마 첫방송,CREW N SKY,<타인은 지옥이다> 첫방송이 이틀 남았다는 사실! 웹툰 원작이자 임시완 배우의 제대 후 첫 복귀 드라마인데요 기대치가 머리 끝까지 올랐다구요 근데......... 이틀을...
39,타인은 지옥이다 드라마,2019.08.24.,[TV] OCN 주말드라마 - 타인은 지옥이다! 8월 31일 첫방송,러브수아,ocn.tving.com 임시완과 이동욱의 캐미가 기대한다! 그동안 즐겨봤던 왓쳐이후 방송되는 타인은 지옥이다! #타인은지옥이다 #임시완 #이동욱
40,타인은 지옥이다 드라마,2019.08.26.,ocn 타인은 지옥이다 드라마 캐스팅 웹툰 줄거리 알고보자,토루의 여기 It's Y...,웹툰 '타인은 지옥이다' 가 ocn에서 드라마로 제작되어 방영된다는 소식을 접하게... 드라마화여 기대를 충족시켜 주길 바라는 마음이네요. 타인은 지옥이다 드라마...
41,타인은 지옥이다 드라마,2019.08.26.,왓쳐 최종회 케이블 드라마 시청률 순위 ↑왓쳐 후속 '타인은 지옥이다'기대만땅,"""영은이맘의 블링블...",여러분도 의심하셨나요?ㅎㅎㅎㅎ드라마 왓쳐 최종회를 앞두고 10시 20분이 아닌 35분에 방송후속드라마 < 타인은 지옥이다 > 무지 홍보하네요~~ #케이블드라마시청률순위...
42,타인은 지옥이다 드라마,2019.08.23.,"타인은 지옥이다 드라마 줄거리&등장인물관계도 (임시완,이동욱 출연)",Information Sharin...,"웹툰으로 인기르 얻었던 '타인은 지옥이다' 가 드라마로 재탄생 했다. 타인은 지옥이다 줄거리&등장인물관계도 타인은 지옥이다 드라마 방송시간 : 토요일,일요일 오후..."
43,타인은 지옥이다 드라마,2019.08.24.,임시완 '타인은 지옥이다' 촬영 현장 첫공개!,Yellsvan,그러게 시왕아 아니 시완아 이번 드라마도 박터질..필인데?! 이동욱ㅋㅋㅋ... 공식 홈페이지 타인은지옥이다 상경한 청년이 서울의 낯선 고시원 생활 속에서...
44,타인은 지옥이다 드라마,2019.08.29.,드라마 타인은 지옥이다 캐스팅 & 인물관계도 Check!,"호반주택 고양시,파...",덜덜 드라마 타인은 지옥이다 캐스팅은 임시완 이동욱 이현욱 이정은 박종환... 없겠죠 타인은 지옥이다 드라마 제 취향을 저격할 것 같아서 첫방송부터 본방사수하려고...
