,title,before,after
0,17세의 조건,37,37
1,검법남녀 시즌2,470,459
2,국민 여러분!,530,503
3,너의 노래를 들려줘,120,109
4,녹두꽃,400,342
5,농부사관학교,12,12
6,닥터 프리즈너,270,257
7,닥터탐정,120,109
8,"단, 하나의 사랑",1390,998
9,더 뱅커,60,60
10,동네변호사 조들호 2  죄와 벌,160,149
11,동백꽃 필 무렵,3940,1000
12,모두 다 쿵따리,27,27
13,배가본드,520,479
14,봄밤,540,509
15,봄이 오나 봄,300,285
16,빅이슈,170,156
17,생일편지,187,187
18,세상에서 제일 예쁜 내 딸,1430,1000
19,수상한 장모,90,80
20,슬플 때 사랑한다,130,130
21,시크릿 부티크,130,108
22,신입사관 구해령,180,169
23,아이템,1530,1000
24,어쩌다 발견한 하루,640,594
25,여름아 부탁해,440,419
26,열혈사제,950,907
27,왜그래 풍상씨,804,804
28,왼손잡이 아내,101,101
29,용왕님 보우하사,60,49
30,웰컴2라이프,123,123
31,의사요한,390,374
32,이몽,140,128
33,저스티스,164,164
34,절대그이,160,147
35,조선로코 - 녹두전,280,215
36,초면에 사랑합니다,161,159
37,태양의 계절,160,144
38,특별근로감독관 조장풍,260,226
39,퍼퓸,300,286
40,해치,152,151
41,황금정원,121,121
42,회사 가기 싫어,111,111
43,힙합왕 - 나스나길,6,6
