,title,before,after
0,17세의 조건,59,59
1,검법남녀 시즌2,525,525
2,국민 여러분!,419,419
3,너의 노래를 들려줘,130,130
4,녹두꽃,177,177
5,농부사관학교,26,26
6,닥터 프리즈너,143,143
7,닥터탐정,126,126
8,"단, 하나의 사랑",114,114
9,더 뱅커,58,58
10,동네변호사 조들호 2 죄와 벌,173,173
11,동백꽃 필 무렵,206,206
12,모두 다 쿵따리,46,46
13,배가본드,439,439
14,봄밤,297,297
15,봄이 오나 봄,103,103
16,빅이슈,167,167
17,생일편지,388,388
18,세상에서 제일 예쁜 내 딸,1080,1000
19,수상한 장모,76,76
20,슬플 때 사랑한다,159,159
21,시크릿 부티크,115,115
22,신입사관 구해령,287,287
23,아이템,490,490
24,어쩌다 발견한 하루,493,493
25,여름아 부탁해,764,764
26,열혈사제,120,120
27,왜그래 풍상씨,558,558
28,왼손잡이 아내,42,42
29,용왕님 보우하사,59,59
30,웰컴2라이프,182,182
31,의사요한,210,210
32,이몽,151,151
33,저스티스,188,188
34,절대그이,154,154
35,조선로코 - 녹두전,127,127
36,초면에 사랑합니다,60,60
37,태양의 계절,258,258
38,특별근로감독관 조장풍,105,105
39,퍼퓸,188,188
40,해치,140,140
41,황금정원,229,229
42,회사 가기 싫어,181,181
43,힙합왕 - 나스나길,18,18
