,title,broadcaster,start_date,end_date,last_rating
0,17세의 조건,SBS,2019.08.05.,2019.08.06.,3.00%
1,KBS 드라마 스페셜 2019,KBS2,2019.09.27.,2019.11.29.,0%
2,검법남녀 시즌2,MBC,2019.06.03.,2019.07.29.,9.90%
3,국민 여러분!,KBS2,2019.04.01.,2019.05.28.,8.40%
4,너의 노래를 들려줘,KBS2,2019.08.05.,2019.09.24.,4.00%
5,녹두꽃,SBS,2019.04.26.,2019.07.13.,11.50%
6,농부사관학교,SBS,2019.03.30.,2019.04.06.,1.60%
7,닥터 프리즈너,KBS2,2019.03.20.,2019.05.15.,15.80%
8,닥터탐정,SBS,2019.07.17.,2019.09.05.,5.70%
9,"단, 하나의 사랑",KBS2,2019.05.22.,2019.07.11.,9.40%
10,더 뱅커,MBC,2019.03.27.,2019.05.16.,7.00%
11,동네변호사 조들호 2 죄와 벌,KBS2,2019.01.07.,2019.03.26.,9.30%
12,동백꽃 필 무렵,KBS2,2019.09.18.,2019.11.21.,23.80%
13,드라마 스페셜 - 감전의 이해,KBS2,2019.11.22.,2019.11.22.,1.10%
14,드라마 스페셜 - 굿바이 비원,KBS2,2019.11.01.,2019.11.01.,1.00%
15,드라마 스페셜 - 그렇게 살다,KBS2,2019.10.18.,2019.10.18.,2.10%
16,드라마 스페셜 - 때빼고 광내고,KBS2,2019.11.15.,2019.11.15.,1.50%
17,드라마 스페셜 - 렉카,KBS2,2019.10.11.,2019.10.11.,1.00%
18,드라마 스페셜 - 사교-땐스의 이해,KBS2,2019.11.08.,2019.11.08.,1.10%
19,드라마 스페셜 - 스카우팅 리포트,KBS2,2019.10.25.,2019.10.25.,1.40%
20,드라마 스페셜 - 웬 아이가 보았네,KBS2,2019.10.04.,2019.10.04.,1.80%
21,드라마 스페셜 - 집우집주,KBS2,2019.09.27.,2019.09.27.,1.20%
22,드라마 스페셜 - 히든,KBS2,2019.11.29.,2019.11.29.,1.20%
23,모두 다 쿵따리,MBC,2019.07.16.,2019.11.29.,5.10%
24,배가본드,SBS,2019.09.20.,2019.11.23.,13.00%
25,봄밤,MBC,2019.05.22.,2019.07.11.,9.50%
26,봄이 오나 봄,MBC,2019.01.23.,2019.03.21.,4.30%
27,빅이슈,SBS,2019.03.06.,2019.05.02.,4.80%
28,생일편지,KBS2,2019.09.11.,2019.09.12.,2.80%
29,세상에서 제일 예쁜 내 딸,KBS2,2019.03.23.,2019.09.22.,35.90%
30,수상한 장모,SBS,2019.05.20.,2019.11.08.,7.80%
31,슬플 때 사랑한다,MBC,2019.02.23.,2019.04.27.,13.00%
32,시크릿 부티크,SBS,2019.09.18.,2019.11.28.,6.00%
33,신입사관 구해령,MBC,2019.07.17.,2019.09.26.,7.30%
34,아이템,MBC,2019.02.11.,2019.04.02.,4.90%
35,어쩌다 발견한 하루,MBC,2019.10.02.,2019.11.21.,4.10%
36,여름아 부탁해,KBS1,2019.04.29.,2019.10.25.,25.20%
37,열혈사제,SBS,2019.02.15.,2019.04.20.,22.00%
38,오늘도 안녕,KBS2,2019.04.18.,2019.04.18.,0.80%
39,왜그래 풍상씨,KBS2,2019.01.09.,2019.03.14.,22.70%
40,왼손잡이 아내,KBS2,2019.01.02.,2019.05.31.,17.10%
41,용왕님 보우하사,MBC,2019.01.14.,2019.07.12.,9.50%
42,웰컴2라이프,MBC,2019.08.05.,2019.09.24.,6.80%
43,의사요한,SBS,2019.07.19.,2019.09.07.,12.30%
44,이몽,MBC,2019.05.04.,2019.07.13.,7.10%
45,저스티스,KBS2,2019.07.17.,2019.09.05.,7.00%
46,절대그이,SBS,2019.05.15.,2019.07.11.,3.50%
47,조선로코 - 녹두전,KBS2,2019.09.30.,2019.11.25.,8.30%
48,초면에 사랑합니다,SBS,2019.05.06.,2019.06.25.,4.60%
49,태양의 계절,KBS2,2019.06.03.,2019.11.01.,17.30%
50,특별근로감독관 조장풍,MBC,2019.04.08.,2019.05.28.,8.70%
51,퍼퓸,KBS2,2019.06.03.,2019.07.23.,7.20%
52,해치,SBS,2019.02.11.,2019.04.30.,8.40%
53,황금정원,MBC,2019.07.20.,2019.10.26.,10.40%
54,회사 가기 싫어,KBS2,2019.04.09.,2019.07.02.,2.60%
55,힙합왕 - 나스나길,SBS,2019.08.09.,2019.09.13.,1.70%
