,title,episode,rating
0,레버리지 : 사기조작단,제 1회,1.3
1,레버리지 : 사기조작단,제 2회,1.6
2,레버리지 : 사기조작단,제 3회,1.3
3,레버리지 : 사기조작단,제 4회,2.1
4,레버리지 : 사기조작단,제 5회,1.6
5,레버리지 : 사기조작단,제 6회,2.1
6,레버리지 : 사기조작단,제 7회,1.4
7,레버리지 : 사기조작단,제 8회,1.9
8,레버리지 : 사기조작단,제 9회,2.3
9,레버리지 : 사기조작단,제 10회,2.1
10,레버리지 : 사기조작단,제 11회,1.6
11,레버리지 : 사기조작단,제 12회,1.9
12,레버리지 : 사기조작단,제 13회,1.8
13,레버리지 : 사기조작단,제 14회,2.2
14,레버리지 : 사기조작단,제 15회,1.2
15,레버리지 : 사기조작단,제 16회,1.9
16,리갈하이,제 1회,3.3
17,리갈하이,제 2회,3.0
18,리갈하이,제 3회,2.8
19,리갈하이,제 4회,2.5
20,리갈하이,제 5회,2.8
21,리갈하이,제 6회,2.7
22,리갈하이,제 7회,2.3
23,리갈하이,제 8회,2.1
24,리갈하이,제 9회,2.2
25,리갈하이,제 10회,2.4
26,리갈하이,제 11회,2.3
27,리갈하이,제 12회,2.5
28,리갈하이,제 13회,2.4
29,리갈하이,제 14회,2.0
30,리갈하이,제 15회,2.2
31,리갈하이,제 16회,2.6
