,title,date,episode,rating
0,검법남녀_2,"2019년 6월 3일
","제1회
",3.7%
1,검법남녀_2,"2019년 6월 3일
","제2회
","5.7%
"
2,검법남녀_2,"2019년 6월 4일
","제3회
","4.1%
"
3,검법남녀_2,"2019년 6월 4일
","제4회
","6.6%
"
4,검법남녀_2,"2019년 6월 10일
","제5회
","4.3%
"
5,검법남녀_2,"2019년 6월 10일
","제6회
","6.0%
"
6,검법남녀_2,"2019년 6월 11일
","제7회
","4.1%
"
7,검법남녀_2,"2019년 6월 11일
","제8회
","6.2%
"
8,검법남녀_2,"2019년 6월 17일
","제9회
","5.9%
"
9,검법남녀_2,"2019년 6월 17일
","제10회
","7.5%
"
10,검법남녀_2,"2019년 6월 18일
","제11회
","6.1%
"
11,검법남녀_2,"2019년 6월 18일
","제12회
","7.7%
"
12,검법남녀_2,"2019년 6월 24일
","제13회
","6.8%
"
13,검법남녀_2,"2019년 6월 24일
","제14회
","8.7%
"
14,검법남녀_2,"2019년 6월 25일
","제15회
","6.1%
"
15,검법남녀_2,"2019년 6월 25일
","제16회
","8.3%
"
16,검법남녀_2,"2019년 7월 1일
","제17회
","5.9%
"
17,검법남녀_2,"2019년 7월 1일
","제18회
","8.5%
"
18,검법남녀_2,"2019년 7월 2일
","제19회
","6.1%
"
19,검법남녀_2,"2019년 7월 2일
","제20회
","8.6%
"
20,검법남녀_2,"2019년 7월 8일
","제21회
","6.1%
"
21,검법남녀_2,"2019년 7월 8일
","제22회
","8.3%
"
22,검법남녀_2,"2019년 7월 9일
","제23회
","7.1%
"
23,검법남녀_2,"2019년 7월 9일
","제24회
","9.0%
"
24,검법남녀_2,"2019년 7월 15일
","제25회
","6.1%
"
25,검법남녀_2,"2019년 7월 15일
","제26회
","8.2%
"
26,검법남녀_2,"2019년 7월 16일
","제27회
","6.7%
"
27,검법남녀_2,"2019년 7월 16일
","제28회
","9.3%
"
28,검법남녀_2,"2019년 7월 23일
","제29회
","7.1%
"
29,검법남녀_2,"2019년 7월 23일
","제30회
","9.5%
"
30,검법남녀_2,"2019년 7월 29일
","제31회
","6.7%
"
31,검법남녀_2,"2019년 7월 29일
","제32회
",9.9%
