,title,date,episode,rating
0,국민 여러분!,"2019년 4월 1일
","제1회
","6.8%
"
1,국민 여러분!,"2019년 4월 1일
","제2회
","7.5%
"
2,국민 여러분!,"2019년 4월 2일
","제3회
","7.0%
"
3,국민 여러분!,"2019년 4월 2일
","제4회
",8.4%
4,국민 여러분!,"2019년 4월 8일
","제5회
","5.4%
"
5,국민 여러분!,"2019년 4월 8일
","제6회
","6.5%
"
6,국민 여러분!,"2019년 4월 9일
","제7회
","6.9%
"
7,국민 여러분!,"2019년 4월 9일
","제8회
","7.9%
"
8,국민 여러분!,"2019년 4월 15일
","제9회
","5.3%
"
9,국민 여러분!,"2019년 4월 15일
","제10회
","6.0%
"
10,국민 여러분!,"2019년 4월 16일
","제11회
","5.4%
"
11,국민 여러분!,"2019년 4월 16일
","제12회
","6.5%
"
12,국민 여러분!,"2019년 4월 22일
","제13회
",4.3%
13,국민 여러분!,"2019년 4월 22일
","제14회
","5.4%
"
14,국민 여러분!,"2019년 4월 23일
","제15회
","5.0%
"
15,국민 여러분!,"2019년 4월 23일
","제16회
","6.9%
"
16,국민 여러분!,"2019년 4월 29일
","제17회
","4.9%
"
17,국민 여러분!,"2019년 4월 29일
","제18회
","6.6%
"
18,국민 여러분!,"2019년 4월 30일
","제19회
","5.8%
"
19,국민 여러분!,"2019년 4월 30일
","제20회
","7.0%
"
20,국민 여러분!,"2019년 5월 6일
","제21회
","4.5%
"
21,국민 여러분!,"2019년 5월 6일
","제22회
","6.2%
"
22,국민 여러분!,"2019년 5월 7일
","제23회
","6.1%
"
23,국민 여러분!,"2019년 5월 7일
","제24회
","7.0%
"
24,국민 여러분!,"2019년 5월 13일
","제25회
","5.1%
"
25,국민 여러분!,"2019년 5월 13일
","제26회
","5.7%
"
26,국민 여러분!,"2019년 5월 14일
","제27회
","5.4%
"
27,국민 여러분!,"2019년 5월 14일
","제28회
","6.4%
"
28,국민 여러분!,"2019년 5월 20일
","제29회
","5.0%
"
29,국민 여러분!,"2019년 5월 20일
","제30회
","6.0%
"
30,국민 여러분!,"2019년 5월 21일
","제31회
","6.5%
"
31,국민 여러분!,"2019년 5월 21일
","제32회
","7.5%
"
32,국민 여러분!,"2019년 5월 27일
","제33회
","4.6%
"
33,국민 여러분!,"2019년 5월 27일
","제34회
","5.9%
"
34,국민 여러분!,"2019년 5월 28일
","제35회
","6.3%
"
35,국민 여러분!,"2019년 5월 28일
","제36회
","8.0%
"
