,title,date,episode,rating
0,닥터 프리즈너,"2019년 3월 20일
","제1회
",8.4%
1,닥터 프리즈너,"2019년 3월 20일
","제2회
","9.8%
"
2,닥터 프리즈너,"2019년 3월 21일
","제3회
","12.2%
"
3,닥터 프리즈너,"2019년 3월 21일
","제4회
","14.1%
"
4,닥터 프리즈너,"2019년 3월 27일
","제5회
","12.1%
"
5,닥터 프리즈너,"2019년 3월 27일
","제6회
","13.9%
"
6,닥터 프리즈너,"2019년 3월 28일
","제7회
","13.0%
"
7,닥터 프리즈너,"2019년 3월 28일
","제8회
","14.5%
"
8,닥터 프리즈너,"2019년 4월 3일
","제9회
","13.2%
"
9,닥터 프리즈너,"2019년 4월 3일
","제10회
","15.4%
"
10,닥터 프리즈너,"2019년 4월 4일
","제11회
","13.3%
"
11,닥터 프리즈너,"2019년 4월 4일
","제12회
","14.6%
"
12,닥터 프리즈너,"2019년 4월 10일
","제13회
","12.7%
"
13,닥터 프리즈너,"2019년 4월 10일
","제14회
","15.2%
"
14,닥터 프리즈너,"2019년 4월 11일
","제15회
","12.5%
"
15,닥터 프리즈너,"2019년 4월 11일
","제16회
","14.7%
"
16,닥터 프리즈너,"2019년 4월 17일
","제17회
","12.4%
"
17,닥터 프리즈너,"2019년 4월 17일
","제18회
","14.5%
"
18,닥터 프리즈너,"2019년 4월 18일
","제19회
","12.3%
"
19,닥터 프리즈너,"2019년 4월 18일
","제20회
","14.7%
"
20,닥터 프리즈너,"2019년 4월 24일
","제21회
","12.6%
"
21,닥터 프리즈너,"2019년 4월 24일
","제22회
","14.6%
"
22,닥터 프리즈너,"2019년 4월 25일
","제23회
","11.5%
"
23,닥터 프리즈너,"2019년 4월 25일
","제24회
","13.4%
"
24,닥터 프리즈너,"2019년 5월 1일
","제25회
","12.3%
"
25,닥터 프리즈너,"2019년 5월 1일
","제26회
","13.6%
"
26,닥터 프리즈너,"2019년 5월 8일
","제27회
","11.9%
"
27,닥터 프리즈너,"2019년 5월 8일
","제28회
","14.5%
"
28,닥터 프리즈너,"2019년 5월 9일
","제29회
","12.3%
"
29,닥터 프리즈너,"2019년 5월 9일
","제30회
","14.2%
"
30,닥터 프리즈너,"2019년 5월 15일
","제31회
","13.2%
"
31,닥터 프리즈너,"2019년 5월 15일
","제32회
",15.8%
