,title,date,episode,rating
0,닥터탐정,"2019년 7월 17일
","제1회
","4.6%
"
1,닥터탐정,"2019년 7월 17일
","제1회
",5.7%
2,닥터탐정,"2019년 7월 18일
","제2회
","5.1%
"
3,닥터탐정,"2019년 7월 18일
","제2회
","5.2%
"
4,닥터탐정,"2019년 7월 24일
","제3회
","4.6%
"
5,닥터탐정,"2019년 7월 24일
","제3회
","5.0%
"
6,닥터탐정,"2019년 7월 25일
","제4회
","5.0%
"
7,닥터탐정,"2019년 7월 25일
","제4회
","5.1%
"
8,닥터탐정,"2019년 7월 31일
","제5회
","3.7%
"
9,닥터탐정,"2019년 7월 31일
","제5회
","4.3%
"
10,닥터탐정,"2019년 8월 1일
","제6회
","4.3%
"
11,닥터탐정,"2019년 8월 1일
","제6회
","3.8%
"
12,닥터탐정,"2019년 8월 7일
","제7회
","4.4%
"
13,닥터탐정,"2019년 8월 7일
","제7회
","4.8%
"
14,닥터탐정,"2019년 8월 8일
","제8회
","4.0%
"
15,닥터탐정,"2019년 8월 8일
","제8회
","4.0%
"
16,닥터탐정,"2019년 8월 14일
","제9회
","4.0%
"
17,닥터탐정,"2019년 8월 14일
","제9회
","4.4%
"
18,닥터탐정,"2019년 8월 15일
","제10회
","4.4%
"
19,닥터탐정,"2019년 8월 15일
","제10회
","4.1%
"
20,닥터탐정,"2019년 8월 21일
","제11회
","3.5%
"
21,닥터탐정,"2019년 8월 21일
","제11회
","4.0%
"
22,닥터탐정,"2019년 8월 22일
","제12회
","3.1%
"
23,닥터탐정,"2019년 8월 22일
","제12회
","3.5%
"
24,닥터탐정,"2019년 8월 28일
","제13회
",2.5%
25,닥터탐정,"2019년 8월 28일
","제13회
","3.1%
"
26,닥터탐정,"2019년 8월 29일
","제14회
","2.8%
"
27,닥터탐정,"2019년 8월 29일
","제14회
","2.8%
"
28,닥터탐정,"2019년 9월 4일
","제15회
","3.0%
"
29,닥터탐정,"2019년 9월 4일
","제15회
","3.4%
"
30,닥터탐정,"2019년 9월 5일
","제16회
","3.9%
"
31,닥터탐정,"2019년 9월 5일
","제16회
","3.9%
"
