,title,date,episode,rating
0,더 뱅커,"2019년 3월 27일
","제1회
","4.6%
"
1,더 뱅커,"2019년 3월 27일
","제2회
","4.5%
"
2,더 뱅커,"2019년 3월 28일
","제3회
",2.5%
3,더 뱅커,"2019년 3월 28일
","제4회
","3.3%
"
4,더 뱅커,"2019년 4월 3일
","제5회
","4.1%
"
5,더 뱅커,"2019년 4월 3일
","제6회
","4.9%
"
6,더 뱅커,"2019년 4월 4일
","제7회
","3.9%
"
7,더 뱅커,"2019년 4월 4일
","제8회
","4.6%
"
8,더 뱅커,"2019년 4월 10일
","제9회
","3.6%
"
9,더 뱅커,"2019년 4월 10일
","제10회
","4.5%
"
10,더 뱅커,"2019년 4월 11일
","제11회
","4.4%
"
11,더 뱅커,"2019년 4월 11일
","제12회
","5.2%
"
12,더 뱅커,"2019년 4월 17일
","제13회
","3.8%
"
13,더 뱅커,"2019년 4월 17일
","제14회
","4.1%
"
14,더 뱅커,"2019년 4월 18일
","제15회
","2.6%
"
15,더 뱅커,"2019년 4월 18일
","제16회
","3.0%
"
16,더 뱅커,"2019년 4월 24일
","제17회
","3.4%
"
17,더 뱅커,"2019년 4월 24일
","제18회
","4.0%
"
18,더 뱅커,"2019년 4월 25일
","제19회
","3.0%
"
19,더 뱅커,"2019년 4월 25일
","제20회
","3.6%
"
20,더 뱅커,"2019년 5월 1일
","제21회
","3.4%
"
21,더 뱅커,"2019년 5월 1일
","제22회
","4.2%
"
22,더 뱅커,"2019년 5월 2일
","제23회
","4.1%
"
23,더 뱅커,"2019년 5월 2일
","제24회
","4.7%
"
24,더 뱅커,"2019년 5월 8일
","제25회
","3.7%
"
25,더 뱅커,"2019년 5월 8일
","제26회
","4.6%
"
26,더 뱅커,"2019년 5월 9일
","제27회
","3.6%
"
27,더 뱅커,"2019년 5월 9일
","제28회
","4.6%
"
28,더 뱅커,"2019년 5월 15일
","제29회
","3.6%
"
29,더 뱅커,"2019년 5월 15일
","제30회
","4.3%
"
30,더 뱅커,"2019년 5월 16일
","제31회
","5.4%
"
31,더 뱅커,"2019년 5월 16일
","제32회
",7.0%
