,title,date,episode,rating
0,동네변호사_조들호_2:_죄와_벌,"2019년 1월 7일
","제1회
",6.10%
1,동네변호사_조들호_2:_죄와_벌,"2019년 1월 7일
","제2회
",6.70%
2,동네변호사_조들호_2:_죄와_벌,"2019년 1월 8일
","제3회
",5.90%
3,동네변호사_조들호_2:_죄와_벌,"2019년 1월 8일
","제4회
",6.80%
4,동네변호사_조들호_2:_죄와_벌,"2019년 1월 14일
","제5회
",4.80%
5,동네변호사_조들호_2:_죄와_벌,"2019년 1월 14일
","제6회
",5.50%
6,동네변호사_조들호_2:_죄와_벌,"2019년 1월 15일
","제7회
",5.80%
7,동네변호사_조들호_2:_죄와_벌,"2019년 1월 15일
","제8회
",6.60%
8,동네변호사_조들호_2:_죄와_벌,"2019년 1월 21일
","제9회
",4.70%
9,동네변호사_조들호_2:_죄와_벌,"2019년 1월 21일
","제10회
",6.30%
10,동네변호사_조들호_2:_죄와_벌,"2019년 1월 22일
","제11회
",3.80%
11,동네변호사_조들호_2:_죄와_벌,"2019년 1월 22일
","제12회
",5.00%
12,동네변호사_조들호_2:_죄와_벌,"2019년 2월 11일
","제13회
",4.40%
13,동네변호사_조들호_2:_죄와_벌,"2019년 2월 11일
","제14회
",5.70%
14,동네변호사_조들호_2:_죄와_벌,"2019년 2월 12일
","제15회
",3.80%
15,동네변호사_조들호_2:_죄와_벌,"2019년 2월 12일
","제16회
",5.00%
16,동네변호사_조들호_2:_죄와_벌,"2019년 2월 18일
","제17회
",4.90%
17,동네변호사_조들호_2:_죄와_벌,"2019년 2월 18일
","제18회
",5.50%
18,동네변호사_조들호_2:_죄와_벌,"2019년 2월 19일
","제19회
",4.50%
19,동네변호사_조들호_2:_죄와_벌,"2019년 2월 19일
","제20회
",5.70%
20,동네변호사_조들호_2:_죄와_벌,"2019년 2월 25일
","제21회
",5.00%
21,동네변호사_조들호_2:_죄와_벌,"2019년 2월 25일
","제22회
",6.50%
22,동네변호사_조들호_2:_죄와_벌,"2019년 2월 26일
","제23회
",5.40%
23,동네변호사_조들호_2:_죄와_벌,"2019년 2월 26일
","제24회
",6.30%
24,동네변호사_조들호_2:_죄와_벌,"2019년 3월 4일
","제25회
",4.30%
25,동네변호사_조들호_2:_죄와_벌,"2019년 3월 4일
","제26회
",5.90%
26,동네변호사_조들호_2:_죄와_벌,"2019년 3월 5일
","제27회
",5.80%
27,동네변호사_조들호_2:_죄와_벌,"2019년 3월 5일
","제28회
",7.00%
28,동네변호사_조들호_2:_죄와_벌,"2019년 3월 11일
","제29회
",5.20%
29,동네변호사_조들호_2:_죄와_벌,"2019년 3월 11일
","제30회
",6.90%
30,동네변호사_조들호_2:_죄와_벌,"2019년 3월 12일
","제31회
",6.30%
31,동네변호사_조들호_2:_죄와_벌,"2019년 3월 12일
","제32회
",7.30%
32,동네변호사_조들호_2:_죄와_벌,"2019년 3월 18일
","제33회
",5.00%
33,동네변호사_조들호_2:_죄와_벌,"2019년 3월 18일
","제34회
",6.00%
34,동네변호사_조들호_2:_죄와_벌,"2019년 3월 19일
","제35회
",5.10%
35,동네변호사_조들호_2:_죄와_벌,"2019년 3월 19일
","제36회
",6.00%
36,동네변호사_조들호_2:_죄와_벌,"2019년 3월 25일
","제37회
",6.70%
37,동네변호사_조들호_2:_죄와_벌,"2019년 3월 25일
","제38회
",7.80%
38,동네변호사_조들호_2:_죄와_벌,"2019년 3월 26일
","제39회
",7.90%
39,동네변호사_조들호_2:_죄와_벌,"2019년 3월 26일
","제40회
",9.30%
