,title,date,episode,rating
0,동백꽃 필 무렵,"2019년 9월 18일
","제1회
",6.3%
1,동백꽃 필 무렵,"2019년 9월 18일
","제2회
","7.4%
"
2,동백꽃 필 무렵,"2019년 9월 19일
","제3회
","6.7%
"
3,동백꽃 필 무렵,"2019년 9월 19일
","제4회
","8.3%
"
4,동백꽃 필 무렵,"2019년 9월 25일
","제5회
","8.6%
"
5,동백꽃 필 무렵,"2019년 9월 25일
","제6회
","10.0%
"
6,동백꽃 필 무렵,"2019년 9월 26일
","제7회
","7.7%
"
7,동백꽃 필 무렵,"2019년 9월 26일
","제8회
","10.0%
"
8,동백꽃 필 무렵,"2019년 10월 2일
","제9회
","9.3%
"
9,동백꽃 필 무렵,"2019년 10월 2일
","제10회
","11.5%
"
10,동백꽃 필 무렵,"2019년 10월 3일
","제11회
","10.2%
"
11,동백꽃 필 무렵,"2019년 10월 3일
","제12회
","12.9%
"
12,동백꽃 필 무렵,"2019년 10월 9일
","제13회
","11.0%
"
13,동백꽃 필 무렵,"2019년 10월 9일
","제14회
","13.1%
"
14,동백꽃 필 무렵,"2019년 10월 10일
","제15회
","11.0%
"
15,동백꽃 필 무렵,"2019년 10월 10일
","제16회
","14.5%
"
16,동백꽃 필 무렵,"2019년 10월 16일
","제17회
","11.0%
"
17,동백꽃 필 무렵,"2019년 10월 16일
","제18회
","13.4%
"
18,동백꽃 필 무렵,"2019년 10월 17일
","제19회
","12.1%
"
19,동백꽃 필 무렵,"2019년 10월 17일
","제20회
","14.9%
"
20,동백꽃 필 무렵,"2019년 10월 23일
","제21회
","12.9%
"
21,동백꽃 필 무렵,"2019년 10월 23일
","제22회
","16.9%
"
22,동백꽃 필 무렵,"2019년 10월 24일
","제23회
","13.3%
"
23,동백꽃 필 무렵,"2019년 10월 24일
","제24회
","16.2%
"
24,동백꽃 필 무렵,"2019년 10월 30일
","제25회
","14.3%
"
25,동백꽃 필 무렵,"2019년 10월 30일
","제26회
","16.9%
"
26,동백꽃 필 무렵,"2019년 10월 31일
","제27회
","15.0%
"
27,동백꽃 필 무렵,"2019년 10월 31일
","제28회
","18.4%
"
28,동백꽃 필 무렵,"2019년 11월 6일
","제29회
","15.2%
"
29,동백꽃 필 무렵,"2019년 11월 6일
","제30회
","18.2%
"
30,동백꽃 필 무렵,"2019년 11월 7일
","제31회
","15.7%
"
31,동백꽃 필 무렵,"2019년 11월 7일
","제32회
","18.8%
"
32,동백꽃 필 무렵,"2019년 11월 13일
","제33회
","17.9%
"
33,동백꽃 필 무렵,"2019년 11월 13일
","제34회
","20.7%
"
34,동백꽃 필 무렵,"2019년 11월 14일
","제35회
","14.0%
"
35,동백꽃 필 무렵,"2019년 11월 14일
","제36회
","18.1%
"
36,동백꽃 필 무렵,"2019년 11월 20일
","제37회
","18.1%
"
37,동백꽃 필 무렵,"2019년 11월 20일
","제38회
","20.4%
"
38,동백꽃 필 무렵,"2019년 11월 21일
","제39회
","19.7%
"
39,동백꽃 필 무렵,"2019년 11월 21일
","제40회
",23.8%
