,title,date,episode,rating
0,모두 다 쿵따리,"2019년 7월 16일
","제1회
","3.9%
"
1,모두 다 쿵따리,"2019년 7월 17일
","제2회
","3.7%
"
2,모두 다 쿵따리,"2019년 7월 18일
","제3회
","3.3%
"
3,모두 다 쿵따리,"2019년 7월 19일
","제4회
","4.0%
"
4,모두 다 쿵따리,"2019년 7월 22일
","제5회
","3.7%
"
5,모두 다 쿵따리,"2019년 7월 23일
","제6회
","3.2%
"
6,모두 다 쿵따리,"2019년 7월 24일
","제7회
","3.4%
"
7,모두 다 쿵따리,"2019년 7월 25일
","제8회
","4.1%
"
8,모두 다 쿵따리,"2019년 7월 26일
","제9회
","4.1%
"
9,모두 다 쿵따리,"2019년 7월 29일
","제10회
","3.6%
"
10,모두 다 쿵따리,"2019년 7월 30일
","제11회
","4.2%
"
11,모두 다 쿵따리,"2019년 7월 31일
","제12회
","4.0%
"
12,모두 다 쿵따리,"2019년 8월 1일
","제13회
","3.6%
"
13,모두 다 쿵따리,"2019년 8월 2일
","제14회
","3.8%
"
14,모두 다 쿵따리,"2019년 8월 5일
","제15회
","3.6%
"
15,모두 다 쿵따리,"2019년 8월 6일
","제16회
","3.6%
"
16,모두 다 쿵따리,"2019년 8월 7일
","제17회
","3.7%
"
17,모두 다 쿵따리,"2019년 8월 8일
","제18회
","3.7%
"
18,모두 다 쿵따리,"2019년 8월 9일
","제19회
","3.7%
"
19,모두 다 쿵따리,"2019년 8월 12일
","제20회
","3.3%
"
20,모두 다 쿵따리,"2019년 8월 13일
","제21회
","3.6%
"
21,모두 다 쿵따리,"2019년 8월 14일
","제22회
","3.4%
"
22,모두 다 쿵따리,"2019년 8월 15일
","제23회
","2.9%
"
23,모두 다 쿵따리,"2019년 8월 16일
","제24회
","3.3%
"
24,모두 다 쿵따리,"2019년 8월 19일
","제25회
","3.2%
"
25,모두 다 쿵따리,"2019년 8월 20일
","제26회
","3.6%
"
26,모두 다 쿵따리,"2019년 8월 21일
","제27회
","3.5%
"
27,모두 다 쿵따리,"2019년 8월 22일
","제28회
","4.1%
"
28,모두 다 쿵따리,"2019년 8월 23일
","제29회
","3.3%
"
29,모두 다 쿵따리,"2019년 8월 26일
","제30회
","3.5%
"
30,모두 다 쿵따리,"2019년 8월 27일
","제31회
","3.6%
"
31,모두 다 쿵따리,"2019년 8월 28일
","제32회
","3.7%
"
32,모두 다 쿵따리,"2019년 8월 29일
","제33회
","3.9%
"
33,모두 다 쿵따리,"2019년 8월 30일
","제34회
","3.7%
"
34,모두 다 쿵따리,"2019년 9월 2일
","제35회
","3.6%
"
35,모두 다 쿵따리,"2019년 9월 3일
","제36회
","3.7%
"
36,모두 다 쿵따리,"2019년 9월 4일
","제37회
","4.3%
"
37,모두 다 쿵따리,"2019년 9월 5일
","제38회
","4.1%
"
38,모두 다 쿵따리,"2019년 9월 6일
","제39회
","4.2%
"
39,모두 다 쿵따리,"2019년 9월 9일
","제40회
","3.9%
"
40,모두 다 쿵따리,"2019년 9월 10일
","제41회
","3.9%
"
41,모두 다 쿵따리,"2019년 9월 11일
","제42회
","3.5%
"
42,모두 다 쿵따리,"2019년 9월 12일
","제43회
","2.5%
"
43,모두 다 쿵따리,"2019년 9월 13일
","제44회
",1.6%
44,모두 다 쿵따리,"2019년 9월 16일
","제45회
","4.2%
"
45,모두 다 쿵따리,"2019년 9월 17일
","제46회
","3.9%
"
46,모두 다 쿵따리,"2019년 9월 18일
","제47회
","3.8%
"
47,모두 다 쿵따리,"2019년 9월 19일
","제48회
","3.3%
"
48,모두 다 쿵따리,"2019년 9월 20일
","제49회
","3.8%
"
49,모두 다 쿵따리,"2019년 9월 23일
","제50회
","3.6%
"
50,모두 다 쿵따리,"2019년 9월 24일
","제51회
","3.7%
"
51,모두 다 쿵따리,"2019년 9월 25일
","제52회
","4.0%
"
52,모두 다 쿵따리,"2019년 9월 26일
","제53회
","3.9%
"
53,모두 다 쿵따리,"2019년 9월 27일
","제54회
","4.4%
"
54,모두 다 쿵따리,"2019년 9월 30일
","제55회
","3.9%
"
55,모두 다 쿵따리,"2019년 10월 1일
","제56회
","4.3%
"
56,모두 다 쿵따리,"2019년 10월 2일
","제57회
","4.5%
"
57,모두 다 쿵따리,"2019년 10월 3일
","제58회
","4.5%
"
58,모두 다 쿵따리,"2019년 10월 4일
","제59회
","4.5%
"
59,모두 다 쿵따리,"2019년 10월 7일
","제60회
","3.9%
"
60,모두 다 쿵따리,"2019년 10월 8일
","제61회
","3.7%
"
61,모두 다 쿵따리,"2019년 10월 9일
","제62회
","3.7%
"
62,모두 다 쿵따리,"2019년 10월 10일
","제63회
","3.8%
"
63,모두 다 쿵따리,"2019년 10월 11일
","제64회
","4.4%
"
64,모두 다 쿵따리,"2019년 10월 14일
","제65회
","3.8%
"
65,모두 다 쿵따리,"2019년 10월 15일
","제66회
","4.0%
"
66,모두 다 쿵따리,"2019년 10월 16일
","제67회
","3.8%
"
67,모두 다 쿵따리,"2019년 10월 17일
","제68회
","4.3%
"
68,모두 다 쿵따리,"2019년 10월 18일
","제69회
","4.3%
"
69,모두 다 쿵따리,"2019년 10월 21일
","제70회
","4.1%
"
70,모두 다 쿵따리,"2019년 10월 22일
","제71회
","4.4%
"
71,모두 다 쿵따리,"2019년 10월 23일
","제72회
","4.2%
"
72,모두 다 쿵따리,"2019년 10월 24일
","제73회
","4.6%
"
73,모두 다 쿵따리,"2019년 10월 25일
","제74회
","4.3%
"
74,모두 다 쿵따리,"2019년 10월 28일
","제75회
","4.6%
"
75,모두 다 쿵따리,"2019년 10월 29일
","제76회
","4.6%
"
76,모두 다 쿵따리,"2019년 10월 30일
","제77회
","4.4%
"
77,모두 다 쿵따리,"2019년 10월 31일
","제78회
","4.8%
"
78,모두 다 쿵따리,"2019년 11월 1일
","제79회
","3.8%
"
79,모두 다 쿵따리,"2019년 11월 4일
","제80회
","4.1%
"
80,모두 다 쿵따리,"2019년 11월 5일
","제81회
","4.1%
"
81,모두 다 쿵따리,"2019년 11월 6일
","제82회
","4.5%
"
82,모두 다 쿵따리,"2019년 11월 7일
","제83회
","4.4%
"
83,모두 다 쿵따리,"2019년 11월 8일
","제84회
","4.7%
"
84,모두 다 쿵따리,"2019년 11월 12일
","제85회
","4.4%
"
85,모두 다 쿵따리,"2019년 11월 13일
","제86회
","4.9%
"
86,모두 다 쿵따리,"2019년 11월 14일
","제87회
","4.7%
"
87,모두 다 쿵따리,"2019년 11월 15일
","제88회
","4.3%
"
88,모두 다 쿵따리,"2019년 11월 18일
","제89회
","4.3%
"
89,모두 다 쿵따리,"2019년 11월 19일
","제90회
","4.9%
"
90,모두 다 쿵따리,"2019년 11월 20일
","제91회
","4.4%
"
91,모두 다 쿵따리,"2019년 11월 21일
","제92회
","4.9%
"
92,모두 다 쿵따리,"2019년 11월 22일
","제93회
","4.9%
"
93,모두 다 쿵따리,"2019년 11월 25일
","제94회
","4.9%
"
94,모두 다 쿵따리,"2019년 11월 26일
","제95회
","4.6%
"
95,모두 다 쿵따리,"2019년 11월 27일
","제96회
","4.7%
"
96,모두 다 쿵따리,"2019년 11월 28일
","제97회
","4.5%
"
97,모두 다 쿵따리,"2019년 11월 29일
","제98회
",5.1%
98,모두 다 쿵따리,"2019년 11월 29일
","제99회
","3.9%
"
