,title,date,episode,rating
0,배가본드,"2019년 9월 20일
","제1회
","6.3%
"
1,배가본드,"2019년 9월 20일
","제1회
","8.0%
"
2,배가본드,"2019년 9월 20일
","제1회
","10.4%
"
3,배가본드,"2019년 9월 21일
","제2회
",5.8%
4,배가본드,"2019년 9월 21일
","제2회
","8.1%
"
5,배가본드,"2019년 9월 21일
","제2회
","10.3%
"
6,배가본드,"2019년 9월 27일
","제3회
","7.3%
"
7,배가본드,"2019년 9월 27일
","제3회
","8.4%
"
8,배가본드,"2019년 9월 27일
","제3회
","9.3%
"
9,배가본드,"2019년 9월 28일
","제4회
","6.8%
"
10,배가본드,"2019년 9월 28일
","제4회
","8.1%
"
11,배가본드,"2019년 9월 28일
","제4회
","10.2%
"
12,배가본드,"2019년 10월 4일
","제5회
","7.4%
"
13,배가본드,"2019년 10월 4일
","제5회
","8.9%
"
14,배가본드,"2019년 10월 4일
","제5회
","11.5%
"
15,배가본드,"2019년 10월 5일
","제6회
","7.2%
"
16,배가본드,"2019년 10월 5일
","제6회
","10.0%
"
17,배가본드,"2019년 10월 5일
","제6회
","11.3%
"
18,배가본드,"2019년 10월 11일
","제7회
","7.5%
"
19,배가본드,"2019년 10월 11일
","제7회
","9.5%
"
20,배가본드,"2019년 10월 11일
","제7회
","11.4%
"
21,배가본드,"2019년 10월 12일
","제8회
","7.2%
"
22,배가본드,"2019년 10월 12일
","제8회
","8.8%
"
23,배가본드,"2019년 10월 12일
","제8회
","10.1%
"
24,배가본드,"2019년 10월 18일
","제9회
","7.0%
"
25,배가본드,"2019년 10월 18일
","제9회
","8.6%
"
26,배가본드,"2019년 10월 18일
","제9회
","10.6%
"
27,배가본드,"2019년 10월 19일
","제10회
","7.9%
"
28,배가본드,"2019년 10월 19일
","제10회
","10.2%
"
29,배가본드,"2019년 10월 25일
","제11회
","7.9%
"
30,배가본드,"2019년 10월 25일
","제11회
","8.9%
"
31,배가본드,"2019년 10월 25일
","제11회
","10.2%
"
32,배가본드,"2019년 10월 26일
","제12회
","9.0%
"
33,배가본드,"2019년 10월 26일
","제12회
","11.6%
"
34,배가본드,"2019년 11월 2일
","제13회
","10.4%
"
35,배가본드,"2019년 11월 2일
","제13회
","12.8%
"
36,배가본드,"2019년 11월 9일
","제14회
","8.5%
"
37,배가본드,"2019년 11월 9일
","제14회
","10.2%
"
38,배가본드,"2019년 11월 9일
","제14회
","11.2%
"
39,배가본드,"2019년 11월 22일
","제15회
","8.7%
"
40,배가본드,"2019년 11월 22일
","제15회
","10.1%
"
41,배가본드,"2019년 11월 22일
","제15회
","11.8%
"
42,배가본드,"2019년 11월 23일
","제16회
","9.3%
"
43,배가본드,"2019년 11월 23일
","제16회
","11.7%
"
44,배가본드,"2019년 11월 23일
","제16회
",13.0%
