,title,date,episode,rating
0,봄이 오나 봄,"2019년 1월 23일
","제1회
","2.2%
"
1,봄이 오나 봄,"2019년 1월 23일
","제2회
","2.2%
"
2,봄이 오나 봄,"2019년 1월 24일
","제3회
",1.5%
3,봄이 오나 봄,"2019년 1월 24일
","제4회
","1.9%
"
4,봄이 오나 봄,"2019년 1월 30일
","제5회
","2.5%
"
5,봄이 오나 봄,"2019년 1월 30일
","제6회
","2.4%
"
6,봄이 오나 봄,"2019년 1월 31일
","제7회
","1.7%
"
7,봄이 오나 봄,"2019년 1월 31일
","제8회
","2.4%
"
8,봄이 오나 봄,"2019년 2월 7일
","제9회
","1.9%
"
9,봄이 오나 봄,"2019년 2월 7일
","제10회
","2.0%
"
10,봄이 오나 봄,"2019년 2월 13일
","제11회
","2.0%
"
11,봄이 오나 봄,"2019년 2월 13일
","제12회
","2.4%
"
12,봄이 오나 봄,"2019년 2월 14일
","제13회
","2.0%
"
13,봄이 오나 봄,"2019년 2월 14일
","제14회
","2.1%
"
14,봄이 오나 봄,"2019년 2월 20일
","제15회
","2.0%
"
15,봄이 오나 봄,"2019년 2월 20일
","제16회
","2.4%
"
16,봄이 오나 봄,"2019년 2월 21일
","제17회
","2.1%
"
17,봄이 오나 봄,"2019년 2월 21일
","제18회
","2.4%
"
18,봄이 오나 봄,"2019년 2월 28일
","제19회
","2.6%
"
19,봄이 오나 봄,"2019년 2월 28일
","제20회
","3.0%
"
20,봄이 오나 봄,"2019년 3월 6일
","제21회
","2.9%
"
21,봄이 오나 봄,"2019년 3월 6일
","제22회
","3.3%
"
22,봄이 오나 봄,"2019년 3월 7일
","제23회
","2.7%
"
23,봄이 오나 봄,"2019년 3월 7일
","제24회
","3.0%
"
24,봄이 오나 봄,"2019년 3월 13일
","제25회
","2.8%
"
25,봄이 오나 봄,"2019년 3월 13일
","제26회
","3.2%
"
26,봄이 오나 봄,"2019년 3월 14일
","제27회
","2.0%
"
27,봄이 오나 봄,"2019년 3월 14일
","제28회
","2.2%
"
28,봄이 오나 봄,"2019년 3월 20일
","제29회
","3.6%
"
29,봄이 오나 봄,"2019년 3월 20일
","제30회
",4.3%
30,봄이 오나 봄,"2019년 3월 21일
","제31회
","3.0%
"
31,봄이 오나 봄,"2019년 3월 21일
","제32회
","3.5%
"
