,title,date,episode,rating
0,수상한 장모,"2019년 5월 20일
","제1회
",5.60%
1,수상한 장모,"2019년 5월 21일
","제2회
",5.80%
2,수상한 장모,"2019년 5월 22일
","제3회
",5.70%
3,수상한 장모,"2019년 5월 23일
","제4회
",5.20%
4,수상한 장모,"2019년 5월 24일
","제5회
",4.50%
5,수상한 장모,"2019년 5월 27일
","제6회
",7.00%
6,수상한 장모,"2019년 5월 28일
","제7회
",6.60%
7,수상한 장모,"2019년 5월 29일
","제8회
",6.30%
8,수상한 장모,"2019년 5월 30일
","제9회
",6.10%
9,수상한 장모,"2019년 5월 31일
","제10회
",5.10%
10,수상한 장모,"2019년 6월 3일
","제11회
",5.30%
11,수상한 장모,"2019년 6월 4일
","제12회
",5.80%
12,수상한 장모,"2019년 6월 5일
","제13회
",5.60%
13,수상한 장모,"2019년 6월 6일
","제14회
",5.30%
14,수상한 장모,"2019년 6월 7일
","제15회
",6.40%
15,수상한 장모,"2019년 6월 10일
","제16회
",5.40%
16,수상한 장모,"2019년 6월 11일
","제17회
",5.50%
17,수상한 장모,"2019년 6월 13일
","제18회
",5.60%
18,수상한 장모,"2019년 6월 14일
","제19회
",5.70%
19,수상한 장모,"2019년 6월 18일
","제20회
",5.40%
20,수상한 장모,"2019년 6월 19일
","제21회
",6.50%
21,수상한 장모,"2019년 6월 20일
","제22회
",5.40%
22,수상한 장모,"2019년 6월 21일
","제23회
",5.40%
23,수상한 장모,"2019년 6월 24일
","제24회
",5.80%
24,수상한 장모,"2019년 6월 25일
","제25회
",5.80%
25,수상한 장모,"2019년 6월 26일
","제26회
",5.50%
26,수상한 장모,"2019년 6월 27일
","제27회
",6.10%
27,수상한 장모,"2019년 6월 28일
","제28회
",5.70%
28,수상한 장모,"2019년 7월 1일
","제29회
",4.90%
29,수상한 장모,"2019년 7월 2일
","제30회
",5.40%
30,수상한 장모,"2019년 7월 3일
","제31회
",5.00%
31,수상한 장모,"2019년 7월 4일
","제32회
",6.30%
32,수상한 장모,"2019년 7월 5일
","제33회
",5.40%
33,수상한 장모,"2019년 7월 8일
","제34회
",5.30%
34,수상한 장모,"2019년 7월 9일
","제35회
",5.50%
35,수상한 장모,"2019년 7월 10일
","제36회
",5.10%
36,수상한 장모,"2019년 7월 11일
","제37회
",6.10%
37,수상한 장모,"2019년 7월 12일
","제38회
",5.20%
38,수상한 장모,"2019년 7월 15일
","제39회
",6.40%
39,수상한 장모,"2019년 7월 16일
","제40회
",7.00%
40,수상한 장모,"2019년 7월 17일
","제41회
",5.20%
41,수상한 장모,"2019년 7월 18일
","제42회
",5.90%
42,수상한 장모,"2019년 7월 19일
","제43회
",6.40%
