,title,date,episode,rating
0,신입사관 구해령,"2019년 7월 17일
","제1회
","4.0%
"
1,신입사관 구해령,"2019년 7월 17일
","제2회
","6.0%
"
2,신입사관 구해령,"2019년 7월 18일
","제3회
",3.7%
3,신입사관 구해령,"2019년 7월 18일
","제4회
","5.0%
"
4,신입사관 구해령,"2019년 7월 24일
","제5회
","4.5%
"
5,신입사관 구해령,"2019년 7월 24일
","제6회
","6.4%
"
6,신입사관 구해령,"2019년 7월 25일
","제7회
","5.6%
"
7,신입사관 구해령,"2019년 7월 25일
","제8회
","6.8%
"
8,신입사관 구해령,"2019년 7월 31일
","제9회
","4.4%
"
9,신입사관 구해령,"2019년 7월 31일
","제10회
",7.3%
10,신입사관 구해령,"2019년 8월 1일
","제11회
","4.7%
"
11,신입사관 구해령,"2019년 8월 1일
","제12회
","6.9%
"
12,신입사관 구해령,"2019년 8월 7일
","제13회
","5.1%
"
13,신입사관 구해령,"2019년 8월 7일
","제14회
","6.8%
"
14,신입사관 구해령,"2019년 8월 8일
","제15회
","4.7%
"
15,신입사관 구해령,"2019년 8월 8일
","제16회
","6.4%
"
16,신입사관 구해령,"2019년 8월 14일
","제17회
","4.1%
"
17,신입사관 구해령,"2019년 8월 14일
","제18회
","6.2%
"
18,신입사관 구해령,"2019년 8월 15일
","제19회
","4.2%
"
19,신입사관 구해령,"2019년 8월 15일
","제20회
","6.5%
"
20,신입사관 구해령,"2019년 8월 21일
","제21회
","4.3%
"
21,신입사관 구해령,"2019년 8월 21일
","제22회
","6.0%
"
22,신입사관 구해령,"2019년 8월 22일
","제23회
","4.9%
"
23,신입사관 구해령,"2019년 8월 22일
","제24회
","7.1%
"
24,신입사관 구해령,"2019년 8월 28일
","제25회
","3.8%
"
25,신입사관 구해령,"2019년 8월 28일
","제26회
","5.9%
"
26,신입사관 구해령,"2019년 8월 29일
","제27회
","4.4%
"
27,신입사관 구해령,"2019년 8월 29일
","제28회
","6.9%
"
28,신입사관 구해령,"2019년 9월 4일
","제29회
",3.7%
29,신입사관 구해령,"2019년 9월 4일
","제30회
","5.5%
"
30,신입사관 구해령,"2019년 9월 5일
","제31회
","4.0%
"
31,신입사관 구해령,"2019년 9월 5일
","제32회
","5.4%
"
32,신입사관 구해령,"2019년 9월 18일
","제33회
","4.0%
"
33,신입사관 구해령,"2019년 9월 18일
","제34회
","6.0%
"
34,신입사관 구해령,"2019년 9월 19일
","제35회
","3.8%
"
35,신입사관 구해령,"2019년 9월 19일
","제36회
","5.0%
"
36,신입사관 구해령,"2019년 9월 25일
","제37회
","4.0%
"
37,신입사관 구해령,"2019년 9월 25일
","제38회
","6.2%
"
38,신입사관 구해령,"2019년 9월 26일
","제39회
","4.5%
"
39,신입사관 구해령,"2019년 9월 26일
","제40회
","6.6%
"
