,title,date,episode,rating
0,아이템,"2019년 2월 11일
","제1회
","4.0%
"
1,아이템,"2019년 2월 11일
","제2회
",4.9%
2,아이템,"2019년 2월 12일
","제3회
","4.0%
"
3,아이템,"2019년 2월 12일
","제4회
","4.7%
"
4,아이템,"2019년 2월 18일
","제5회
","3.4%
"
5,아이템,"2019년 2월 18일
","제6회
","4.5%
"
6,아이템,"2019년 2월 19일
","제7회
","3.5%
"
7,아이템,"2019년 2월 19일
","제8회
","4.0%
"
8,아이템,"2019년 2월 25일
","제9회
","2.8%
"
9,아이템,"2019년 2월 25일
","제10회
","3.7%
"
10,아이템,"2019년 2월 26일
","제11회
","2.8%
"
11,아이템,"2019년 2월 26일
","제12회
","3.8%
"
12,아이템,"2019년 3월 4일
","제13회
",2.6%
13,아이템,"2019년 3월 4일
","제14회
","3.4%
"
14,아이템,"2019년 3월 5일
","제15회
","3.5%
"
15,아이템,"2019년 3월 5일
","제16회
","4.0%
"
16,아이템,"2019년 3월 11일
","제17회
","3.2%
"
17,아이템,"2019년 3월 11일
","제18회
","3.6%
"
18,아이템,"2019년 3월 12일
","제19회
","3.4%
"
19,아이템,"2019년 3월 12일
","제20회
","4.1%
"
20,아이템,"2019년 3월 18일
","제21회
","2.9%
"
21,아이템,"2019년 3월 18일
","제22회
","3.5%
"
22,아이템,"2019년 3월 19일
","제23회
","2.8%
"
23,아이템,"2019년 3월 19일
","제24회
","3.5%
"
24,아이템,"2019년 3월 25일
","제25회
","3.5%
"
25,아이템,"2019년 3월 25일
","제26회
","3.7%
"
26,아이템,"2019년 3월 26일
","제27회
","4.1%
"
27,아이템,"2019년 3월 26일
","제28회
","4.4%
"
28,아이템,"2019년 4월 1일
","제29회
","3.8%
"
29,아이템,"2019년 4월 1일
","제30회
","4.8%
"
30,아이템,"2019년 4월 2일
","제31회
","3.5%
"
31,아이템,"2019년 4월 2일
","제32회
","4.2%
"
