,title,date,episode,rating
0,열혈사제,"2019년 2월 15일
","제1회
","10.4%
"
1,열혈사제,"2019년 2월 15일
","제2회
","13.8%
"
2,열혈사제,"2019년 2월 16일
","제3회
",8.6%
3,열혈사제,"2019년 2월 16일
","제4회
","11.2%
"
4,열혈사제,"2019년 2월 22일
","제5회
","12.8%
"
5,열혈사제,"2019년 2월 22일
","제6회
","16.2%
"
6,열혈사제,"2019년 2월 23일
","제7회
","13.0%
"
7,열혈사제,"2019년 2월 23일
","제8회
","15.7%
"
8,열혈사제,"2019년 3월 1일
","제9회
","14.0%
"
9,열혈사제,"2019년 3월 1일
","제10회
","17.2%
"
10,열혈사제,"2019년 3월 2일
","제11회
","13.1%
"
11,열혈사제,"2019년 3월 2일
","제12회
","16.0%
"
12,열혈사제,"2019년 3월 8일
","제13회
","15.3%
"
13,열혈사제,"2019년 3월 8일
","제14회
","17.7%
"
14,열혈사제,"2019년 3월 9일
","제15회
","12.5%
"
15,열혈사제,"2019년 3월 9일
","제16회
","16.1%
"
16,열혈사제,"2019년 3월 15일
","제17회
","15.4%
"
17,열혈사제,"2019년 3월 15일
","제18회
","17.5%
"
18,열혈사제,"2019년 3월 16일
","제19회
","14.2%
"
19,열혈사제,"2019년 3월 16일
","제20회
","18.1%
"
20,열혈사제,"2019년 3월 22일
","제21회
","14.6%
"
21,열혈사제,"2019년 3월 22일
","제22회
","17.2%
"
22,열혈사제,"2019년 3월 23일
","제23회
","14.8%
"
23,열혈사제,"2019년 3월 23일
","제24회
","17.9%
"
24,열혈사제,"2019년 3월 29일
","제25회
","15.3%
"
25,열혈사제,"2019년 3월 29일
","제26회
","18.5%
"
26,열혈사제,"2019년 3월 30일
","제27회
","15.6%
"
27,열혈사제,"2019년 3월 30일
","제28회
","18.2%
"
28,열혈사제,"2019년 4월 5일
","제29회
","15.5%
"
29,열혈사제,"2019년 4월 5일
","제30회
","19.8%
"
30,열혈사제,"2019년 4월 6일
","제31회
","17.7%
"
31,열혈사제,"2019년 4월 6일
","제32회
","19.4%
"
32,열혈사제,"2019년 4월 12일
","제33회
","16.2%
"
33,열혈사제,"2019년 4월 12일
","제34회
","20.3%
"
34,열혈사제,"2019년 4월 13일
","제35회
","17.2%
"
35,열혈사제,"2019년 4월 13일
","제36회
","20.0%
"
36,열혈사제,"2019년 4월 19일
","제37회
","16.7%
"
37,열혈사제,"2019년 4월 19일
","제38회
","20.3%
"
38,열혈사제,"2019년 4월 20일
","제39회
","18.6%
"
39,열혈사제,"2019년 4월 20일
","제40회
",22.0%
