,title,date,episode,rating
0,용왕님 보우하사,"2019년 1월 14일
","제1회
","8.2%
"
1,용왕님 보우하사,"2019년 1월 15일
","제2회
","8.1%
"
2,용왕님 보우하사,"2019년 1월 16일
","제3회
","8.9%
"
3,용왕님 보우하사,"2019년 1월 17일
","제4회
","7.8%
"
4,용왕님 보우하사,"2019년 1월 18일
","제5회
","8.2%
"
5,용왕님 보우하사,"2019년 1월 21일
","제6회
","9.0%
"
6,용왕님 보우하사,"2019년 1월 22일
","제7회
","8.7%
"
7,용왕님 보우하사,"2019년 1월 23일
","제8회
","8.4%
"
8,용왕님 보우하사,"2019년 1월 24일
","제9회
","8.1%
"
9,용왕님 보우하사,"2019년 1월 25일
","제10회
","8.3%
"
10,용왕님 보우하사,"2019년 1월 28일
","제11회
","8.9%
"
11,용왕님 보우하사,"2019년 1월 29일
","제12회
","8.1%
"
12,용왕님 보우하사,"2019년 1월 30일
","제13회
","6.3%
"
13,용왕님 보우하사,"2019년 1월 31일
","제14회
","8.5%
"
14,용왕님 보우하사,"2019년 2월 1일
","제15회
","7.8%
"
15,용왕님 보우하사,"2019년 2월 7일
","제16회
","8.2%
"
16,용왕님 보우하사,"2019년 2월 8일
","제17회
","7.4%
"
17,용왕님 보우하사,"2019년 2월 11일
","제18회
","8.0%
"
18,용왕님 보우하사,"2019년 2월 12일
","제19회
","7.9%
"
19,용왕님 보우하사,"2019년 2월 13일
","제20회
","7.9%
"
20,용왕님 보우하사,"2019년 2월 14일
","제21회
","8.2%
"
21,용왕님 보우하사,"2019년 2월 15일
","제22회
","7.9%
"
22,용왕님 보우하사,"2019년 2월 18일
","제23회
","7.5%
"
23,용왕님 보우하사,"2019년 2월 19일
","제24회
","7.4%
"
24,용왕님 보우하사,"2019년 2월 20일
","제25회
","7.9%
"
25,용왕님 보우하사,"2019년 2월 21일
","제26회
","8.1%
"
26,용왕님 보우하사,"2019년 2월 22일
","제27회
","7.9%
"
27,용왕님 보우하사,"2019년 2월 25일
","제28회
","8.0%
"
28,용왕님 보우하사,"2019년 2월 26일
","제29회
","4.1%
"
29,용왕님 보우하사,"2019년 3월 1일
","제30회
",3.2%
30,용왕님 보우하사,"2019년 3월 4일
","제31회
","7.6%
"
31,용왕님 보우하사,"2019년 3월 5일
","제32회
","8.2%
"
32,용왕님 보우하사,"2019년 3월 6일
","제33회
","8.6%
"
33,용왕님 보우하사,"2019년 3월 7일
","제34회
","8.7%
"
34,용왕님 보우하사,"2019년 3월 8일
","제35회
","8.5%
"
35,용왕님 보우하사,"2019년 3월 11일
","제36회
","8.5%
"
36,용왕님 보우하사,"2019년 3월 12일
","제37회
",9.5%
37,용왕님 보우하사,"2019년 3월 13일
","제38회
","9.1%
"
38,용왕님 보우하사,"2019년 3월 14일
","제39회
","8.0%
"
39,용왕님 보우하사,"2019년 3월 15일
","제40회
","8.6%
"
40,용왕님 보우하사,"2019년 3월 18일
","제41회
","5.3%
"
41,용왕님 보우하사,"2019년 3월 19일
","제42회
","6.2%
"
42,용왕님 보우하사,"2019년 3월 20일
","제43회
","6.7%
"
43,용왕님 보우하사,"2019년 3월 21일
","제44회
","7.0%
"
44,용왕님 보우하사,"2019년 3월 22일
","제45회
","6.5%
"
45,용왕님 보우하사,"2019년 3월 25일
","제46회
","6.6%
"
46,용왕님 보우하사,"2019년 3월 27일
","제47회
","6.9%
"
47,용왕님 보우하사,"2019년 3월 28일
","제48회
","6.7%
"
48,용왕님 보우하사,"2019년 3월 29일
","제49회
","6.0%
"
49,용왕님 보우하사,"2019년 4월 1일
","제50회
","6.5%
"
50,용왕님 보우하사,"2019년 4월 2일
","제51회
","7.3%
"
51,용왕님 보우하사,"2019년 4월 3일
","제52회
","6.1%
"
52,용왕님 보우하사,"2019년 4월 4일
","제53회
","6.8%
"
53,용왕님 보우하사,"2019년 4월 8일
","제54회
","6.1%
"
54,용왕님 보우하사,"2019년 4월 9일
","제55회
","7.5%
"
55,용왕님 보우하사,"2019년 4월 10일
","제56회
","7.3%
"
56,용왕님 보우하사,"2019년 4월 12일
","제57회
","6.7%
"
57,용왕님 보우하사,"2019년 4월 15일
","제58회
","6.4%
"
58,용왕님 보우하사,"2019년 4월 16일
","제59회
","6.2%
"
59,용왕님 보우하사,"2019년 4월 17일
","제60회
","6.5%
"
60,용왕님 보우하사,"2019년 4월 18일
","제61회
","7.3%
"
61,용왕님 보우하사,"2019년 4월 19일
","제62회
","6.3%
"
62,용왕님 보우하사,"2019년 4월 22일
","제63회
","6.3%
"
63,용왕님 보우하사,"2019년 4월 23일
","제64회
","8.1%
"
64,용왕님 보우하사,"2019년 4월 24일
","제65회
","7.0%
"
65,용왕님 보우하사,"2019년 4월 25일
","제66회
","7.3%
"
66,용왕님 보우하사,"2019년 4월 26일
","제67회
","7.6%
"
67,용왕님 보우하사,"2019년 4월 29일
","제68회
","6.5%
"
68,용왕님 보우하사,"2019년 4월 30일
","제69회
","6.3%
"
69,용왕님 보우하사,"2019년 5월 1일
","제70회
","6.1%
"
