,title,date,episode,rating
0,조선로코 - 녹두전,"2019년 9월 30일
","제1회
","5.6%
"
1,조선로코 - 녹두전,"2019년 9월 30일
","제2회
","7.1%
"
2,조선로코 - 녹두전,"2019년 10월 1일
","제3회
","6.5%
"
3,조선로코 - 녹두전,"2019년 10월 1일
","제4회
",8.3%
4,조선로코 - 녹두전,"2019년 10월 7일
","제5회
","5.4%
"
5,조선로코 - 녹두전,"2019년 10월 7일
","제6회
","7.1%
"
6,조선로코 - 녹두전,"2019년 10월 8일
","제7회
","5.8%
"
7,조선로코 - 녹두전,"2019년 10월 8일
","제8회
","6.7%
"
8,조선로코 - 녹두전,"2019년 10월 15일
","제9회
","5.0%
"
9,조선로코 - 녹두전,"2019년 10월 15일
","제10회
","6.6%
"
10,조선로코 - 녹두전,"2019년 10월 21일
","제11회
",4.3%
11,조선로코 - 녹두전,"2019년 10월 21일
","제12회
","5.9%
"
12,조선로코 - 녹두전,"2019년 10월 22일
","제13회
","6.0%
"
13,조선로코 - 녹두전,"2019년 10월 22일
","제14회
","6.2%
"
14,조선로코 - 녹두전,"2019년 10월 28일
","제15회
","4.9%
"
15,조선로코 - 녹두전,"2019년 10월 28일
","제16회
","7.3%
"
16,조선로코 - 녹두전,"2019년 10월 29일
","제17회
","6.0%
"
17,조선로코 - 녹두전,"2019년 10월 29일
","제18회
","7.4%
"
18,조선로코 - 녹두전,"2019년 11월 4일
","제19회
","4.6%
"
19,조선로코 - 녹두전,"2019년 11월 4일
","제20회
","6.4%
"
20,조선로코 - 녹두전,"2019년 11월 5일
","제21회
","4.7%
"
21,조선로코 - 녹두전,"2019년 11월 5일
","제22회
","6.2%
"
22,조선로코 - 녹두전,"2019년 11월 11일
","제23회
","5.1%
"
23,조선로코 - 녹두전,"2019년 11월 11일
","제24회
","6.9%
"
24,조선로코 - 녹두전,"2019년 11월 12일
","제25회
","5.4%
"
25,조선로코 - 녹두전,"2019년 11월 12일
","제26회
","7.7%
"
26,조선로코 - 녹두전,"2019년 11월 18일
","제27회
","5.6%
"
27,조선로코 - 녹두전,"2019년 11월 18일
","제28회
","6.5%
"
28,조선로코 - 녹두전,"2019년 11월 19일
","제29회
","6.3%
"
29,조선로코 - 녹두전,"2019년 11월 19일
","제30회
","7.8%
"
30,조선로코 - 녹두전,"2019년 11월 25일
","제31회
","6.0%
"
31,조선로코 - 녹두전,"2019년 11월 25일
","제32회
","7.3%
"
