,title,date,episode,rating
0,초면에 사랑합니다,"2019년 5월 6일
","제1회
","3.2%
"
1,초면에 사랑합니다,"2019년 5월 6일
","제2회
","3.6%
"
2,초면에 사랑합니다,"2019년 5월 7일
","제3회
","3.4%
"
3,초면에 사랑합니다,"2019년 5월 7일
","제4회
","3.2%
"
4,초면에 사랑합니다,"2019년 5월 13일
","제5회
","3.1%
"
5,초면에 사랑합니다,"2019년 5월 13일
","제6회
","3.1%
"
6,초면에 사랑합니다,"2019년 5월 14일
","제7회
","3.0%
"
7,초면에 사랑합니다,"2019년 5월 14일
","제8회
","3.5%
"
8,초면에 사랑합니다,"2019년 5월 20일
","제9회
","3.0%
"
9,초면에 사랑합니다,"2019년 5월 20일
","제10회
","3.4%
"
10,초면에 사랑합니다,"2019년 5월 21일
","제11회
",2.7%
11,초면에 사랑합니다,"2019년 5월 21일
","제12회
","3.6%
"
12,초면에 사랑합니다,"2019년 5월 27일
","제13회
","2.8%
"
13,초면에 사랑합니다,"2019년 5월 27일
","제14회
","3.5%
"
14,초면에 사랑합니다,"2019년 5월 28일
","제15회
","3.0%
"
15,초면에 사랑합니다,"2019년 5월 28일
","제16회
","3.0%
"
16,초면에 사랑합니다,"2019년 6월 3일
","제17회
","3.1%
"
17,초면에 사랑합니다,"2019년 6월 3일
","제18회
","3.7%
"
18,초면에 사랑합니다,"2019년 6월 4일
","제19회
","3.2%
"
19,초면에 사랑합니다,"2019년 6월 4일
","제20회
","4.0%
"
20,초면에 사랑합니다,"2019년 6월 10일
","제21회
",2.7%
21,초면에 사랑합니다,"2019년 6월 10일
","제22회
","3.4%
"
22,초면에 사랑합니다,"2019년 6월 11일
","제23회
","3.0%
"
23,초면에 사랑합니다,"2019년 6월 11일
","제24회
","4.0%
"
24,초면에 사랑합니다,"2019년 6월 17일
","제25회
","3.0%
"
25,초면에 사랑합니다,"2019년 6월 17일
","제26회
","3.8%
"
26,초면에 사랑합니다,"2019년 6월 18일
","제27회
","3.6%
"
27,초면에 사랑합니다,"2019년 6월 18일
","제28회
","4.2%
"
28,초면에 사랑합니다,"2019년 6월 24일
","제29회
","2.8%
"
29,초면에 사랑합니다,"2019년 6월 24일
","제30회
","3.1%
"
30,초면에 사랑합니다,"2019년 6월 25일
","제31회
","3.9%
"
31,초면에 사랑합니다,"2019년 6월 25일
","제32회
",4.6%
