,title,date,episode,rating
0,태양의 계절,"2019년 6월 3일
","제1회
","10.4%
"
1,태양의 계절,"2019년 6월 4일
","제2회
","10.1%
"
2,태양의 계절,"2019년 6월 5일
","제3회
","9.5%
"
3,태양의 계절,"2019년 6월 6일
","제4회
","10.5%
"
4,태양의 계절,"2019년 6월 7일
","제5회
",8.8%
5,태양의 계절,"2019년 6월 10일
","제6회
","10.4%
"
6,태양의 계절,"2019년 6월 12일
","제7회
","10.1%
"
7,태양의 계절,"2019년 6월 13일
","제8회
","9.6%
"
8,태양의 계절,"2019년 6월 14일
","제9회
","11.0%
"
9,태양의 계절,"2019년 6월 17일
","제10회
","10.6%
"
10,태양의 계절,"2019년 6월 18일
","제11회
","11.9%
"
11,태양의 계절,"2019년 6월 19일
","제12회
","10.5%
"
12,태양의 계절,"2019년 6월 20일
","제13회
","10.6%
"
13,태양의 계절,"2019년 6월 21일
","제14회
","9.8%
"
14,태양의 계절,"2019년 6월 24일
","제15회
","10.8%
"
15,태양의 계절,"2019년 6월 25일
","제16회
","11.3%
"
16,태양의 계절,"2019년 6월 26일
","제17회
","11.3%
"
17,태양의 계절,"2019년 6월 27일
","제18회
","11.1%
"
18,태양의 계절,"2019년 6월 28일
","제19회
","10.7%
"
19,태양의 계절,"2019년 7월 1일
","제20회
","11.4%
"
20,태양의 계절,"2019년 7월 2일
","제21회
","11.3%
"
21,태양의 계절,"2019년 7월 3일
","제22회
","11.0%
"
22,태양의 계절,"2019년 7월 4일
","제23회
","10.4%
"
23,태양의 계절,"2019년 7월 5일
","제24회
","9.9%
"
24,태양의 계절,"2019년 7월 8일
","제25회
","11.0%
"
25,태양의 계절,"2019년 7월 9일
","제26회
","11.0%
"
26,태양의 계절,"2019년 7월 10일
","제27회
","10.7%
"
27,태양의 계절,"2019년 7월 11일
","제28회
","10.5%
"
28,태양의 계절,"2019년 7월 12일
","제29회
","10.8%
"
29,태양의 계절,"2019년 7월 15일
","제30회
","11.7%
"
30,태양의 계절,"2019년 7월 16일
","제31회
","11.4%
"
31,태양의 계절,"2019년 7월 17일
","제32회
","10.9%
"
32,태양의 계절,"2019년 7월 18일
","제33회
","10.6%
"
33,태양의 계절,"2019년 7월 19일
","제34회
","10.6%
"
34,태양의 계절,"2019년 7월 22일
","제35회
","10.6%
"
35,태양의 계절,"2019년 7월 23일
","제36회
","10.9%
"
36,태양의 계절,"2019년 7월 24일
","제37회
","11.1%
"
37,태양의 계절,"2019년 7월 25일
","제38회
","11.8%
"
38,태양의 계절,"2019년 7월 29일
","제39회
","10.6%
"
39,태양의 계절,"2019년 7월 30일
","제40회
","11.7%
"
40,태양의 계절,"2019년 7월 31일
","제41회
","11.5%
"
41,태양의 계절,"2019년 8월 1일
","제42회
","10.4%
"
42,태양의 계절,"2019년 8월 2일
","제43회
","10.2%
"
43,태양의 계절,"2019년 8월 5일
","제44회
","10.6%
"
44,태양의 계절,"2019년 8월 6일
","제45회
","11.7%
"
45,태양의 계절,"2019년 8월 7일
","제46회
","11.4%
"
46,태양의 계절,"2019년 8월 8일
","제47회
","11.9%
"
47,태양의 계절,"2019년 8월 9일
","제48회
","11.8%
"
48,태양의 계절,"2019년 8월 12일
","제49회
","11.6%
"
49,태양의 계절,"2019년 8월 13일
","제50회
","11.6%
"
50,태양의 계절,"2019년 8월 14일
","제51회
","12.2%
"
51,태양의 계절,"2019년 8월 15일
","제52회
","11.8%
"
52,태양의 계절,"2019년 8월 16일
","제53회
","12.6%
"
53,태양의 계절,"2019년 8월 19일
","제54회
","12.6%
"
54,태양의 계절,"2019년 8월 20일
","제55회
","12.6%
"
55,태양의 계절,"2019년 8월 21일
","제56회
","13.6%
"
56,태양의 계절,"2019년 8월 22일
","제57회
","12.2%
"
57,태양의 계절,"2019년 8월 23일
","제58회
","13.1%
"
58,태양의 계절,"2019년 8월 26일
","제59회
","13.6%
"
59,태양의 계절,"2019년 8월 27일
","제60회
","13.8%
"
60,태양의 계절,"2019년 8월 28일
","제61회
","13.3%
"
61,태양의 계절,"2019년 8월 29일
","제62회
","14.5%
"
62,태양의 계절,"2019년 8월 30일
","제63회
","13.5%
"
63,태양의 계절,"2019년 9월 2일
","제64회
","14.8%
"
64,태양의 계절,"2019년 9월 3일
","제65회
","14.5%
"
65,태양의 계절,"2019년 9월 4일
","제66회
","15.0%
"
66,태양의 계절,"2019년 9월 5일
","제67회
","14.8%
"
67,태양의 계절,"2019년 9월 9일
","제68회
","14.3%
"
68,태양의 계절,"2019년 9월 10일
","제69회
","14.4%
"
69,태양의 계절,"2019년 9월 11일
","제70회
","13.6%
"
70,태양의 계절,"2019년 9월 16일
","제71회
","14.6%
"
71,태양의 계절,"2019년 9월 17일
","제72회
","14.7%
"
72,태양의 계절,"2019년 9월 18일
","제73회
","14.5%
"
73,태양의 계절,"2019년 9월 19일
","제74회
","14.4%
"
74,태양의 계절,"2019년 9월 20일
","제75회
","14.2%
"
75,태양의 계절,"2019년 9월 23일
","제76회
","14.5%
"
76,태양의 계절,"2019년 9월 24일
","제77회
","15.6%
"
77,태양의 계절,"2019년 9월 25일
","제78회
","14.4%
"
78,태양의 계절,"2019년 9월 26일
","제79회
","14.7%
"
79,태양의 계절,"2019년 9월 27일
","제80회
","14.3%
"
80,태양의 계절,"2019년 9월 30일
","제81회
","15.6%
"
81,태양의 계절,"2019년 10월 1일
","제82회
","15.6%
"
82,태양의 계절,"2019년 10월 2일
","제83회
",17.3%
83,태양의 계절,"2019년 10월 3일
","제84회
","16.2%
"
84,태양의 계절,"2019년 10월 4일
","제85회
","15.3%
"
85,태양의 계절,"2019년 10월 7일
","제86회
","15.6%
"
86,태양의 계절,"2019년 10월 8일
","제87회
","14.9%
"
87,태양의 계절,"2019년 10월 9일
","제88회
","15.3%
"
88,태양의 계절,"2019년 10월 10일
","제89회
","15.1%
"
89,태양의 계절,"2019년 10월 11일
","제90회
","14.7%
"
90,태양의 계절,"2019년 10월 15일
","제91회
","15.1%
"
91,태양의 계절,"2019년 10월 16일
","제92회
","15.2%
"
92,태양의 계절,"2019년 10월 17일
","제93회
","14.7%
"
93,태양의 계절,"2019년 10월 18일
","제94회
","15.5%
"
94,태양의 계절,"2019년 10월 21일
","제95회
","15.2%
"
95,태양의 계절,"2019년 10월 23일
","제96회
","14.4%
"
96,태양의 계절,"2019년 10월 24일
","제97회
","14.5%
"
97,태양의 계절,"2019년 10월 25일
","제98회
","15.6%
"
98,태양의 계절,"2019년 10월 28일
","제99회
","14.2%
"
99,태양의 계절,"2019년 10월 29일
","제100회
","15.3%
"
100,태양의 계절,"2019년 10월 31일
","제101회
","14.1%
"
101,태양의 계절,"2019년 11월 1일
","제102회
","14.6%
"
