,title,date,episode,rating
0,특별근로감독관 조장풍,"2019년 4월 8일
","제1회
","4.3%
"
1,특별근로감독관 조장풍,"2019년 4월 8일
","제2회
","5.0%
"
2,특별근로감독관 조장풍,"2019년 4월 9일
","제3회
",3.9%
3,특별근로감독관 조장풍,"2019년 4월 9일
","제4회
","4.7%
"
4,특별근로감독관 조장풍,"2019년 4월 15일
","제5회
","5.4%
"
5,특별근로감독관 조장풍,"2019년 4월 15일
","제6회
","6.3%
"
6,특별근로감독관 조장풍,"2019년 4월 16일
","제7회
","5.8%
"
7,특별근로감독관 조장풍,"2019년 4월 16일
","제8회
","6.8%
"
8,특별근로감독관 조장풍,"2019년 4월 22일
","제9회
","5.7%
"
9,특별근로감독관 조장풍,"2019년 4월 22일
","제10회
","6.6%
"
10,특별근로감독관 조장풍,"2019년 4월 23일
","제11회
","5.9%
"
11,특별근로감독관 조장풍,"2019년 4월 23일
","제12회
","6.4%
"
12,특별근로감독관 조장풍,"2019년 4월 29일
","제13회
","5.7%
"
13,특별근로감독관 조장풍,"2019년 4월 29일
","제14회
","6.2%
"
14,특별근로감독관 조장풍,"2019년 4월 30일
","제15회
","5.5%
"
15,특별근로감독관 조장풍,"2019년 4월 30일
","제16회
","6.7%
"
16,특별근로감독관 조장풍,"2019년 5월 6일
","제17회
","6.7%
"
17,특별근로감독관 조장풍,"2019년 5월 6일
","제18회
","7.7%
"
18,특별근로감독관 조장풍,"2019년 5월 7일
","제19회
","6.0%
"
19,특별근로감독관 조장풍,"2019년 5월 7일
","제20회
","7.4%
"
20,특별근로감독관 조장풍,"2019년 5월 13일
","제21회
","6.7%
"
21,특별근로감독관 조장풍,"2019년 5월 13일
","제22회
","7.7%
"
22,특별근로감독관 조장풍,"2019년 5월 14일
","제23회
","6.7%
"
23,특별근로감독관 조장풍,"2019년 5월 14일
","제24회
",8.7%
24,특별근로감독관 조장풍,"2019년 5월 20일
","제25회
","6.8%
"
25,특별근로감독관 조장풍,"2019년 5월 20일
","제26회
","7.7%
"
26,특별근로감독관 조장풍,"2019년 5월 21일
","제27회
","6.4%
"
27,특별근로감독관 조장풍,"2019년 5월 21일
","제28회
","8.4%
"
28,특별근로감독관 조장풍,"2019년 5월 27일
","제29회
","6.5%
"
29,특별근로감독관 조장풍,"2019년 5월 27일
","제30회
","8.3%
"
30,특별근로감독관 조장풍,"2019년 5월 28일
","제31회
","7.3%
"
31,특별근로감독관 조장풍,"2019년 5월 28일
","제32회
","8.3%
"
