,title,date,episode,rating
0,퍼퓸,"2019년 6월 3일
","제1회
","5.0%
"
1,퍼퓸,"2019년 6월 3일
","제2회
","6.4%
"
2,퍼퓸,"2019년 6월 4일
","제3회
","6.0%
"
3,퍼퓸,"2019년 6월 4일
","제4회
",7.2%
4,퍼퓸,"2019년 6월 10일
","제5회
","5.4%
"
5,퍼퓸,"2019년 6월 10일
","제6회
","6.6%
"
6,퍼퓸,"2019년 6월 11일
","제7회
","5.9%
"
7,퍼퓸,"2019년 6월 11일
","제8회
","6.8%
"
8,퍼퓸,"2019년 6월 17일
","제9회
","4.9%
"
9,퍼퓸,"2019년 6월 17일
","제10회
","6.4%
"
10,퍼퓸,"2019년 6월 18일
","제11회
","4.8%
"
11,퍼퓸,"2019년 6월 18일
","제12회
","6.7%
"
12,퍼퓸,"2019년 6월 24일
","제13회
","4.3%
"
13,퍼퓸,"2019년 6월 24일
","제14회
","6.1%
"
14,퍼퓸,"2019년 6월 25일
","제15회
","5.3%
"
15,퍼퓸,"2019년 6월 25일
","제16회
","6.9%
"
16,퍼퓸,"2019년 7월 1일
","제17회
","4.0%
"
17,퍼퓸,"2019년 7월 1일
","제18회
","5.0%
"
18,퍼퓸,"2019년 7월 2일
","제19회
","4.4%
"
19,퍼퓸,"2019년 7월 2일
","제20회
","5.2%
"
20,퍼퓸,"2019년 7월 8일
","제21회
","4.2%
"
21,퍼퓸,"2019년 7월 8일
","제22회
","4.7%
"
22,퍼퓸,"2019년 7월 9일
","제23회
","4.3%
"
23,퍼퓸,"2019년 7월 9일
","제24회
","4.9%
"
24,퍼퓸,"2019년 7월 15일
","제25회
",3.7%
25,퍼퓸,"2019년 7월 15일
","제26회
","4.7%
"
26,퍼퓸,"2019년 7월 16일
","제27회
","4.7%
"
27,퍼퓸,"2019년 7월 16일
","제28회
","5.3%
"
28,퍼퓸,"2019년 7월 22일
","제29회
","4.4%
"
29,퍼퓸,"2019년 7월 22일
","제30회
","5.2%
"
30,퍼퓸,"2019년 7월 23일
","제31회
","4.6%
"
31,퍼퓸,"2019년 7월 23일
","제32회
","5.9%
"
