,title,date,episode,rating
0,황금정원,"2019년 7월 20일
","제1회
","4.5%
"
1,황금정원,"2019년 7월 20일
","제2회
","7.2%
"
2,황금정원,"2019년 7월 20일
","제3회
","6.4%
"
3,황금정원,"2019년 7월 20일
","제4회
","7.3%
"
4,황금정원,"2019년 7월 27일
","제5회
","4.9%
"
5,황금정원,"2019년 7월 27일
","제6회
","6.9%
"
6,황금정원,"2019년 7월 27일
","제7회
","6.6%
"
7,황금정원,"2019년 7월 27일
","제8회
","7.4%
"
8,황금정원,"2019년 8월 3일
","제9회
","5.2%
"
9,황금정원,"2019년 8월 3일
","제10회
","7.3%
"
10,황금정원,"2019년 8월 3일
","제11회
","7.5%
"
11,황금정원,"2019년 8월 3일
","제12회
","7.9%
"
12,황금정원,"2019년 8월 10일
","제13회
","5.6%
"
13,황금정원,"2019년 8월 10일
","제14회
","8.2%
"
14,황금정원,"2019년 8월 10일
","제15회
","7.0%
"
15,황금정원,"2019년 8월 10일
","제16회
","7.6%
"
16,황금정원,"2019년 8월 17일
","제17회
","4.3%
"
17,황금정원,"2019년 8월 17일
","제18회
","6.8%
"
18,황금정원,"2019년 8월 17일
","제19회
","7.2%
"
19,황금정원,"2019년 8월 17일
","제20회
","8.0%
"
20,황금정원,"2019년 8월 24일
","제21회
","5.4%
"
21,황금정원,"2019년 8월 24일
","제22회
","7.7%
"
22,황금정원,"2019년 8월 24일
","제23회
","7.5%
"
23,황금정원,"2019년 8월 24일
","제24회
","7.3%
"
24,황금정원,"2019년 8월 31일
","제25회
","4.2%
"
25,황금정원,"2019년 8월 31일
","제26회
","7.0%
"
26,황금정원,"2019년 8월 31일
","제27회
","6.7%
"
27,황금정원,"2019년 8월 31일
","제28회
","7.3%
"
28,황금정원,"2019년 9월 7일
","제29회
","5.0%
"
29,황금정원,"2019년 9월 7일
","제30회
","8.3%
"
30,황금정원,"2019년 9월 7일
","제31회
","8.5%
"
31,황금정원,"2019년 9월 7일
","제32회
","9.5%
"
32,황금정원,"2019년 9월 14일
","제33회
",3.6%
33,황금정원,"2019년 9월 14일
","제34회
","7.6%
"
34,황금정원,"2019년 9월 14일
","제35회
","7.5%
"
35,황금정원,"2019년 9월 14일
","제36회
","8.3%
"
36,황금정원,"2019년 9월 21일
","제37회
","6.0%
"
37,황금정원,"2019년 9월 21일
","제38회
","8.8%
"
38,황금정원,"2019년 9월 21일
","제39회
","8.3%
"
39,황금정원,"2019년 9월 21일
","제40회
","9.1%
"
40,황금정원,"2019년 9월 28일
","제41회
","5.7%
"
41,황금정원,"2019년 9월 28일
","제42회
","9.2%
"
42,황금정원,"2019년 9월 28일
","제43회
","8.8%
"
43,황금정원,"2019년 9월 28일
","제44회
","9.3%
"
44,황금정원,"2019년 10월 5일
","제45회
","6.6%
"
45,황금정원,"2019년 10월 5일
","제46회
","9.3%
"
46,황금정원,"2019년 10월 5일
","제47회
","9.6%
"
47,황금정원,"2019년 10월 5일
","제48회
","9.9%
"
48,황금정원,"2019년 10월 12일
","제49회
","6.3%
"
49,황금정원,"2019년 10월 12일
","제50회
","9.9%
"
50,황금정원,"2019년 10월 12일
","제51회
","9.7%
"
51,황금정원,"2019년 10월 12일
","제52회
",10.4%
52,황금정원,"2019년 10월 19일
","제53회
","6.6%
"
53,황금정원,"2019년 10월 19일
","제54회
","9.8%
"
54,황금정원,"2019년 10월 19일
","제55회
","9.0%
"
55,황금정원,"2019년 10월 19일
","제56회
","9.0%
"
56,황금정원,"2019년 10월 26일
","제57회
","4.6%
"
57,황금정원,"2019년 10월 26일
","제58회
","6.0%
"
58,황금정원,"2019년 10월 26일
","제59회
","7.8%
"
59,황금정원,"2019년 10월 26일
","제60회
","9.8%
"
